version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,year,return
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2008,0.0247642674044135
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2009,0.1242387895010774
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2010,0.1716223922295361
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2011,-0.012922999045942
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2012,0.0586384973799418
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2013,0.1348979185672452
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2014,0.0155141364459501
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2015,-0.0126302555721864
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2016,0.0902079923700271
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2017,0.7605094182219698
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2018,0.0031204212441808
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2019,0.1771419438015842
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2020,0.4857279131501173
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2021,0.3721285462714392
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2022,0.0725990025049962
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2023,0.1555985216730639
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2024,0.3418719312925131
V7.5,tv0.2_vw40_lev1.5_vr1_2_1.6,tv0.2_vw40_lev1.5_vr1_2_1.6,"(130, 260, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.2,40,1.5,True,2.0,1.6,2025,0.2930054370439638
