signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio
lb25_single,FULL_COMMON,2010-07-29,2026-05-08,3829,17.30301779711845,0.20234919598317336,0.23241296133070363,0.9133369978020516,-0.42668127041415504,2016-06-13,512.0,317,847,0.22120658135283364
lb25_single,10Y,2016-05-09,2026-05-08,2428,4.502478191807156,0.18600428620328247,0.2104279742330255,0.9187876814038027,-0.27864639286003545,2018-11-09,321.0,198,500,0.20593080724876442
lb25_single,5Y,2021-05-10,2026-05-08,1211,1.7699786523729184,0.22632179811821174,0.22310646284215485,1.0296672018634396,-0.20533602682421193,2024-09-03,160.0,98,241,0.19900908340214699
lb25_single,3Y,2023-05-08,2026-05-08,727,0.7454750477189804,0.20398059672252922,0.24682853388834597,0.8774652829935005,-0.2053360268242137,2024-09-03,104.0,65,180,0.24759284731774414
lb25_single,1Y,2025-05-08,2026-05-08,243,0.517812654562497,0.5182465097591591,0.22450365908021147,1.9792088740618994,-0.16122822605278742,2025-12-16,32.0,18,18,0.07407407407407407
lb40_single,FULL_COMMON,2010-07-29,2026-05-08,3829,4.651360867277771,0.11603693083556554,0.2329647064427352,0.590043130609101,-0.6287188987098334,2019-01-30,381.0,240,826,0.21572212065813529
lb40_single,10Y,2016-05-09,2026-05-08,2428,1.8200964648668898,0.10928948252717374,0.2108270460454943,0.5986699083253204,-0.3983173793642252,2019-01-30,252.0,160,500,0.20593080724876442
lb40_single,5Y,2021-05-10,2026-05-08,1211,1.346272093616287,0.1862249415909667,0.22122420977635485,0.8852505565605864,-0.2025172076140328,2024-10-17,112.0,71,259,0.2138728323699422
lb40_single,3Y,2023-05-08,2026-05-08,727,0.7852152016635183,0.21304726147373065,0.2469370209016955,0.9078297677628453,-0.20251720761403302,2024-10-17,70.0,47,193,0.265474552957359
lb40_single,1Y,2025-05-08,2026-05-08,243,0.6946631125886611,0.6952754886993959,0.2280975835576547,2.43782986721304,-0.0999875437698089,2025-10-17,24.0,14,14,0.05761316872427984
portfolio_25_40_ret_50_50,FULL_COMMON,2010-07-29,2026-05-08,3829,9.489343607016858,0.16065907696972004,0.22415959360546564,0.7800928245759531,-0.5259234182152727,2018-11-29,446.5,536,568,0.1483416035518412
portfolio_25_40_ret_50_50,10Y,2016-05-09,2026-05-08,2428,2.989337538561113,0.1484570713148199,0.20452498847456052,0.7812112379518896,-0.32897147367902746,2018-11-29,286.5,345,330,0.13591433278418452
portfolio_25_40_ret_50_50,5Y,2021-05-10,2026-05-08,1211,1.5673029511921652,0.20780395204022373,0.2157136174779689,0.9864102858156102,-0.20251720761403302,2024-10-17,136.0,164,161,0.1329479768786127
portfolio_25_40_ret_50_50,3Y,2023-05-08,2026-05-08,727,0.77224617982588,0.2101033224410922,0.241403277739768,0.9129127238934628,-0.20251720761403302,2024-10-17,87.0,109,126,0.1733149931224209
portfolio_25_40_ret_50_50,1Y,2025-05-08,2026-05-08,243,0.6066090151078538,0.607130835937715,0.21839766914369374,2.290323747660247,-0.12199116198239224,2025-12-18,28.0,31,8,0.03292181069958848
dual_25_40_score_avg,FULL_COMMON,2010-07-29,2026-05-08,3829,10.056196402728013,0.16453780603192358,0.23464435992675275,0.7699050188508438,-0.44310038635392035,2018-11-09,477.0,295,819,0.21389396709323583
dual_25_40_score_avg,10Y,2016-05-09,2026-05-08,2428,2.7943850419529905,0.14271501454968405,0.21169626275313158,0.73800783280664,-0.2871708658205392,2018-11-09,307.0,188,492,0.2026359143327842
dual_25_40_score_avg,5Y,2021-05-10,2026-05-08,1211,1.3243696082358531,0.18399920015897475,0.22504706678387773,0.8655922443635697,-0.23475639805415693,2022-05-24,146.0,90,250,0.20644095788604458
dual_25_40_score_avg,3Y,2023-05-08,2026-05-08,727,0.7195137112055547,0.19798298247855617,0.2496299958877995,0.8502456282998018,-0.23260281381823755,2024-07-30,90.0,57,192,0.2640990371389271
dual_25_40_score_avg,1Y,2025-05-08,2026-05-08,243,0.6215238501760507,0.6220607815690151,0.2301020742942698,2.225562785030644,-0.12017469598700614,2025-12-16,30.0,17,17,0.06995884773662552
dual_25_40_rank_avg,FULL_COMMON,2010-07-29,2026-05-08,3829,7.605343890926985,0.14618426537342,0.2428276700548277,0.686229850167136,-0.6572695306190137,2019-01-14,577.0,338,568,0.1483416035518412
dual_25_40_rank_avg,10Y,2016-05-09,2026-05-08,2428,2.49814615589215,0.13345984354775786,0.2161167984628794,0.6894642653542697,-0.40814033349391554,2019-01-14,398.0,233,330,0.13591433278418452
dual_25_40_rank_avg,5Y,2021-05-10,2026-05-08,1211,1.5634507332113348,0.20744082690682641,0.22916843381942092,0.9402398884164689,-0.2425544415611579,2024-09-03,166.0,98,161,0.1329479768786127
dual_25_40_rank_avg,3Y,2023-05-08,2026-05-08,727,0.7609448297094825,0.20752620653449694,0.2512415831974097,0.87818903894943,-0.24255444156115713,2024-09-03,106.0,65,126,0.1733149931224209
dual_25_40_rank_avg,1Y,2025-05-08,2026-05-08,243,0.6088432461429945,0.6093673244999585,0.22238221205437184,2.259487491238833,-0.14683901727143156,2025-12-16,34.0,19,8,0.03292181069958848
