layer,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,cash_days,cash_ratio,avg_weight,held_avg_weight,held_median_weight,max_weight,bond_days,bond_ratio
01_equity_naked,FULL_COMMON,2010-09-29,2026-05-08,3788,12.858671193441186,0.18347835048671035,0.22647187626663504,0.860684529814768,-0.49234338466575867,2019-01-14,585.0,921,0.24313621964097148,0.7568637803590285,1.0,1.0,1.0,0,0.0
01_equity_naked,10Y,2016-05-09,2026-05-08,2428,2.4139733583849012,0.13070137830341055,0.2060336906574049,0.7008483279732506,-0.35122931288509285,2019-01-14,381.0,549,0.22611202635914332,0.7738879736408567,1.0,1.0,1.0,0,0.0
01_equity_naked,5Y,2021-05-10,2026-05-08,1211,1.4293050499013926,0.19451473964814747,0.2236709090803483,0.9091864030286714,-0.29840042031663205,2024-09-23,176.0,261,0.21552436003303055,0.7844756399669695,1.0,1.0,1.0,0,0.0
01_equity_naked,3Y,2023-05-08,2026-05-08,727,0.9799188691780005,0.25562487125815236,0.25131860192812144,1.0345143217342407,-0.27183571856884803,2024-09-23,116.0,160,0.2200825309491059,0.7799174690508941,1.0,1.0,1.0,0,0.0
01_equity_naked,1Y,2025-05-08,2026-05-08,243,0.8136258755034833,0.8143655485056489,0.20851963340677804,2.973425413453705,-0.06555385386369927,2026-02-02,26.0,29,0.11934156378600823,0.8806584362139918,1.0,1.0,1.0,0,0.0
02_plus_r2_filter,FULL_COMMON,2010-09-29,2026-05-08,3788,17.219876832698215,0.20441019960520102,0.20823050659962752,1.0016542458860833,-0.3700890615523432,2016-06-13,539.0,1480,0.3907074973600845,0.6092925026399155,1.0,1.0,1.0,0,0.0
02_plus_r2_filter,10Y,2016-05-09,2026-05-08,2428,3.481194762876801,0.16189302410646356,0.19019245181472272,0.886551832855533,-0.26981245874373294,2018-10-11,347.0,923,0.3801482701812191,0.6198517298187809,1.0,1.0,1.0,0,0.0
02_plus_r2_filter,5Y,2021-05-10,2026-05-08,1211,1.476123528040426,0.19908952513832956,0.20676236878013915,0.9846312977513276,-0.20251720761403302,2024-10-17,166.0,460,0.37985136251032203,0.620148637489678,1.0,1.0,1.0,0,0.0
02_plus_r2_filter,3Y,2023-05-08,2026-05-08,727,0.8262619746382933,0.22227183536416772,0.23398186749705427,0.9773646284450019,-0.20251720761403313,2024-10-17,108.0,310,0.4264099037138927,0.5735900962861072,1.0,1.0,1.0,0,0.0
02_plus_r2_filter,1Y,2025-05-08,2026-05-08,243,0.7020988331299791,0.7027190021487175,0.20084866758934733,2.7611660675739294,-0.07741172173132282,2025-06-20,22.0,50,0.205761316872428,0.7942386831275721,1.0,1.0,1.0,0,0.0
03_plus_bond_rotation,FULL_COMMON,2010-09-29,2026-05-08,3788,18.289665931868313,0.2088217184582557,0.2057893905349223,1.0289500496784332,-0.33720541018772976,2015-09-30,663.0,937,0.24736008447729674,0.7526399155227033,1.0,1.0,1.0,603,0.1591869060190074
03_plus_bond_rotation,10Y,2016-05-09,2026-05-08,2428,3.061313676367943,0.15051334424000617,0.18921533627704337,0.8378787317901664,-0.2535585390932228,2018-10-11,423.0,590,0.24299835255354202,0.757001647446458,1.0,1.0,1.0,362,0.14909390444810544
03_plus_bond_rotation,5Y,2021-05-10,2026-05-08,1211,1.4451131327768367,0.19606722284884004,0.20650461286122646,0.9733031682587481,-0.20931332654822254,2024-02-06,194.0,285,0.23534269199009084,0.7646573080099092,1.0,1.0,1.0,183,0.15111478117258464
03_plus_bond_rotation,3Y,2023-05-08,2026-05-08,727,0.8576143111304795,0.22922504320091353,0.23371851588895096,1.002674370896767,-0.20388589020018666,2024-02-06,122.0,200,0.2751031636863824,0.7248968363136176,1.0,1.0,1.0,115,0.15818431911966988
