date,layer,holding,holding_fraction,is_signal,target,pending_entry_target,pending_entry_days,pre_trade_holding,pre_trade_fraction,asset_component,cash_component,trade_cost,base_trade_cost,effective_turnover,scale_raw,base_weight,weight,realized_vol,scale_tc,return,nav,base_holding,base_fraction,effective_holding,effective_fraction,active_score_overlay,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_suba_overheat_holding,pre_suba_overheat_fraction,suba_same_side_overheat_bias,suba_same_side_overheat_bias_mom,suba_same_side_overheat_signal,suba_same_side_overheat_on,suba_same_side_overheat_triggered,suba_same_side_overheat_recovered,suba_volume_rule_on,suba_volume_rule_scale,suba_volume_rule_name,suba_volume_zz2000_amount,suba_volume_zz2000_streak,suba_volume_zz2000_signal,suba_volume_cyb_amount,suba_volume_cyb_streak,suba_volume_cyb_signal,suba_volume_combined_signal,suba_volume_severe_ratio_value,suba_volume_severe_ratio_ma_value,suba_volume_severe_ratio_streak,suba_volume_severe_ratio_signal,suba_volume_old_combined_signal,suba_volume_combined_scale,suba_volume_clear_signal,suba_volume_clear_ratio_rule,suba_volume_clear_ratio_enabled,suba_volume_clear_ratio_unavailable,suba_volume_clear_ratio_numerator_source,suba_volume_clear_ratio_denominator_source,suba_volume_combined_unresolved,suba_volume_zz2000_source,suba_volume_cyb_source,suba_volume_partial_unavailable,suba_volume_unresolved
2010-09-29,01_equity_naked,cash,0.0,False,,,0,cash,0.0,0.0,0.0001211499702025165,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0001211499702025165,1.0001211499702025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,01_equity_naked,cash,0.0,False,,,0,cash,0.0,0.0,0.0001211499702025165,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0001211499702025165,1.0002423146177204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-08,01_equity_naked,cash,0.0,False,,,0,cash,0.0,0.0,0.0001211499702025165,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0001211499702025165,1.0003634939443315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-11,01_equity_naked,cash,0.0,False,,,0,cash,0.0,0.0,0.0001211499702025165,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0001211499702025165,1.0004846879518146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-12,01_equity_naked,1.H00016,1.0,True,1.H00016,,0,cash,0.0,0.0,0.0001211499702025165,0.001,0.0,1.0,1.0,1.0,1.0,,0.0,-0.0008789711797676514,0.9996052907453061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-13,01_equity_naked,1.H00016,1.0,False,,,0,1.H00016,1.0,0.016173389773520785,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.016173389773520785,1.0157722967322036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-14,01_equity_naked,1.H00016,1.0,False,,,0,1.H00016,1.0,0.016569242124731653,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.016569242124731653,1.0326028738603543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-15,01_equity_naked,1.H00016,1.0,False,,,0,1.H00016,1.0,0.04329755804443258,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.04329755804443258,1.0773120567281709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-18,01_equity_naked,1.H00016,1.0,False,,,0,1.H00016,1.0,-0.005623550115990694,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,-0.005623550115990694,1.071253738386599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-19,01_equity_naked,1.H00016,1.0,False,,,0,1.H00016,1.0,0.01634260339321192,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.01634260339321192,1.0887608133665467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
