layer,year,return
01_equity_naked,2010,0.09975597469264397
01_equity_naked,2011,0.026983696450127548
01_equity_naked,2012,0.019180258247720294
01_equity_naked,2013,0.050750048619180976
01_equity_naked,2014,1.350375595014608
01_equity_naked,2015,0.6097801918068027
01_equity_naked,2016,-0.06473447679834365
01_equity_naked,2017,0.023521900335904622
01_equity_naked,2018,-0.2922420684880206
01_equity_naked,2019,0.3360414976691859
01_equity_naked,2020,0.2640700131246363
01_equity_naked,2021,0.3587211067364495
01_equity_naked,2022,-0.048287579995105245
01_equity_naked,2023,-0.11221033768991273
01_equity_naked,2024,0.23059808605345045
01_equity_naked,2025,0.5991186205839807
01_equity_naked,2026,0.17153831725080027
02_plus_r2_filter,2010,0.10232362203696366
02_plus_r2_filter,2011,-0.0488860864423738
02_plus_r2_filter,2012,0.10857375835999417
02_plus_r2_filter,2013,0.03940219178757598
02_plus_r2_filter,2014,1.3398705063891048
02_plus_r2_filter,2015,0.7854853221324567
02_plus_r2_filter,2016,-0.13239377758771886
02_plus_r2_filter,2017,0.17222528901676615
02_plus_r2_filter,2018,-0.18971549284016032
02_plus_r2_filter,2019,0.3015828898714754
02_plus_r2_filter,2020,0.23897466319324212
02_plus_r2_filter,2021,0.3503014916194691
02_plus_r2_filter,2022,0.057287197940268264
02_plus_r2_filter,2023,-0.10934792864320741
02_plus_r2_filter,2024,0.27090545225271545
02_plus_r2_filter,2025,0.47689893525683447
02_plus_r2_filter,2026,0.13816728583587867
03_plus_bond_rotation,2010,0.10757151918373542
03_plus_bond_rotation,2011,-0.011425292832717648
03_plus_bond_rotation,2012,0.08705456737328032
03_plus_bond_rotation,2013,0.1296350959964807
03_plus_bond_rotation,2014,1.347498689819063
03_plus_bond_rotation,2015,0.7512293113020312
03_plus_bond_rotation,2016,-0.07147511239461146
03_plus_bond_rotation,2017,0.13319140170597876
03_plus_bond_rotation,2018,-0.16996588212219232
03_plus_bond_rotation,2019,0.28799499770646375
03_plus_bond_rotation,2020,0.1565649338987818
03_plus_bond_rotation,2021,0.3166918318779801
03_plus_bond_rotation,2022,0.05606934509633987
03_plus_bond_rotation,2023,-0.13350693480851972
03_plus_bond_rotation,2024,0.3225568663515517
03_plus_bond_rotation,2025,0.4796046418760176
03_plus_bond_rotation,2026,0.13769765983198434
