window,layer,annual_return,max_drawdown,sharpe,avg_weight,cash_ratio,bond_ratio,ann_vs_base_pp,dd_vs_base_pp,sharpe_vs_base,ann_step_pp,dd_step_pp,sharpe_step
FULL_COMMON,01_equity_naked,0.18347835048671035,-0.49234338466575867,0.860684529814768,0.7568637803590285,0.24313621964097148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL_COMMON,02_plus_r2_filter,0.20441019960520102,-0.3700890615523432,1.0016542458860833,0.6092925026399155,0.3907074973600845,0.0,2.0931849118490664,12.225432311341544,0.14096971607131537,2.0931849118490664,12.225432311341544,0.14096971607131537
FULL_COMMON,03_plus_bond_rotation,0.2088217184582557,-0.33720541018772976,1.0289500496784332,0.7526399155227033,0.24736008447729674,0.1591869060190074,2.534336797154535,15.51379744780289,0.16826551986366522,0.44115188530546856,3.2883651364613464,0.02729580379234986
FULL_COMMON,04_plus_half_entry,0.2127951286778491,-0.258907827311019,1.1099373216399293,0.7096092925026399,0.24736008447729674,0.1591869060190074,2.931677819113876,23.343555735473963,0.24925279182516136,0.39734102195934096,7.829758287671074,0.08098727196149613
FULL_COMMON,05_plus_switch_buffer,0.21962967621809826,-0.2448912097464121,1.140256011438971,0.7094772967265047,0.24736008447729674,0.15945089757127773,3.6151325731387907,24.745217491934657,0.2795714816242031,0.6834547540249147,1.4016617564606926,0.03031868979904173
FULL_COMMON,06_plus_target_vol,0.30675238513935743,-0.3570351570275063,1.0899164522561244,1.0574181626187962,0.24736008447729674,0.15945089757127773,12.327403465264709,13.530822763825235,0.22923192244135648,8.712270892125918,-11.214394728109422,-0.050339559182846605
FULL_COMMON,07_plus_cash_peak,0.3083629096371525,-0.2999330053260322,1.2225250659359272,0.9008078625891323,0.31784582893347413,0.15945089757127773,12.488455915044216,19.24103793397265,0.3618405361211593,0.1610524497795085,5.710215170147414,0.1326086136798028
FULL_COMMON,08_plus_same_side_overheat,0.32511939381621713,-0.29993300532603107,1.277584179500766,0.8991099462723015,0.3215417106652587,0.15945089757127773,14.164104332950679,19.24103793397276,0.41689964968599813,1.6756484179064612,1.1102230246251565e-13,0.055059113564838835
FULL_COMMON,09_plus_volume_overlay,0.3199122225564712,-0.3067448723034619,1.396495142887715,0.7423810893472325,0.3579725448785639,0.15945089757127773,13.643387206976087,18.559851236229676,0.5358106130729471,-0.5207171259745902,-0.6811866977430858,0.11891096338694895
10Y,01_equity_naked,0.13070137830341055,-0.35122931288509285,0.7008483279732506,0.7738879736408567,0.22611202635914332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
