candidate,segment,start,end,rows,annual_return,annual_vol,sharpe,max_dd,total_return,scenario,rules_json,cost_bps,avg_suba,latest_suba,avg_subd,latest_subd,latest_subb,rebalance_count,allocation_turnover,ann_return,ann_vol,sharpe_repo
fixed_10_15_15_20_40,full,2011-12-09,2026-05-08,3743,0.3038349758618464,0.092796125308073,3.274220500620553,-0.07874424793461599,44.77136485027649,fixed,[],0,,,,,0.4,0,0.0,0.3038349758618464,0.092796125308073,3.274220500620553
fixed_10_15_15_20_40,last_10y,2016-05-09,2026-05-08,2597,0.3382186311124451,0.09619474551939386,3.5159782302688947,-0.06775777661596194,17.397173383752556,fixed,[],0,,,,,0.4,0,0.0,0.3382186311124451,0.09619474551939386,3.5159782302688947
fixed_10_15_15_20_40,last_5y,2021-05-10,2026-05-08,1300,0.3824083819078685,0.09906044687670819,3.860353894666138,-0.06775777661596194,4.038664582148356,fixed,[],0,,,,,0.4,0,0.0,0.3824083819078685,0.09906044687670819,3.860353894666138
fixed_10_15_15_20_40,last_3y,2023-05-08,2026-05-08,781,0.5142080719608388,0.10711149607964911,4.800680513121289,-0.06775777661596194,2.4728018268099055,fixed,[],0,,,,,0.4,0,0.0,0.5142080719608388,0.10711149607964911,4.800680513121289
fixed_10_15_15_20_40,last_1y,2025-05-08,2026-05-08,260,0.5900741116497621,0.11330152788233476,5.207997832673205,-0.05706591740128897,0.5895694377742629,fixed,[],0,,,,,0.4,0,0.0,0.5900741116497621,0.11330152788233476,5.207997832673205
suba_dd_5_8_weekly_step5_cost0bps,full,2011-12-09,2026-05-08,3743,0.3167479624630323,0.09440101529528144,3.3553448707332354,-0.0710416517129695,51.75672477164278,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.3167479624630323,0.09440101529528144,3.3553448707332354
suba_dd_5_8_weekly_step5_cost0bps,last_10y,2016-05-09,2026-05-08,2597,0.3486661609621329,0.09735420023497823,3.5814187792676373,-0.06252113687137995,18.88433723760551,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.3486661609621329,0.09735420023497823,3.5814187792676373
suba_dd_5_8_weekly_step5_cost0bps,last_5y,2021-05-10,2026-05-08,1300,0.39359919361317,0.0998942722245743,3.9401577772978995,-0.06252113687137983,4.245676675825837,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.39359919361317,0.0998942722245743,3.9401577772978995
suba_dd_5_8_weekly_step5_cost0bps,last_3y,2023-05-08,2026-05-08,781,0.5348486020304521,0.10828815237438537,4.939123905090895,-0.06252113687137983,2.6167957512646147,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.5348486020304521,0.10828815237438537,4.939123905090895
suba_dd_5_8_weekly_step5_cost0bps,last_1y,2025-05-08,2026-05-08,260,0.612626040581753,0.11229093636225743,5.455703375786126,-0.052366007230772005,0.6120986690507879,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.612626040581753,0.11229093636225743,5.455703375786126
suba_dd_5_8_weekly_step5_cost5bps,full,2011-12-09,2026-05-08,3743,0.31639704778344524,0.09439769863726828,3.351745353445846,-0.07113450733153481,51.55445714863769,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.31639704778344524,0.09439769863726828,3.351745353445846
suba_dd_5_8_weekly_step5_cost5bps,last_10y,2016-05-09,2026-05-08,2597,0.34838328343418334,0.09735342250812573,3.5785417138786784,-0.06252113687137961,18.84268704382231,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.34838328343418334,0.09735342250812573,3.5785417138786784
suba_dd_5_8_weekly_step5_cost5bps,last_5y,2021-05-10,2026-05-08,1300,0.3932929179484954,0.09989239223630123,3.9371658756368384,-0.06252113687137961,4.239922009667349,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.3932929179484954,0.09989239223630123,3.9371658756368384
suba_dd_5_8_weekly_step5_cost5bps,last_3y,2023-05-08,2026-05-08,781,0.5347720108962228,0.10828812314171572,4.938417948165667,-0.0625211368713795,2.6162542049659385,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.5347720108962228,0.10828812314171572,4.938417948165667
