candidate,scenario,rules_json,cost_bps,avg_suba,latest_suba,avg_subd,latest_subd,latest_subb,rebalance_count,allocation_turnover,ann_return_full,ann_vol_full,sharpe_repo_full,max_dd_full,rows_full,ann_return_last_10y,ann_vol_last_10y,sharpe_repo_last_10y,max_dd_last_10y,rows_last_10y,ann_return_last_5y,ann_vol_last_5y,sharpe_repo_last_5y,max_dd_last_5y,rows_last_5y,ann_return_last_3y,ann_vol_last_3y,sharpe_repo_last_3y,max_dd_last_3y,rows_last_3y,ann_return_last_1y,ann_vol_last_1y,sharpe_repo_last_1y,max_dd_last_1y,rows_last_1y
fixed_10_15_15_20_40,fixed,[],0,,,,,0.4,0,0.0,0.3038349758618464,0.092796125308073,3.274220500620553,-0.07874424793461599,3743,0.3382186311124451,0.09619474551939386,3.5159782302688947,-0.06775777661596194,2597,0.3824083819078685,0.09906044687670819,3.860353894666138,-0.06775777661596194,1300,0.5142080719608388,0.10711149607964911,4.800680513121289,-0.06775777661596194,781,0.5900741116497621,0.11330152788233476,5.207997832673205,-0.05706591740128897,260
suba_dd_5_8_weekly_step5_cost0bps,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.3167479624630323,0.09440101529528144,3.3553448707332354,-0.0710416517129695,3743,0.3486661609621329,0.09735420023497823,3.5814187792676373,-0.06252113687137995,2597,0.39359919361317,0.0998942722245743,3.9401577772978995,-0.06252113687137983,1300,0.5348486020304521,0.10828815237438537,4.939123905090895,-0.06252113687137983,781,0.612626040581753,0.11229093636225743,5.455703375786126,-0.052366007230772005,260
suba_dd_5_8_weekly_step5_cost5bps,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.31639704778344524,0.09439769863726828,3.351745353445846,-0.07113450733153481,3743,0.34838328343418334,0.09735342250812573,3.5785417138786784,-0.06252113687137961,2597,0.3932929179484954,0.09989239223630123,3.9371658756368384,-0.06252113687137961,1300,0.5347720108962228,0.10828812314171572,4.938417948165667,-0.0625211368713795,781,0.612626040581753,0.11229093636225725,5.455703375786135,-0.05236600723077167,260
suba_dd_5_8_weekly_step5_cost10bps,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.316046205036006,0.09439454852046529,3.348140438083512,-0.0712273583091031,3743,0.3481004491084734,0.09735276278115303,3.575660712279896,-0.0625211368713795,2597,0.39298669292766886,0.09989062701674796,3.934169848205874,-0.0625211368713795,1300,0.5346954197610603,0.10828811622779541,4.937710973162303,-0.06252113687137939,781,0.6126260405817523,0.11229093636225719,5.455703375786133,-0.052366007230772005,260
suba_dd_5_8_weekly_step5_cost20bps,suba_dd_5_8_weekly_step5,"[{""boost_dd"": 0.05, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.1060646540208389,0.15000000000000002,0.20000000000000004,0.2,0.35,68,7.700000000000002,0.31534473529504714,0.09438874797630581,3.3409144845761425,-0.07141304634124412,3743,0.347534910046549,0.09735179733601311,3.5698869415530172,-0.06252113687137928,2597,0.39237439479458724,0.09988744090774315,3.928165455324733,-0.06252113687137906,1300,0.534542237487938,0.10828816935620618,4.936293970670052,-0.06252113687137906,781,0.612626040581753,0.11229093636225727,5.455703375786134,-0.052366007230772116,260
suba_dd_7_8_weekly_step5_cost0bps,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",0,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.3177962482783683,0.09474548615331024,3.3542099067826148,-0.07101181041755189,3743,0.34863807967613614,0.0973102091878069,3.58274925710283,-0.06252113687137939,2597,0.39295710684924146,0.09966546310996542,3.94276105871975,-0.06252113687137939,1300,0.5342657628068066,0.10823627957475469,4.936106127315744,-0.06252113687137928,781,0.6126260405817512,0.1122909363622572,5.455703375786122,-0.05236600723077145,260
suba_dd_7_8_weekly_step5_cost5bps,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",5,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.317463560290524,0.09474028805740346,3.3508823627195623,-0.07110475628182089,3743,0.3483821274831942,0.09730964706508746,3.5801396674491275,-0.06252113687138028,2597,0.3927068288899189,0.09966252256399766,3.940366135502387,-0.06252113687138006,1300,0.5341126759676484,0.10823602326162761,4.934703436734679,-0.06252113687138017,781,0.6126260405817543,0.1122909363622572,5.4557033757861495,-0.05236600723077178,260
suba_dd_7_8_weekly_step5_cost10bps,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",10,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.31713093110836965,0.09473528446174549,3.3475482013929927,-0.07119769749622828,3743,0.3481262050428333,0.09730922326459329,3.577525268044162,-0.06252113687137939,2597,0.39245657509547516,0.09965972682242283,3.9379655916052023,-0.06252113687137939,1300,0.5339595942140838,0.10823582637839027,4.93329807773049,-0.0625211368713795,781,0.6126260405817545,0.11229093636225723,5.4557033757861495,-0.052366007230772116,260
suba_dd_7_8_weekly_step5_cost20bps,suba_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-A"", ""step"": 0.05}]",20,0.10932407160032058,0.15000000000000002,0.20000000000000004,0.2,0.35,54,7.3000000000000025,0.31646584913572773,0.09472586089326454,3.3408601004145635,-0.07138356597546314,3743,0.3476144494135083,0.09730879063691952,3.5722820840568676,-0.06252113687137917,2597,0.3919561399988165,0.09965456980056976,3.9331476798626004,-0.06252113687137928,1300,0.5336534459637308,0.10823561090278423,4.930479363608444,-0.06252113687137917,781,0.612626040581755,0.11229093636225713,5.455703375786158,-0.052366007230772005,260
subd_dd_7_8_weekly_step5_cost0bps,subd_dd_7_8_weekly_step5,"[{""boost_dd"": 0.07, ""cut_dd"": 0.08, ""execution"": ""weekly"", ""sleeve"": ""Sub-D"", ""step"": 0.05}]",0,0.10000000000000002,0.1,0.21051295752070534,0.25,0.35000000000000003,117,15.899999999999997,0.3059292907651163,0.09457074404355542,3.2349252811653653,-0.07994057756495954,3743,0.34146469165552307,0.09741226960100889,3.5053560814682685,-0.06687733732484613,2597,0.39585826970714066,0.10040545258357547,3.942597334319431,-0.06687733732484624,1300,0.5447466806558938,0.10796803571665722,5.045444024613766,-0.06687733732484624,781,0.6251830461717549,0.11422884767148733,5.473074962374911,-0.053329406595201245,260
