variant,year,return
official_total_return,2010,0.060146941328034
official_total_return,2011,0.042409766975597396
official_total_return,2012,0.12498896213789212
official_total_return,2013,0.12847338154487753
official_total_return,2014,1.4050447541647042
official_total_return,2015,1.7570243377216759
official_total_return,2016,0.10785121016153054
official_total_return,2017,0.10437924257355902
official_total_return,2018,-0.24582100591812484
official_total_return,2019,0.8058402737568384
official_total_return,2020,0.18293643676121607
official_total_return,2021,0.14568972412670722
official_total_return,2022,0.16765006290927276
official_total_return,2023,0.027487567294562476
official_total_return,2024,1.375299076690991
official_total_return,2025,0.596856189352033
official_total_return,2026,0.11895908509075448
all_price_index,2015,0.951738647361364
all_price_index,2016,0.14040409252948383
all_price_index,2017,0.13093625730075376
all_price_index,2018,-0.1660173319253866
all_price_index,2019,0.6982072344841967
all_price_index,2020,0.1844491537469517
all_price_index,2021,0.2799293948334929
all_price_index,2022,0.09261086713698963
all_price_index,2023,-0.005701731797351117
all_price_index,2024,1.1821495935639925
all_price_index,2025,0.5696214374519848
all_price_index,2026,0.19580634774310268
