start,end,rows,years,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,window,variant
2010-09-29,2026-06-01,3804,15.671457905544148,0.34737579166887156,0.25881618321745126,1.1715671541547354,-0.32007873723728986,106.97377941954652,full,official_total_return
2016-06-02,2026-06-01,2426,9.995893223819301,0.271388955994899,0.2520415555686117,0.963439249765325,-0.32007873723729086,11.024428817006337,10Y,official_total_return
2021-06-02,2026-06-01,1210,4.996577686516085,0.37879279869682425,0.2740602108900319,1.203852068788686,-0.1856762069789657,4.97757282774758,5Y,official_total_return
2023-06-02,2026-06-01,724,2.9979466119096507,0.6213525795161896,0.30835599420013043,1.6329385870678181,-0.16712425847172618,4.257958660358175,3Y,official_total_return
2025-06-03,2026-06-01,242,0.9938398357289527,0.956448326735637,0.287934797141619,2.3783172093760134,-0.13496221455173296,1.9483765270286402,1Y,official_total_return
2015-02-10,2026-06-01,2745,11.304585900068446,0.3248627181877819,0.2593877150291824,1.1028855471399444,-0.2691984224307843,24.048677477753557,full,all_price_index
2016-06-02,2026-06-01,2426,9.995893223819301,0.28574321032128736,0.25540023434010173,0.9982300707610687,-0.26919842243078496,12.333721111408783,10Y,all_price_index
2021-06-02,2026-06-01,1210,4.996577686516085,0.36783302775414817,0.28000216317131543,1.1552806407952532,-0.20759676699345875,4.782994508197415,5Y,all_price_index
2023-06-02,2026-06-01,724,2.9979466119096507,0.5663477933354926,0.3081679580443548,1.5202357362231362,-0.1505318873941882,3.8394093452770646,3Y,all_price_index
2025-06-03,2026-06-01,242,0.9938398357289527,1.0149905971588975,0.2889910590008163,2.473124483288101,-0.11284228484013414,2.006312837697203,1Y,all_price_index
