family,strategy,mix_rule,segment,start,end,avg_turnover,avg_gross_exposure,cagr,vol,sharpe,max_dd,calmar,total_return
Sub-A,baseline_60_20_20,baseline,last_3y,2023-04-25,2026-04-24,0.14600550964187328,0.7149007159434011,0.34459670463682923,0.19828423356819883,1.6028028416113602,-0.12784098792147292,2.695510338581706,1.4294730076917093
Sub-A,baseline_60_20_20,baseline,last_5y,2021-04-23,2026-04-24,0.13943894389438943,0.7960127215707996,0.28510381407915864,0.19257472886529592,1.4074065324799507,-0.15869216109890438,1.7965841041226265,2.5068303387597473
Sub-A,baseline_60_20_20,baseline,last_10y,2016-04-25,2026-04-24,0.15596707818930042,0.7954224415202523,0.23374138798871225,0.19100273901729892,1.1992536782129208,-0.23241110283968125,1.0057238450864743,7.163317804853056
Sub-A,baseline_60_20_20,baseline,full_common,2015-02-10,2026-04-24,0.16054371785451874,0.7688289936791732,0.2853995917537149,0.19748673598750133,1.3752789036700008,-0.2324111028396807,1.2279946537261006,15.645125409911625
Sub-A,mix_40_10__60_20__120_40,weight_average,last_3y,2023-04-25,2026-04-24,0.1742347590127473,0.5454668132968232,0.23174804733347298,0.17631743760043814,1.2772505221487283,-0.1547852388827896,1.4972231784257095,0.8680124691190445
Sub-A,mix_40_10__60_20__120_40,weight_average,last_5y,2021-04-23,2026-04-24,0.18134288929114217,0.6240863027162706,0.16999127427471694,0.16609040147142284,1.0335726165974979,-0.15478523888278828,1.0982395705280623,1.1930731583037315
Sub-A,mix_40_10__60_20__120_40,weight_average,last_10y,2016-04-25,2026-04-24,0.19054400314107223,0.6125647516006864,0.10713230737171164,0.15962820368783986,0.7190598399294172,-0.25794642797614786,0.4153277415480167,1.7657551134488285
Sub-A,mix_40_10__60_20__120_40,weight_average,full_common,2014-12-26,2026-04-24,0.17830555717149374,0.5668156712558177,0.092741612288894,0.157212832536882,0.6445375116316684,-0.28077271221575184,0.3303084959966812,1.7306612053739139
Sub-A,mix_40_10__60_20__120_40,signal_mix_then_select,last_3y,2023-04-25,2026-04-24,0.23415977961432508,0.7698614512826295,0.11985239344918575,0.20370776460346715,0.6605799926765474,-0.21859406777697887,0.5482874931970498,0.4040462098209321
Sub-A,mix_40_10__60_20__120_40,signal_mix_then_select,last_5y,2021-04-23,2026-04-24,0.22813531353135313,0.8378123222660332,0.12147121359979596,0.1970427035720008,0.6838594556622462,-0.24521138745982018,0.4953734606623845,0.774364689962159
Sub-A,mix_40_10__60_20__120_40,signal_mix_then_select,last_10y,2016-04-25,2026-04-24,0.254320987654321,0.841761462982924,0.07629029079246386,0.19607430305666998,0.4741938526321466,-0.28117157624232325,0.2713300249336522,1.085273855726602
Sub-A,mix_40_10__60_20__120_40,signal_mix_then_select,full_common,2015-06-11,2026-04-24,0.25321725965177894,0.8159613646930434,0.07463649115830018,0.19920651321876054,0.4623247113888845,-0.28117157624232314,0.26544820837073496,1.1867066200061935
Sub-A,mix_45_15__60_20__90_30,weight_average,last_3y,2023-04-25,2026-04-24,0.1607535186024801,0.5533589435120365,0.20793573423760936,0.1797250976526909,1.1482761224847096,-0.19839083207145325,1.048111609122736,0.7618260196890327
