signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,calmar,turnover,trade_days,pair_change_days,direction_change_days,long_ratio,short_ratio,cash_ratio
original_bias_momentum_naked,FULL_COMMON,2010-09-29,2026-04-30,3785,16.18326011189456,0.20020518945118715,0.2266825137892924,0.9153001304110104,-0.43250362545321663,2013-12-23,0.462898291873031,1312.0,620,620,178,0.5083223249669749,0.4914134742404227,0.0002642007926023778
original_bias_momentum_naked,10Y,2016-05-03,2026-04-30,2429,4.6787681710243065,0.18986519072326402,0.19086016950219745,1.0015710178882382,-0.25370041253217623,2024-09-23,0.7483834528616853,838.0,397,397,121,0.5026759983532317,0.4973240016467682,0.0
original_bias_momentum_naked,5Y,2021-04-30,2026-04-30,1211,1.228025049653425,0.1737984743337686,0.2016560712835503,0.8936575376824656,-0.25370041253217623,2024-09-23,0.6850539681788107,420.0,197,197,64,0.4929810074318745,0.5070189925681255,0.0
original_bias_momentum_naked,3Y,2023-05-04,2026-04-30,726,0.3679845428767179,0.11049387455455362,0.21109604281970687,0.5984115318604887,-0.2537004125321757,2024-09-23,0.4355289510636494,262.0,121,121,41,0.4793388429752066,0.5206611570247934,0.0
original_bias_momentum_naked,1Y,2025-04-30,2026-04-30,243,0.07095841553098214,0.07100870331680631,0.17940916827786987,0.46975365934535235,-0.1847305593529156,2026-04-28,0.38439066912122993,96.0,45,45,15,0.2962962962962963,0.7037037037037037,0.0
weighted_log_slope_r2_naked,FULL_COMMON,2010-09-29,2026-04-30,3785,3.4642021301594585,0.10076197575411072,0.2092238892087079,0.5617138449932272,-0.5741284384325198,2016-06-13,0.17550424087894015,1384.0,649,649,157,0.5500660501981506,0.4499339498018494,0.0
weighted_log_slope_r2_naked,10Y,2016-05-03,2026-04-30,2429,2.327167616510656,0.12786610089231587,0.1763845741944701,0.7669708703197816,-0.26202026629173325,2024-09-23,0.4880008050596735,856.0,407,407,109,0.5755454919720049,0.42445450802799506,0.0
weighted_log_slope_r2_naked,5Y,2021-04-30,2026-04-30,1211,0.5260083355510423,0.08821925829477384,0.18403732998225714,0.5504713466151625,-0.2620202662917328,2024-09-23,0.33668868268590607,428.0,205,205,56,0.5730800990916598,0.4269199009083402,0.0
weighted_log_slope_r2_naked,3Y,2023-05-04,2026-04-30,726,0.18892957084117445,0.05959054257793728,0.18572415293284128,0.40253066119613445,-0.26202026629173314,2024-09-23,0.2274272269901032,278.0,131,131,37,0.5867768595041323,0.4132231404958678,0.0
weighted_log_slope_r2_naked,1Y,2025-04-30,2026-04-30,243,0.02117170043828165,0.021186354143249764,0.16326406689057738,0.20903141552293916,-0.15158615567159972,2025-12-25,0.1397644398948176,106.0,48,48,17,0.4156378600823045,0.5843621399176955,0.0
