signal,year,return
original_bias_momentum_naked,2010,0.13375572261874846
original_bias_momentum_naked,2011,0.10585776967973248
original_bias_momentum_naked,2012,0.21413879481838882
original_bias_momentum_naked,2013,-0.3714812610796957
original_bias_momentum_naked,2014,1.711296299285392
original_bias_momentum_naked,2015,0.38384804541974393
original_bias_momentum_naked,2016,-0.12670133414421048
original_bias_momentum_naked,2017,0.044497615506507326
original_bias_momentum_naked,2018,0.28159650837896044
original_bias_momentum_naked,2019,0.3411516077583274
original_bias_momentum_naked,2020,0.22531353474406446
original_bias_momentum_naked,2021,0.4395972615611645
original_bias_momentum_naked,2022,0.20258483810742756
original_bias_momentum_naked,2023,0.049849564905542154
original_bias_momentum_naked,2024,0.21000314963433042
original_bias_momentum_naked,2025,0.20158822741662052
original_bias_momentum_naked,2026,-0.05710745583712129
weighted_log_slope_r2_naked,2010,-0.05651299982271496
weighted_log_slope_r2_naked,2011,0.3383376930459845
weighted_log_slope_r2_naked,2012,0.13718980219073718
weighted_log_slope_r2_naked,2013,-0.18119193813466428
weighted_log_slope_r2_naked,2014,1.1162690478837134
weighted_log_slope_r2_naked,2015,-0.2525856182241655
weighted_log_slope_r2_naked,2016,-0.28637578571953337
weighted_log_slope_r2_naked,2017,0.1550483539787646
weighted_log_slope_r2_naked,2018,0.11201380351619727
weighted_log_slope_r2_naked,2019,0.16948567773191692
weighted_log_slope_r2_naked,2020,0.23073978474070778
weighted_log_slope_r2_naked,2021,0.5636494835603829
weighted_log_slope_r2_naked,2022,-0.03486331306998869
weighted_log_slope_r2_naked,2023,0.013122765938004655
weighted_log_slope_r2_naked,2024,0.04866786337274087
weighted_log_slope_r2_naked,2025,0.0718622741728141
weighted_log_slope_r2_naked,2026,0.058733134020928945
