rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,source,ma,days,scale,trigger_days,defensive_pass,defensive_score
broad_consec_below:hs300:ma10:days5:scale0.00,13.062123562154483,18.188563805890702,0.7902642176389665,-37.0599546725944,0.3524592428013367,1353.4292611322464,-8.351101846919896,3.9024208299238907,-0.3223299757495961,18.593316455740627,18.92325354918067,1.0283892737897142,-22.98677446780436,0.8088701823643296,449.91807408983175,-15.694161453124636,-2.9805607804529757,-0.563461318279453,21.702181861419234,19.622028475869886,1.1375572924973252,-22.986774467804437,0.944116012962827,166.66521584271402,-15.76363520409938,-5.614773750261001,-0.5264342499352312,28.2649662674334,20.572551038933792,1.3603039797452932,-22.986774467804416,1.2296186360127077,111.05621711196605,-6.4591828762773105,-5.61477375026098,-0.16876994882139673,35.740889621793805,18.62899766109666,1.7932573447983244,-15.051351706711369,2.374596668673752,35.712501500123665,5.436614089027604,0.656313809941512,0.3324419168911683,hs300,10,5,0.0,942,False,-3.2449711541759445
broad_consec_below:hs300:ma10:days5:scale0.25,15.163003294995537,18.279864645781988,0.8916730684714027,-36.41861272382516,0.41635312717652906,2071.277527007426,-6.250222114078841,4.543762778693129,-0.22092112491715987,22.4101607631251,19.000758958102924,1.1979263846098551,-21.574866180850904,1.0387160956305523,654.7689685169421,-11.877317145740165,-1.5686524934995205,-0.3939242074593121,25.54307319304423,19.707434301383635,1.2974750653283915,-21.57486618085096,1.18392730591837,211.42623725032053,-11.922743872474385,-4.202865463307525,-0.3665164771041649,29.9155251165381,20.639163589607506,1.421086268082191,-21.574866180850904,1.3865914562700774,119.31127309268837,-4.808624027172613,-4.202865463307468,-0.10798766048449893,34.43167771238409,18.739474018013194,1.7301125257122232,-15.192745093521843,2.266323663066373,34.404454980036704,4.127402179617885,0.5149204231310378,0.26929709780506705,hs300,10,5,0.25,942,False,-2.4168362653720896
broad_consec_below:hs300:ma10:days5:scale0.50,17.256347673756387,18.594549475546476,0.9801739598322705,-36.85500878237422,0.46822259019537055,3115.709514321459,-4.156877735317991,4.107366720144071,-0.13242023355629207,26.29853358625651,19.300760110536896,1.3503786583286281,-20.181050313796543,1.3031300738732028,931.7314306467797,-7.988944322608752,-0.17483662644515974,-0.2414719337405391,29.451290317055555,20.010243771927332,1.4402072005058806,-20.181050313796632,1.4593536936440512,262.9454234619859,-8.014526748463059,-2.809049596253196,-0.22378434192667584,31.54313698924298,20.87353907075951,1.469569961880803,-20.181050313796632,1.5630076977548952,127.65965917063822,-3.18101215446773,-2.809049596253196,-0.05950396668588698,33.08832407407076,19.039388266271658,1.6510881429383668,-15.349337621214032,2.1556841663538635,33.06228805788125,2.7840485413045606,0.35832789543884935,0.19027271503121068,hs300,10,5,0.5,942,False,-1.5851439364195494
broad_consec_below:hs300:ma10:days5:scale0.75,19.340364947269872,19.121816267090953,1.0538989307784965,-37.96007947077169,0.5094922143711914,4621.501267821574,-2.072860461804506,3.002296031746603,-0.05869526261006608,30.25785992328025,19.813368102083338,1.4821277736161713,-19.819564472348404,1.5266662375702054,1304.6493168277266,-4.029617985585013,0.18664921500297993,-0.10972281845299592,33.425886982745666,20.520955009439017,1.5627030633447867,-18.779964609099952,1.7798695406778848,322.11325829179094,-4.039930082772948,-1.4079638915565162,-0.10128847908776972,33.14645816713095,21.27025369535215,1.5053983687412553,-18.77996460909994,1.7649904489739903,136.08802208696167,-1.5776909765797598,-1.4079638915565056,-0.023675559825434567,31.7120958479296,19.520094044760285,1.55990618110871,-15.521016806364617,2.0431712846883587,31.687265972385493,1.4078203151633986,0.1866487102882637,0.09909075320155392,hs300,10,5,0.75,942,False,-0.7850344307644757
broad_consec_below:hs300:ma10:days6:scale0.00,15.272102018519496,18.73691223744889,0.8796955723333532,-41.439209811879586,0.3685423078251209,2116.566588216736,-6.141123390554883,-0.4768343093612941,-0.23289862105520942,22.642440145967726,19.392035772424823,1.1877050463171495,-21.96785130877643,1.0307080026949103,669.2080144380695,-11.645037762897537,-1.961637621425048,-0.4041455457520178,23.997178020850285,19.923330797783702,1.2208721715094846,-21.96785130877649,1.0923771143363052,192.74101551662054,-13.468639044668329,-4.595850591233052,-0.44311937092307185,30.35410586284013,20.870365332496295,1.4244584366724011,-21.967851308776453,1.381751243496138,121.5404041497139,-4.370043280870583,-4.595850591233017,-0.10461549189428876,34.39594169019424,18.87843061367015,1.7172990739913871,-15.168127715646529,2.2676458383662905,34.36875064624818,4.09166615742804,0.5395378010063521,0.256483646084231,hs300,10,6,0.0,702,False,-2.4130139504891135
broad_consec_below:hs300:ma10:days6:scale0.25,16.825445492922817,18.793135833666266,0.9514907353616374,-40.72257621876045,0.4131724231428049,2867.6864762294326,-4.587779916151561,0.23979928375784,-0.16110345802692516,25.510924800560943,19.441878276951257,1.308542911495134,-20.74960420876136,1.2294656102302497,869.1924737977365,-8.77655310830432,-0.7433905214099781,-0.2833076805740333,27.300715105353234,19.98744722156949,1.3544352689424084,-20.749604208761408,1.3157222099603063,233.8169933825598,-10.16510196016538,-3.3776034912179718,-0.309556273490148,31.484512309392308,20.916725361659076,1.464749636905423,-20.74960420876143,1.5173548368743395,127.35534297344313,-3.2396368343184037,-3.377603491217993,-0.06432429166126696,33.421027381185134,18.961144783456977,1.6707848882325202,-15.283667434623938,2.186715166640727,33.39469831577433,3.1167518484189323,0.42399808202894285,0.20996946032536412,hs300,10,6,0.25,702,False,-1.7808827518223285
broad_consec_below:hs300:ma10:days6:scale0.50,18.367376520053092,19.000171236998177,1.014753919930508,-40.166812934811894,0.45727741829709373,3849.7386084264617,-3.0458488890212863,0.7955625677063978,-0.09784027345805457,28.40850731414286,19.650703884322695,1.4172311341921944,-19.53518576616906,1.4542225323160516,1117.5645783066855,-5.878970594722404,0.47102792118232273,-0.17461945787697286,30.647308941723495,20.230437835625676,1.4740148776196111,-19.53077514276328,1.5691803688129202,280.0031048546831,-6.8185081237951195,-2.1587744252198426,-0.18997666481294528,32.59015077464793,21.092936376462905,1.4956072599228805,-19.530775142763133,1.66865628918593,133.14045933939465,-2.1339983690627804,-2.158774425219697,-0.03346666864380943,32.41355248874422,19.208385861918565,1.6107811851020042,-15.412156996870586,2.103115903589987,32.38810907169738,2.1092769559780216,0.2955085197822953,0.14996575719484806,hs300,10,6,0.5,702,False,-1.148749197596473
broad_consec_below:hs300:ma10:days6:scale0.75,19.896952748263573,19.353325740279477,1.0685393216602481,-40.3161802530496,0.49352276488937774,5125.600928159985,-1.516272660810806,0.6461952494686898,-0.04405487172831446,31.33432544755035,20.013704837687598,1.5119235061808434,-19.770329921807594,1.5849166691440555,1425.0929915280135,-2.9531524613149145,0.23588376554378954,-0.07992708588832387,34.03601173075168,20.64617228162361,1.5774657104908976,-18.409609424163207,1.848817698765424,331.8409064837777,-3.4298053347669324,-1.0376087066197712,-0.08652583194165886,33.670275028203456,21.395932708416627,1.516919926491847,-18.409609424163175,1.8289510794297563,138.88605087623694,-1.0538741155072557,-1.0376087066197393,-0.012154002074842962,31.374351662114886,19.614064234167508,1.5397853384696598,-15.553517047444455,2.017186953048018,31.349816290178435,1.070076129348685,0.15414846920842606,0.07896991056250369,hs300,10,6,0.75,702,False,-0.5721344840389588
broad_consec_below:hs300:ma10:days7:scale0.00,17.62186331244566,19.07442120976073,0.9771833542929502,-44.03115741854327,0.40021349302583614,3341.483895157915,-3.791362096628717,-3.0687819160249816,-0.13541083909561236,26.03549177584792,19.754234434629137,1.3128274102306676,-21.800364111348237,1.1942686664712667,910.4524964928269,-8.251986133017343,-1.7941504239968538,-0.2790231818384996,26.238858528661456,20.32543479560318,1.2923541725881065,-21.800364111348248,1.2035972607908294,220.14146557069552,-11.226958536857158,-4.428363393804812,-0.37163736984444995,31.849682103990705,21.170275202952546,1.4633531000068738,-21.800364111348248,1.460970190282797,129.2553348984142,-2.874467039720006,-4.428363393804812,-0.06572082855981609,35.2673982317705,19.18841703433638,1.727554643660796,-15.571118061277456,2.2649239504178005,35.23943258757245,4.963122699004298,0.13654745537542468,0.2667392157536399,hs300,10,7,0.0,508,False,-1.7224763219552093
broad_consec_below:hs300:ma10:days7:scale0.25,18.59256122207096,19.11336614292137,1.0201789355906286,-42.8003379547497,0.4344022059294903,4016.839115587944,-2.8206641870034197,-1.8379624522314089,-0.09241525779793403,28.088982219179172,19.785795018866082,1.395809930343924,-20.551725697408575,1.366745675411627,1087.6164959454575,-6.198495689686091,-0.5455120100571911,-0.19604066172524326,29.003725496152242,20.364684174909996,1.4009296737054449,-20.551725697408607,1.4112549925580877,256.72203285676216,-8.462091569366372,-3.1797249798651706,-0.26306186872711157,32.59869032496026,21.200945836047573,1.4893672099955966,-20.551725697408653,1.5861777645791855,133.18551918452647,-2.1254588187504524,-3.1797249798652167,-0.039706718571093313,34.05678110915662,19.250586076012315,1.6741345392433011,-15.586109979462448,2.1850725520372087,34.02989048721812,3.7525055763904156,0.12155553719043333,0.213319111336145,hs300,10,7,0.25,508,False,-1.2538014198944731
