source,scale,tested,pass_cells,best_score,median_score,best_full_ann,best_10y_ann,best_10y_dd,best_5y_ann,best_5y_dd,best_3y_ann,best_3y_dd
hs300,0.5,1586,60,0.22573868229489125,-0.08998897899160391,0.7398141495497299,1.9239258537995454,4.684794044774222,1.817684669812067,2.4178719316047115,3.6873438219708703,2.417871931604756
hs300,0.0,1586,56,0.2935471086242325,-0.27546019275789735,1.431803764062355,3.8262310669196395,5.281012971130995,3.5932792452155766,3.8260350232650975,7.3888794860376805,3.9022620245256174
hs300,0.25,1586,56,0.2894880408968412,-0.17527256421443466,1.0918302574718588,2.8778185459382257,5.281012971130995,2.7107907090436285,3.277227038026556,5.536431760773013,3.2772270380265436
cyb,0.5,1586,1,0.19716424233759458,-0.2662887062527963,0.5138664014412413,0.9247806341545086,5.2810129711309735,1.2250033739024104,2.981370204780756,2.8121151309672854,2.981370204780921
zz2000,0.0,1586,0,0.258714336782496,-0.9670993538723875,1.3247860163890763,3.3969184594918573,1.6124368610925721,7.309886410136436,5.795589280525306,9.034747580691388,5.795589280525306
cyb,0.25,1586,0,0.22031734949565615,-0.46289886901144683,0.753008735413129,1.3598266304497955,5.281012971130995,1.8296700620423536,3.9736196989618193,4.222429071930556,3.973619698961862
zz2000,0.25,1586,0,0.21971188405483327,-0.6913552727910786,1.004490993226323,2.567978798436151,3.4461458893301327,5.480520639107759,6.143822168663629,6.77167942558026,6.143822168663572
cyb,0.0,1586,0,0.21216029440001666,-0.6902005843524502,0.9801026587472812,1.7788217322103321,5.281012971130995,2.4290708852741076,3.9833814975702833,5.635387932718032,3.983381497570262
zz2000,0.5,1586,0,0.16715142941667424,-0.4438459690392849,0.6769065153424236,1.7253550615675195,2.8104951832345293,3.6521284593460805,4.6366345606881705,4.510925336485052,4.636634560688215
hs300,0.75,1586,0,0.13955783390551396,-0.03263957495299398,0.375842060667118,0.9646283333574388,2.4658096618666363,0.9140560116645204,1.6643352008906778,1.8418039350611082,1.6643352008906778
cyb,0.75,1586,0,0.112213235163106,-0.11030626786087988,0.26281815998936153,0.4768208875374853,3.151540580206813,0.6151027560145508,1.9802176247661798,1.4045909655784996,1.980217624766258
zz2000,0.75,1586,0,0.09078995366346251,-0.21446517592666067,0.3420653578000561,0.8692830671157736,1.4017072334192804,1.825144811519273,3.033467978393059,2.2533994899541128,3.033467978393059
