variant,window,annual,max_dd,sharpe,calmar,annual_delta,max_dd_delta
baseline_combo,1Y,22.365631677104346,-13.39193295333849,0.8892937783565612,1.6700824111823822,0.0,0.0
switch_cash_decay550_rec800_combo,1Y,26.587572539670035,-12.607443769795571,1.0843597717775162,2.1088789309826246,4.221940862565688,0.7844891835429184
switch_cash_decay550_rec875_combo,1Y,26.696484899141915,-12.59496377268577,1.0887224448686155,2.1196158544765002,4.330853222037568,0.7969691806527202
switch_cash_decay550_rec900_combo,1Y,26.696484899141915,-12.59496377268577,1.0887224448686155,2.1196158544765002,4.330853222037568,0.7969691806527202
baseline_combo,3Y,13.927270068701603,-13.391932953338445,0.5859950164365089,1.039974596440143,0.0,0.0
switch_cash_decay550_rec800_combo,3Y,16.910131778929106,-12.607443769795529,0.743992852871745,1.3412815545877592,2.9828617102275032,0.7844891835429166
switch_cash_decay550_rec875_combo,3Y,16.969980831403664,-12.594963772685746,0.7467541664057836,1.3473624170484604,3.042710762702061,0.7969691806526988
switch_cash_decay550_rec900_combo,3Y,16.969980831403664,-12.594963772685746,0.7467541664057836,1.3473624170484604,3.042710762702061,0.7969691806526988
baseline_combo,5Y,19.15336583577649,-13.391932953338415,0.8960520480950813,1.4302166761521782,0.0,0.0
switch_cash_decay550_rec800_combo,5Y,20.502566900006357,-12.607443769795527,0.9728868502555842,1.6262271142644864,1.3492010642298666,0.7844891835428882
switch_cash_decay550_rec875_combo,5Y,20.52040448363566,-12.594963772685766,0.973595004930754,1.6292547445144308,1.367038647859168,0.7969691806526491
switch_cash_decay550_rec900_combo,5Y,20.52040448363566,-12.594963772685766,0.973595004930754,1.6292547445144308,1.367038647859168,0.7969691806526491
