variant,window,sample_count,better_annual_ratio,better_maxdd_ratio,better_both_ratio,avg_annual_delta,avg_maxdd_delta,avg_calmar_delta
switch_cash_decay550_rec875,rolling_3Y,144,0.9444444444444444,0.7916666666666666,0.7916666666666666,4.24772632948727,1.9216181051760681,0.2586685059181804
switch_cash_decay550_rec900,rolling_3Y,144,0.9444444444444444,0.7916666666666666,0.7916666666666666,4.24772632948727,1.9216181051760681,0.2586685059181804
switch_cash_decay550_rec925,rolling_3Y,144,0.9444444444444444,0.7916666666666666,0.7916666666666666,4.215481410401103,1.9216181051760641,0.25715942950310283
switch_cash_decay550_rec950,rolling_3Y,144,0.9444444444444444,0.7916666666666666,0.7916666666666666,4.215481410401103,1.9216181051760641,0.25715942950310283
switch_cash_decay550_rec800,rolling_3Y,144,0.9444444444444444,0.7847222222222222,0.7847222222222222,4.141422800237562,2.022507302380355,0.2581889362636227
switch_cash_decay550_rec800,rolling_1Y,168,0.7976190476190477,0.7023809523809523,0.6190476190476191,3.85722050877389,1.3958757632962542,0.7538400091759445
switch_cash_decay550_rec875,rolling_1Y,168,0.7916666666666666,0.6904761904761905,0.6011904761904762,3.965561080846646,1.3371750191070835,0.75324798049477
switch_cash_decay550_rec900,rolling_1Y,168,0.7916666666666666,0.6904761904761905,0.6011904761904762,3.965561080846646,1.3371750191070835,0.75324798049477
switch_cash_decay550_rec925,rolling_1Y,168,0.7916666666666666,0.6904761904761905,0.6011904761904762,3.9369664719552926,1.334063236715465,0.7500878088506178
switch_cash_decay550_rec950,rolling_1Y,168,0.7916666666666666,0.6904761904761905,0.6011904761904762,3.9369664719552926,1.334063236715465,0.7500878088506178
switch_cash_decay600_rec875,rolling_3Y,144,0.7708333333333334,0.6597222222222222,0.5694444444444444,2.7853647623923257,2.468060242268124,0.20215401645475564
switch_cash_decay600_rec900,rolling_3Y,144,0.7708333333333334,0.6597222222222222,0.5694444444444444,2.7853647623923257,2.468060242268124,0.20215401645475564
switch_cash_decay600_rec925,rolling_3Y,144,0.7708333333333334,0.6597222222222222,0.5694444444444444,2.776152719526211,2.4680602422681255,0.20172131059921844
switch_cash_decay600_rec875,rolling_1Y,168,0.6726190476190477,0.5238095238095238,0.44642857142857145,2.5073890690442178,1.4731019115762818,0.5134824648358971
switch_cash_decay600_rec900,rolling_1Y,168,0.6726190476190477,0.5238095238095238,0.44642857142857145,2.5073890690442178,1.4731019115762818,0.5134824648358971
switch_cash_decay600_rec925,rolling_1Y,168,0.6726190476190477,0.5238095238095238,0.44642857142857145,2.4994309725582657,1.4737933898656084,0.5129899977961289
