variant,decay_ratio_threshold,recovery_ratio_threshold,annual,max_dd,sharpe,calmar,annual_delta,max_dd_delta,full_annual_rank,full_maxdd_rank,full_calmar_rank,1Y_annual,1Y_max_dd,1Y_sharpe,1Y_calmar,1Y_annual_rank,1Y_maxdd_rank,1Y_calmar_rank,3Y_annual,3Y_max_dd,3Y_sharpe,3Y_calmar,3Y_annual_rank,3Y_maxdd_rank,3Y_calmar_rank,5Y_annual,5Y_max_dd,5Y_sharpe,5Y_calmar,5Y_annual_rank,5Y_maxdd_rank,5Y_calmar_rank,recent_rank,mid_rank,long_rank,composite_rank
switch_cash_decay550_rec800,0.55,0.8,26.836333036442483,-26.799313231318898,1.1052001099070705,1.0013813714106794,4.054235897939893,4.398967849267205,5.0,67.0,5.0,56.77893927833839,-8.662596357094525,2.0809109354477826,6.554494396109933,42.0,15.0,35.0,26.222455277587976,-15.250206960531335,1.0087335358455236,1.7194819287012715,8.0,73.0,10.0,27.6521136288719,-18.087763462641664,1.1263750853843906,1.5287746152797925,11.0,46.0,11.0,30.666666666666668,30.333333333333332,22.666666666666668,26.777777777777775
switch_cash_decay550_rec875,0.55,0.875,26.927228233383182,-26.799313231318898,1.107552148958125,1.0047730701514692,4.145131094880593,4.398967849267205,1.0,67.0,1.0,56.77893927833835,-8.662596357094525,2.08091093544778,6.554494396109929,45.0,15.0,38.0,26.222455277587954,-15.250206960531315,1.0087335358455234,1.7194819287012724,11.0,55.0,8.0,28.146297171547285,-18.898713004855264,1.1414508595311283,1.4893234880235615,1.0,93.0,23.0,32.666666666666664,24.666666666666668,39.0,27.555555555555554
switch_cash_decay550_rec900,0.55,0.9,26.927228233383182,-26.799313231318898,1.107552148958125,1.0047730701514692,4.145131094880593,4.398967849267205,1.0,67.0,1.0,56.77893927833835,-8.662596357094525,2.08091093544778,6.554494396109929,45.0,15.0,38.0,26.222455277587954,-15.250206960531315,1.0087335358455234,1.7194819287012724,11.0,55.0,8.0,28.146297171547285,-18.898713004855264,1.1414508595311283,1.4893234880235615,1.0,93.0,23.0,32.666666666666664,24.666666666666668,39.0,27.555555555555554
switch_cash_decay600_rec875,0.6,0.875,25.495417498153316,-25.856366291320672,1.0659473001496869,0.9860402351552191,2.7133203596507265,5.341914789265431,34.0,46.0,8.0,58.703306860984775,-8.676361326452353,2.1438854799942626,6.765890060619197,1.0,43.0,15.0,25.13311268650027,-15.380991952480127,0.982226275574487,1.6340371781059055,34.0,105.0,29.0,27.666914754267857,-17.785784088759456,1.1408273509030835,1.5555633991842528,9.0,13.0,1.0,19.666666666666668,56.0,7.666666666666667,28.555555555555557
switch_cash_decay600_rec900,0.6,0.9,25.495417498153316,-25.856366291320672,1.0659473001496869,0.9860402351552191,2.7133203596507265,5.341914789265431,34.0,46.0,8.0,58.703306860984775,-8.676361326452353,2.1438854799942626,6.765890060619197,1.0,43.0,15.0,25.13311268650027,-15.380991952480127,0.982226275574487,1.6340371781059055,34.0,105.0,29.0,27.666914754267857,-17.785784088759456,1.1408273509030835,1.5555633991842528,9.0,13.0,1.0,19.666666666666668,56.0,7.666666666666667,28.555555555555557
switch_cash_decay550_rec925,0.55,0.925,26.900272348811917,-26.799313231318898,1.1067043070184663,1.0037672277875775,4.118175210309328,4.398967849267205,3.0,67.0,3.0,56.77893927833835,-8.662596357094525,2.08091093544778,6.554494396109929,45.0,15.0,38.0,26.222455277587954,-15.250206960531326,1.0087335358455234,1.7194819287012713,11.0,61.0,11.0,28.06505608687262,-18.898713004855217,1.1389559907491111,1.4850247252107855,3.0,87.0,25.0,32.666666666666664,27.666666666666668,38.333333333333336,28.61111111111111
switch_cash_decay550_rec950,0.55,0.95,26.900272348811917,-26.799313231318898,1.1067043070184663,1.0037672277875775,4.118175210309328,4.398967849267205,3.0,67.0,3.0,56.77893927833835,-8.662596357094525,2.08091093544778,6.554494396109929,45.0,15.0,38.0,26.222455277587954,-15.250206960531326,1.0087335358455234,1.7194819287012713,11.0,61.0,11.0,28.06505608687262,-18.898713004855217,1.1389559907491111,1.4850247252107855,3.0,87.0,25.0,32.666666666666664,27.666666666666668,38.333333333333336,28.61111111111111
switch_cash_decay600_rec925,0.6,0.925,25.487719326896396,-25.856366291320672,1.0657603624820042,0.985742506883188,2.705622188393807,5.341914789265431,36.0,46.0,10.0,58.70330686098468,-8.676361326452353,2.143885479994262,6.765890060619187,3.0,43.0,17.0,25.133112686500205,-15.380991952480102,0.982226275574487,1.634037178105904,36.0,99.0,31.0,27.64353316360877,-17.785784088759392,1.140297027677668,1.5542487767564586,14.0,9.0,3.0,21.0,55.333333333333336,8.666666666666666,29.5
switch_cash_decay600_rec950,0.6,0.95,25.487719326896396,-25.856366291320672,1.0657603624820042,0.985742506883188,2.705622188393807,5.341914789265431,36.0,46.0,10.0,58.70330686098468,-8.676361326452353,2.143885479994262,6.765890060619187,3.0,43.0,17.0,25.133112686500205,-15.380991952480102,0.982226275574487,1.634037178105904,36.0,99.0,31.0,27.64353316360877,-17.785784088759392,1.140297027677668,1.5542487767564586,14.0,9.0,3.0,21.0,55.333333333333336,8.666666666666666,29.5
switch_cash_decay600_rec850,0.6,0.85,25.455734728005663,-25.856366291320576,1.0643322725864812,0.9845054962943731,2.6736375895030733,5.341914789265527,38.0,34.0,13.0,58.70330686098468,-8.676361326452353,2.143885479994262,6.765890060619187,3.0,43.0,17.0,25.133112686500205,-15.380991952480105,0.9822262755744866,1.6340371781059038,36.0,101.0,33.0,27.41906847595006,-17.785784088759478,1.1312271989494727,1.5416283217605664,17.0,17.0,9.0,21.0,56.666666666666664,14.333333333333334,29.5
