variant,decay_ratio_threshold,recovery_ratio_threshold,neighbor_count,neighbor_better_annual_ratio,neighbor_better_maxdd_ratio,neighbor_better_both_ratio,neighbor_avg_annual_delta,neighbor_avg_maxdd_delta,self_composite_rank,neighbor_avg_calmar_proxy
switch_cash_decay575_rec950,0.575,0.95,5,1.0,1.0,1.0,3.108371292270533,4.77614662526649,52.555555555555564,7.884517917537023
switch_cash_decay575_rec900,0.575,0.9,8,1.0,1.0,1.0,3.044159257091846,4.752572951766533,51.72222222222222,7.796732208858379
switch_cash_decay575_rec925,0.575,0.925,8,1.0,1.0,1.0,3.039827500113323,4.752572951766533,52.555555555555564,7.792400451879856
switch_cash_decay575_rec875,0.575,0.875,8,1.0,1.0,1.0,3.0218287692141317,4.752572951766544,51.72222222222222,7.774401720980675
switch_cash_decay575_rec850,0.575,0.85,8,1.0,1.0,1.0,2.957025500499973,4.7525729517665525,53.88888888888889,7.709598452266525
switch_cash_decay575_rec825,0.575,0.825,8,1.0,1.0,1.0,2.916563525186355,4.752572951766565,63.333333333333336,7.66913647695292
switch_cash_decay575_rec800,0.575,0.8,8,1.0,1.0,1.0,2.7098090561693198,4.752572951766548,60.27777777777778,7.462382007935868
switch_cash_decay575_rec775,0.575,0.775,8,1.0,1.0,1.0,2.4816140919847065,4.75257295176655,73.50000000000001,7.234187043751256
switch_cash_decay600_rec900,0.6,0.9,8,1.0,1.0,1.0,2.1788775384196257,4.988309686766052,28.555555555555557,7.167187225185678
switch_cash_decay600_rec925,0.6,0.925,8,1.0,1.0,1.0,2.174913683824993,4.988309686766052,29.5,7.163223370591045
switch_cash_decay600_rec875,0.6,0.875,8,1.0,1.0,1.0,2.1634439722037206,4.988309686766081,28.555555555555557,7.1517536589698025
switch_cash_decay600_rec950,0.6,0.95,5,1.0,1.0,1.0,2.134278582451875,4.964736013266093,29.5,7.099014595717968
switch_cash_decay550_rec900,0.55,0.9,8,1.0,1.0,1.0,3.0644701317617593,4.0157847918242435,27.555555555555554,7.080254923586002
switch_cash_decay550_rec925,0.55,0.925,8,1.0,1.0,1.0,3.058111041381631,4.0157847918242435,28.61111111111111,7.073895833205874
switch_cash_decay600_rec850,0.6,0.85,8,1.0,1.0,1.0,2.0809311243961424,4.988309686766099,29.5,7.069240811162242
switch_cash_decay550_rec875,0.55,0.875,8,1.0,1.0,1.0,3.0343024208943743,4.0157847918242355,27.555555555555554,7.05008721271861
switch_cash_decay600_rec825,0.6,0.825,8,1.0,1.0,1.0,2.0276950868624906,4.988309686766135,41.05555555555556,7.016004773628625
switch_cash_decay550_rec850,0.55,0.85,8,1.0,1.0,1.0,2.987361597149945,4.015784791824231,29.722222222222225,7.0031463889741765
switch_cash_decay550_rec950,0.55,0.95,5,1.0,1.0,1.0,2.9770629491048117,3.990239254661379,28.61111111111111,6.967302203766191
switch_cash_decay550_rec825,0.55,0.825,8,1.0,1.0,1.0,2.936308044067459,4.017126440676568,29.722222222222225,6.953434484744028
switch_cash_decay575_rec750,0.575,0.75,8,1.0,1.0,1.0,2.1772099108109275,4.75257295176655,78.66666666666667,6.929782862577477
switch_cash_decay600_rec800,0.6,0.8,8,1.0,1.0,1.0,1.7972319927538547,4.98830968676616,43.0,6.785541679520014
switch_cash_decay550_rec800,0.55,0.8,8,1.0,1.0,1.0,2.7483166684845095,4.018468089528911,26.777777777777775,6.76678475801342
switch_cash_decay575_rec650,0.575,0.65,5,1.0,1.0,1.0,1.986140075767588,4.776146625266525,77.77777777777777,6.762286701034112
switch_cash_decay575_rec725,0.575,0.725,8,1.0,1.0,1.0,1.9879860335294977,4.75257295176655,83.8888888888889,6.7405589852960475
switch_cash_decay575_rec675,0.575,0.675,8,1.0,1.0,1.0,1.9610133406591252,4.752572951766567,87.44444444444444,6.713586292425692
switch_cash_decay575_rec700,0.575,0.7,8,1.0,1.0,1.0,1.874072720671673,4.75257295176655,86.27777777777777,6.626645672438222
switch_cash_decay550_rec775,0.55,0.775,8,1.0,1.0,1.0,2.5578892091832337,4.019809738381256,46.444444444444436,6.57769894756449
switch_cash_decay600_rec775,0.6,0.775,8,1.0,1.0,1.0,1.5593794110815482,4.988309686766167,59.555555555555564,6.547689097847715
switch_cash_decay550_rec750,0.55,0.75,8,1.0,1.0,1.0,2.3195024913064737,4.019809738381256,52.666666666666664,6.33931222968773
switch_cash_decay550_rec675,0.55,0.675,8,1.0,1.0,1.0,2.21977612201207,4.019809738381256,58.05555555555555,6.239585860393326
switch_cash_decay600_rec750,0.6,0.75,8,1.0,1.0,1.0,1.232322973647089,4.988309686766167,66.72222222222223,6.220632660413256
