strategy,start,end,days,annual,max_dd,sharpe,total_return
Sub-A_baseline_full,2010-09-29,2026-03-27,3762,0.22836235995500798,-0.31198281080586104,0.9390709361639209,23.195541884966296
Sub-A_RSRS_full,2010-09-29,2026-03-27,3762,0.13751587688466982,-0.4085871487165357,0.5912010114787629,6.359082612755718
Sub-A_baseline_same_start,2012-12-12,2026-03-27,3226,0.26777855662589944,-0.31198281080586077,1.078403583683926,22.39462170590769
Sub-A_RSRS_same_start,2012-12-12,2026-03-27,3226,0.156424055663396,-0.40858714871653673,0.6384905748575348,5.8964227086457415
Sub-B_baseline_full,2003-08-22,2026-03-18,6987,0.13257066524661743,-0.20543896643991336,0.7450045886463531,15.607319299973291
Sub-B_RSRS_full,2003-08-22,2026-03-18,6987,0.04572228743434614,-0.3607901832466548,0.32545484141728337,1.7431129272140042
Sub-B_baseline_same_start,2005-06-14,2026-03-18,6532,0.1284752219146137,-0.20543896643991305,0.7191830388566056,11.292768474300013
Sub-B_RSRS_same_start,2005-06-14,2026-03-18,6532,0.04981227595744775,-0.3607901832466548,0.33660240414778364,1.7431129272140042
