case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,segment,start,end,rows,old_signal_days,clear_signal_days,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0,0.9276631709132869,0.15097777672112928,1.0480509091414514,0.2563726224842213,2.901065310263719,-0.09816116605472125,10.676838420574603,2.02308075906835
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,0,0,0,0.8139904412760074,0.1984127062571504,0.37440495126928175,0.23883350804421016,1.455997223131508,-0.22420262423001935,1.669940093498474,2.5877726443202844
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,0,0,0,0.906151011484153,0.20824566831460503,0.2767264623772796,0.22712111193770376,1.1934383035851097,-0.23433112166463066,1.1809206579624716,3.3781100935058452
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,0,0,0,0.928891781941972,0.2336028110800826,0.25430539800576346,0.2280673403519927,1.111031104758049,-0.2999330053260312,0.8478740034939806,9.612150279358648
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,0,0,0,0.8986336793869163,0.22768311056840032,0.32162813975462545,0.24483919535293813,1.2668865166299323,-0.29993300532603107,1.0723332679076498,77.15221583920835
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,93,36,107,0.6903409090909091,0.1890495867768595,0.9879482118483531,0.19620297720121538,3.571614035839105,-0.06206826712435154,15.917122510751499,1.964711955852979
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,318,100,366,0.5966901794533429,0.19412675312549937,0.4563599966111458,0.19262401081664204,2.0555211872215966,-0.11042779049152995,4.132655326886664,3.077017407326637
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,507,111,563,0.6855967523001049,0.22277770476786163,0.3571349733237208,0.1817312071720256,1.7780977730480725,-0.1501227635120106,2.3789528314614867,4.579792735024883
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2886055907110179,0.18748446382794784,1.4508216315979918,-0.1863621204234216,1.5486279618159278,12.58471537317435
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,1480,240,1588,0.7128294870322898,0.24235815231422403,0.2980054000005192,0.21097779283096332,1.347711829584266,-0.3479082643647007,0.8565631533493268,58.24834583050168
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.25,,,1.0,last_1y,2025-05-06,2026-04-30,242,93,0,93,0.7351186396215216,0.1762436511121708,1.0180114513991434,0.23396488352976666,3.09284110227421,-0.0911145385949399,11.172876108442251,1.9939116238341048
