case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,old_signal_days_last_1y,clear_signal_days_last_1y,overlay_days_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,old_signal_days_last_3y,clear_signal_days_last_3y,overlay_days_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,old_signal_days_last_5y,clear_signal_days_last_5y,overlay_days_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,old_signal_days_last_10y,clear_signal_days_last_10y,overlay_days_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,old_signal_days_full_common,clear_signal_days_full_common,overlay_days_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
old_scale_0.25,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
zz_ma18_d3,zz_scan,True,True,True,18.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.035670156564449,-0.07836326568649843,3.568061792914231,13.21627101029417,95,36,104,0.7515495867768595,0.1797520661157025,0.44734160105847276,-0.1216088621564223,1.9741662078688338,3.678527971777821,338,100,381,0.6448563969131021,0.1912473033932958,0.33729067380897937,-0.17122779428152868,1.6349527555636885,1.9698360025266344,534,111,584,0.7426989621148035,0.21888061344093612,0.29355605912714067,-0.19846281242803065,1.4283372764650915,1.4791489424931639,1072,183,1144,0.7617695873617351,0.23870273438955805,0.31458394380970645,-0.3174612241061916,1.379244379792684,0.9909365929505687,1535,240,1635,0.7642358648495647,0.23766982073646395,2.012651497608281,0.5284646226397605,-0.19846281242803065
cyb_ma10_d5,cyb_scan,True,True,True,15.0,3.0,10.0,5.0,0.5,30.0,15.0,0.0,1.053820180898755,-0.06206826712435154,3.589981184000583,16.97840506465992,80,36,96,0.7701446280991735,0.17665289256198347,0.4491904357274945,-0.13846820348988376,1.9589776089676363,3.2439969928570034,278,100,334,0.6670329218534106,0.19226467664969663,0.34043689043264114,-0.1871347779724114,1.6211339873435013,1.8192069593970956,431,111,495,0.7708809101368397,0.21639186384105763,0.30997072984818375,-0.18713477797241085,1.471222758213091,1.65640365306059,909,183,999,0.7825074097855188,0.2379739718479617,0.32651062622684446,-0.2972319787765809,1.399165667432819,1.0985043654144337,1237,240,1357,0.7842898599700318,0.23475517057375228,2.012219650040949,0.5383545592267687,-0.1871347779724114
clear_scale_0.00,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
cyb_ma10_d3,cyb_scan,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
default,default,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
old_scale_0.50,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
ratio_ma30_d15,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
zz_ma15_d3,zz_scan,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,1.0060285994077138,-0.0718245032646101,3.5367165126858144,14.006760279307239,93,36,107,0.7453512396694215,0.1797520661157025,0.44243681757270714,-0.12792186195221633,1.957572403012051,3.458648981657053,318,100,366,0.6495712902930443,0.19435701264262956,0.3376381843769225,-0.1771841826602938,1.6416806459718938,1.9055774579171043,507,111,563,0.7461477328535125,0.21888693485830502,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,1034,183,1112,0.7621748045011207,0.23801635746005426,0.3118486500844224,-0.3252515443374694,1.3708149275376333,0.9587922194793929,1480,240,1588,0.7643187354006866,0.23759017197173815,2.004166526758622,0.5196365747993763,-0.19846281242803088
zz_ma12_d2,zz_scan,True,True,True,12.0,2.0,10.0,3.0,0.5,30.0,15.0,0.0,0.9607119972079023,-0.06975644225220134,3.5065671687034845,13.772376660703113,104,36,114,0.7283057851239669,0.17665289256198347,0.4210558665154456,-0.12792596917556454,1.9700424631115427,3.2914025918974437,341,100,383,0.646201806512424,0.19636031996483425,0.32505479702657847,-0.1814860812333151,1.6441469957420443,1.7910728735648553,541,111,591,0.7410268690314213,0.2157500762764212,0.27127293284839693,-0.19168385435176505,1.3807959097981488,1.4152101321511172,1119,183,1193,0.7495954084422999,0.23936641931184915,0.29819375962191175,-0.3116766503627738,1.344881763179261,0.9567407737308241,1592,240,1697,0.7532270601274385,0.2384207792828608,1.9980707723740003,0.49452389839958083,-0.19168385435176505
