case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,segment,start,end,rows,old_signal_days,clear_signal_days,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0,0.9276631709132869,0.15097777672112928,1.0480509091414514,0.2563726224842213,2.901065310263719,-0.09816116605472125,10.676838420574603,2.02308075906835
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,0,0,0,0.8139904412760074,0.1984127062571504,0.37440495126928175,0.23883350804421016,1.455997223131508,-0.22420262423001935,1.669940093498474,2.5877726443202844
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,0,0,0,0.906151011484153,0.20824566831460503,0.2767264623772796,0.22712111193770376,1.1934383035851097,-0.23433112166463066,1.1809206579624716,3.3781100935058452
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,0,0,0,0.928891781941972,0.2336028110800826,0.25430539800576346,0.2280673403519927,1.111031104758049,-0.2999330053260312,0.8478740034939806,9.612150279358648
volume_off,off,False,False,False,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,0,0,0,0.8986336793869163,0.22768311056840032,0.32162813975462545,0.24483919535293813,1.2668865166299323,-0.29993300532603107,1.0723332679076498,77.15221583920835
default,default,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_1y,2025-05-06,2026-04-30,242,93,36,107,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
default,default,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_3y,2023-05-04,2026-04-30,726,318,100,366,0.6495712902930443,0.19435701264262956,0.44243681757270714,0.19784882504540774,1.957572403012051,-0.12792186195221633,3.458648981657053,2.9899020416457622
default,default,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_5y,2021-05-06,2026-04-30,1210,507,111,563,0.7461477328535125,0.21888693485830502,0.3376381843769225,0.1887617065081248,1.6416806459718938,-0.1771841826602938,1.9055774579171043,4.261195267372994
default,default,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,last_10y,2016-05-04,2026-04-30,2428,1034,183,1112,0.7621748045011207,0.23801635746005426,0.2924426978401615,0.19364835406373443,1.4261365514091282,-0.19846281242803088,1.473539018531297,12.96403956925313
default,default,True,True,True,15.0,3.0,10.0,3.0,0.5,30.0,15.0,0.0,full_common,2010-09-29,2026-04-30,3785,1480,240,1588,0.7643187354006866,0.23759017197173815,0.3118486500844224,0.21598115921422453,1.3708149275376333,-0.3252515443374694,0.9587922194793929,68.71982059724988
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.5,,,1.0,last_1y,2025-05-06,2026-04-30,242,93,0,93,0.8008829099355327,0.1680451214342025,1.0306981541112026,0.23880627984674474,3.060978484236322,-0.09111453859493979,11.312115168505548,2.0062316592174314
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.5,,,1.0,last_3y,2023-05-04,2026-04-30,726,318,0,318,0.6912259224638109,0.1966322654322867,0.42879399237114035,0.2193666584339065,1.7425611268538173,-0.16209305369284577,2.645356988484361,2.9061483679416744
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.5,,,1.0,last_5y,2021-05-06,2026-04-30,1210,507,0,507,0.7760991898419229,0.21405373942466127,0.3324750471508795,0.20266004206194213,1.5234113795157116,-0.1620930536928461,2.05113692151728,4.179865546221497
old_only_default,old_only,True,True,False,15.0,3.0,10.0,3.0,0.5,,,1.0,last_10y,2016-05-04,2026-04-30,2428,1034,0,1034,0.7940904811716217,0.23931447670440809,0.2733653038428907,0.20390814691941134,1.2912134414575256,-0.24668707788818567,1.1081460211985539,11.174730715047549
