freq,period,start,end,days,cagr,max_dd,sharpe,total_return
weekly,P1_2003_2012,2010-11-22,2012-12-31,497,0.07135013577634308,-0.10021972144721576,0.7577380869675507,0.15637793311173498
weekly,P2_2013_2016,2013-01-04,2016-12-30,957,0.15979831221349183,-0.08637197760720411,1.5982708910134342,0.8057122387897535
weekly,P3_2017_2020,2017-01-03,2020-12-31,975,0.23451815408779586,-0.07149400445547639,2.2045529944745,1.3186671215534127
weekly,P4_2021_2026,2021-01-04,2026-03-18,1259,0.15024671414091717,-0.10313916845722039,1.290060395195476,1.070442986030903
biweekly,P1_2003_2012,2010-11-22,2012-12-31,497,0.05246428411657589,-0.09189703634804719,0.571042574080446,0.113823435765523
biweekly,P2_2013_2016,2013-01-04,2016-12-30,957,0.14916469223466433,-0.09344166041960922,1.4791973585840588,0.7406141411538594
biweekly,P3_2017_2020,2017-01-03,2020-12-31,975,0.23615342018249286,-0.07126880290962453,2.2173597477157956,1.3309516109068076
biweekly,P4_2021_2026,2021-01-04,2026-03-18,1259,0.15450293603389276,-0.11118958925863447,1.305283111626319,1.1105855888014626
monthly,P1_2003_2012,2010-11-22,2012-12-31,497,0.06824086492669257,-0.08853536943768417,0.702350529235548,0.1493142928136526
monthly,P2_2013_2016,2013-01-04,2016-12-30,957,0.16100265315414752,-0.09365129605181523,1.5703075590745827,0.8131984139507831
monthly,P3_2017_2020,2017-01-03,2020-12-31,975,0.23059374371444274,-0.11766441357722204,2.094073546300987,1.2893840324575065
monthly,P4_2021_2026,2021-01-04,2026-03-18,1259,0.14697604340898174,-0.11022935794097206,1.2184842357528802,1.0400165424485222
