freq,signal_days,start,end,days,cagr,max_dd,sharpe,total_return,rebalanced_days,avg_turnover_rebal,avg_bil
weekly,1178,2003-08-22,2026-03-18,6987,0.13486089690467584,-0.20681096023783535,0.7543151343166673,16.38206869558178,579,1.114413167602154,0.08670255515316197
biweekly,589,2003-08-22,2026-03-18,6987,0.12944679035862916,-0.22091694079606145,0.7214236661385316,14.603609107768563,398,1.0944072746475635,0.08796405362120639
monthly,272,2003-08-22,2026-03-18,6987,0.14006550568584952,-0.20665184547753565,0.7414514637963988,18.273191764156145,225,1.19586208983736,0.07986540733274158
