freq,start,end,days,cagr,max_dd,sharpe,total_return
weekly,2010-11-22,2026-03-18,3688,0.16238513660777532,-0.10313916845722022,1.5185045512794968,9.024206780898536
biweekly,2010-11-22,2026-03-18,3688,0.15861807247551418,-0.11118958925863431,1.4715916473738822,8.537950966236071
monthly,2010-11-22,2026-03-18,3688,0.16014844130383588,-0.11766441357722233,1.4487538731488816,8.732770363531941
