freq,period,start,end,days,cagr,max_dd,sharpe,total_return,rebalanced_days,avg_turnover_rebal,avg_bil
weekly,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1349292359252583,-0.20681096023783535,0.7959877934182549,2.269993910532871,197,0.8901875852497422,0.03782878334556528
weekly,P2_2013_2016,2013-01-02,2016-12-31,1267,0.08779122685054253,-0.20218184438763237,0.5833848764735733,0.39952962160608085,109,1.152922636162612,0.09848665324085834
weekly,P3_2017_2020,2017-01-01,2020-12-31,1461,0.2492347565179467,-0.11005131889283694,1.3193368306321114,1.4339499198494354,112,1.186298377578805,0.08584829269950965
weekly,P4_2021_2026,2021-01-01,2026-03-18,1903,0.08921290178742858,-0.19472603451751297,0.4693042727063653,0.5604892637945003,161,1.3126974168751369,0.14002059590270094
biweekly,P1_2003_2012,2003-08-22,2012-12-31,2356,0.12534741208062972,-0.21107117261613245,0.7431257830038852,2.0205027729839715,152,0.9034196556856832,0.043831773890403596
biweekly,P2_2013_2016,2013-01-02,2016-12-31,1267,0.05550577002627577,-0.20799280631527642,0.393592081455054,0.24083485344332134,70,1.1046500206017758,0.07486608286066934
biweekly,P3_2017_2020,2017-01-01,2020-12-31,1461,0.24430068108630776,-0.13940276609797406,1.2937337833270377,1.3957498186912702,77,1.0900849086895645,0.1073921472350008
biweekly,P4_2021_2026,2021-01-01,2026-03-18,1903,0.11195312539318247,-0.21303394676110696,0.5558364820123337,0.7377623178566188,99,1.3837602851948054,0.13640668905453174
monthly,P1_2003_2012,2003-08-22,2012-12-31,2356,0.13960098401439036,-0.17699816678056027,0.7849072490584639,2.3981829201546114,91,1.0986059943514672,0.050885050347591144
monthly,P2_2013_2016,2013-01-02,2016-12-31,1267,0.10517061650818582,-0.19587245274323292,0.6590153641425085,0.49100641739094963,40,0.9889508555347879,0.074490915104499
monthly,P3_2017_2020,2017-01-01,2020-12-31,1461,0.23376464055600588,-0.1782675046039168,1.1556734006209954,1.3156850757870826,37,1.2688435844514507,0.0697237667994735
monthly,P4_2021_2026,2021-01-01,2026-03-18,1903,0.099999968258903,-0.20665184547753643,0.4899948464357358,0.6426607510969309,57,1.448957506689952,0.12710878070599563
