abs_mode,start,end,days,total_return,cagr,max_dd,sharpe,signal_days,rebalanced_days,avg_turnover,avg_bil,end_nav
zero,2003-08-22,2026-03-18,6987,16.38206869558178,0.13486089690467584,-0.20681096023783535,0.7543151343166673,1178,579,0.5477463701541996,0.08670255515316197,17.38206869558178
cash_relative,2003-08-22,2026-03-18,6987,16.533620637428832,0.13529746500811846,-0.24803461262656187,0.7596341268385913,1178,576,0.5453153319263949,0.08810852026647244,17.533620637428832
