variant,window,annual,max_dd,sharpe,calmar
baseline_no_dd_gate,full,30.197070690487095,-22.408934249114377,1.2495829083513725,1.3475460436803466
baseline_no_dd_gate,1Y,25.317852848892407,-16.934199485207056,1.0719930147478642,1.4950723162915924
baseline_no_dd_gate,3Y,27.007894545802703,-22.408934249114303,1.071306948469603,1.2052288719116648
baseline_no_dd_gate,5Y,32.890186069647996,-22.408934249114413,1.3127345618112112,1.4677264748076002
trade_peak_dd5_rec2_x0p00,full,30.864612885417685,-20.365789246306495,1.2879061839364008,1.5155127312836767
trade_peak_dd5_rec2_x0p00,1Y,26.011456391227195,-15.206183603974536,1.1236757926540764,1.7105841326569553
trade_peak_dd5_rec2_x0p00,3Y,25.757414080668074,-20.365789246306452,1.0352566432489931,1.2647393022266225
trade_peak_dd5_rec2_x0p00,5Y,31.31259310350618,-20.365789246306342,1.2669717643649123,1.537509434316925
trade_peak_dd5_rec2_x0p50,full,30.547433505857114,-21.388008813335045,1.2725964228345188,1.4282504637276627
trade_peak_dd5_rec2_x0p50,1Y,25.698590588962933,-16.04931751300105,1.1046743174975464,1.6012263803831726
trade_peak_dd5_rec2_x0p50,3Y,26.399933947687494,-21.388008813335016,1.0566706777905417,1.2343334144891336
trade_peak_dd5_rec2_x0p50,5Y,32.115413209598096,-21.38800881333505,1.293596686255096,1.501561622210231
