variant,enter_drawdown,recovery_drawdown,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
trade_peak_dd5_rec1_x0p00,0.05,0.01,0.0,30.864612885417685,20.0779297870327,1.2879061839364008,-20.365789246306495,1.5155127312836767,1848.0595059028055,65.41353383458647,610,445,67,0.02496274217585693,20,20,0.9750372578241431,0.66754219493059,2.043145002807883,0.03832327558502824,0.1679666876033301
trade_peak_dd5_rec2_x0p00,0.05,0.02,0.0,30.864612885417685,20.0779297870327,1.2879061839364008,-20.365789246306495,1.5155127312836767,1848.0595059028055,65.41353383458647,610,445,67,0.02496274217585693,20,20,0.9750372578241431,0.66754219493059,2.043145002807883,0.03832327558502824,0.1679666876033301
trade_peak_dd5_rec3_x0p00,0.05,0.03,0.0,30.864612885417685,20.0779297870327,1.2879061839364008,-20.365789246306495,1.5155127312836767,1848.0595059028055,65.41353383458647,610,445,67,0.02496274217585693,20,20,0.9750372578241431,0.66754219493059,2.043145002807883,0.03832327558502824,0.1679666876033301
trade_peak_dd5_rec4_x0p00,0.05,0.04,0.0,30.864612885417685,20.0779297870327,1.2879061839364008,-20.365789246306495,1.5155127312836767,1848.0595059028055,65.41353383458647,610,445,67,0.02496274217585693,20,20,0.9750372578241431,0.66754219493059,2.043145002807883,0.03832327558502824,0.1679666876033301
trade_peak_dd6_rec1_x0p00,0.06,0.01,0.0,31.36633319003832,20.19256513066924,1.3006220176646912,-22.08066803974548,1.4205337054829377,1932.1110460486586,64.66165413533834,606,445,30,0.011177347242921014,11,11,0.988822652757079,1.1692624995512233,0.3282662093688984,0.051039109313318676,0.07298766180259109
trade_peak_dd6_rec2_x0p00,0.06,0.02,0.0,31.36633319003832,20.19256513066924,1.3006220176646912,-22.08066803974548,1.4205337054829377,1932.1110460486586,64.66165413533834,606,445,30,0.011177347242921014,11,11,0.988822652757079,1.1692624995512233,0.3282662093688984,0.051039109313318676,0.07298766180259109
trade_peak_dd6_rec3_x0p00,0.06,0.03,0.0,31.36633319003832,20.19256513066924,1.3006220176646912,-22.08066803974548,1.4205337054829377,1932.1110460486586,64.66165413533834,606,445,30,0.011177347242921014,11,11,0.988822652757079,1.1692624995512233,0.3282662093688984,0.051039109313318676,0.07298766180259109
trade_peak_dd6_rec4_x0p00,0.06,0.04,0.0,31.36633319003832,20.19256513066924,1.3006220176646912,-22.08066803974548,1.4205337054829377,1932.1110460486586,64.66165413533834,606,445,30,0.011177347242921014,11,11,0.988822652757079,1.1692624995512233,0.3282662093688984,0.051039109313318676,0.07298766180259109
trade_peak_dd6_rec5_x0p00,0.06,0.05,0.0,31.36633319003832,20.19256513066924,1.3006220176646912,-22.08066803974548,1.4205337054829377,1932.1110460486586,64.66165413533834,606,445,30,0.011177347242921014,11,11,0.988822652757079,1.1692624995512233,0.3282662093688984,0.051039109313318676,0.07298766180259109
trade_peak_dd4_rec1_x0p00,0.04,0.01,0.0,28.522104555024043,19.70880672546667,1.216999468703383,-20.66290837725381,1.3803528542197774,1495.9078668650782,63.1578947368421,621,445,142,0.05290611028315946,45,45,0.9470938897168405,-1.6749661354630518,1.7460258718605672,-0.0325834396479896,0.0328068105394308
trade_peak_dd4_rec2_x0p00,0.04,0.02,0.0,28.522104555024043,19.70880672546667,1.216999468703383,-20.66290837725381,1.3803528542197774,1495.9078668650782,63.1578947368421,621,445,142,0.05290611028315946,45,45,0.9470938897168405,-1.6749661354630518,1.7460258718605672,-0.0325834396479896,0.0328068105394308
trade_peak_dd4_rec3_x0p00,0.04,0.03,0.0,28.522104555024043,19.70880672546667,1.216999468703383,-20.66290837725381,1.3803528542197774,1495.9078668650782,63.1578947368421,621,445,142,0.05290611028315946,45,45,0.9470938897168405,-1.6749661354630518,1.7460258718605672,-0.0325834396479896,0.0328068105394308
trade_peak_dd8_rec1_x0p00,0.08,0.01,0.0,30.3905553478506,20.32413311633088,1.2569721202615356,-22.408934249114314,1.3561803078185992,1771.5599421521977,64.66165413533834,601,445,4,0.0014903129657228018,3,3,0.9985096870342772,0.19348465736350562,6.394884621840902e-14,0.007389211910163063,0.008634264138252634
trade_peak_dd8_rec2_x0p00,0.08,0.02,0.0,30.3905553478506,20.32413311633088,1.2569721202615356,-22.408934249114314,1.3561803078185992,1771.5599421521977,64.66165413533834,601,445,4,0.0014903129657228018,3,3,0.9985096870342772,0.19348465736350562,6.394884621840902e-14,0.007389211910163063,0.008634264138252634
trade_peak_dd8_rec3_x0p00,0.08,0.03,0.0,30.3905553478506,20.32413311633088,1.2569721202615356,-22.408934249114314,1.3561803078185992,1771.5599421521977,64.66165413533834,601,445,4,0.0014903129657228018,3,3,0.9985096870342772,0.19348465736350562,6.394884621840902e-14,0.007389211910163063,0.008634264138252634
trade_peak_dd8_rec4_x0p00,0.08,0.04,0.0,30.3905553478506,20.32413311633088,1.2569721202615356,-22.408934249114314,1.3561803078185992,1771.5599421521977,64.66165413533834,601,445,4,0.0014903129657228018,3,3,0.9985096870342772,0.19348465736350562,6.394884621840902e-14,0.007389211910163063,0.008634264138252634
trade_peak_dd8_rec5_x0p00,0.08,0.05,0.0,30.3905553478506,20.32413311633088,1.2569721202615356,-22.408934249114314,1.3561803078185992,1771.5599421521977,64.66165413533834,601,445,4,0.0014903129657228018,3,3,0.9985096870342772,0.19348465736350562,6.394884621840902e-14,0.007389211910163063,0.008634264138252634
trade_peak_dd8_rec6_x0p00,0.08,0.06,0.0,30.3905553478506,20.32413311633088,1.2569721202615356,-22.408934249114314,1.3561803078185992,1771.5599421521977,64.66165413533834,601,445,4,0.0014903129657228018,3,3,0.9985096870342772,0.19348465736350562,6.394884621840902e-14,0.007389211910163063,0.008634264138252634
trade_peak_dd10_rec1_x0p00,0.1,0.01,0.0,30.197070690487095,20.326233705441744,1.2495829083513725,-22.408934249114377,1.3475460436803466,1741.129933881622,64.66165413533834,598,445,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0
trade_peak_dd10_rec2_x0p00,0.1,0.02,0.0,30.197070690487095,20.326233705441744,1.2495829083513725,-22.408934249114377,1.3475460436803466,1741.129933881622,64.66165413533834,598,445,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0
