date,nav
2010-11-22,1.0
2010-11-23,0.9951273961235653
2010-11-24,1.0017528880040683
2010-11-25,0.9993679330922431
2010-11-26,0.9950567685258696
2010-11-29,1.0000333500380916
2010-11-30,0.9961261581378928
2010-12-01,1.0039640783184751
2010-12-02,1.0086818240278048
2010-12-03,1.0129357056611679
2010-12-06,1.012902880936266
2010-12-07,1.007634738064964
2010-12-08,1.0045871711534773
2010-12-09,1.005169285963529
2010-12-10,1.008115949325873
2010-12-13,1.0104500899693638
2010-12-14,1.0085493311423113
2010-12-15,1.0015572085145106
2010-12-16,1.0018416135275616
2010-12-17,1.0027552774777386
2010-12-20,1.0040476199260282
2010-12-21,1.0099268043292562
2010-12-22,1.0082036634392872
2010-12-23,1.0103266284375043
2010-12-24,1.0121797774905172
2010-12-27,1.0128671918784025
2010-12-28,1.0145098711941039
2010-12-29,1.0152919077877338
2010-12-30,1.0133485933771813
2010-12-31,1.0152082923811545
2011-01-03,1.0219162893760556
2011-01-04,1.0186197770227259
2011-01-05,1.019177272927057
2011-01-06,1.0184456119348164
2011-01-07,1.0197884951365268
2011-01-10,1.022398858281875
2011-01-11,1.0296410771019007
2011-01-12,1.0384800381736532
2011-01-13,1.03504547758556
2011-01-14,1.0398008510741297
2011-01-17,1.041605009812115
2011-01-18,1.0443363852773404
2011-01-19,1.0350266095799554
2011-01-20,1.0282527528547774
2011-01-21,1.0273662767933092
2011-01-24,1.0368225023280546
2011-01-25,1.0360667099806007
2011-01-26,1.0412432805538034
2011-01-27,1.0377762174743506
2011-01-28,1.0241582916346892
2011-01-31,1.0284648027953742
2011-02-01,1.0418693042000602
2011-02-02,1.0407353839539621
2011-02-03,1.0420778600032912
2011-02-04,1.0423799100575828
2011-02-07,1.0439761358793729
2011-02-08,1.0492976557644975
2011-02-09,1.047460086868028
2011-02-10,1.0423778500070815
2011-02-11,1.04199933538169
2011-02-14,1.0478430525122664
2011-02-15,1.0452848621556925
2011-02-16,1.0491017520382846
2011-02-17,1.0489887001856324
2011-02-18,1.0488583601535555
2011-02-21,1.052896782106637
2011-02-22,1.0349673544062659
2011-02-23,1.041122266104734
2011-02-24,1.0435414523170476
2011-02-25,1.05396448585837
2011-02-28,1.0589367313076434
2011-03-01,1.0574763608167264
2011-03-02,1.0592085341776434
2011-03-03,1.0565198553560091
2011-03-04,1.0562648600002376
2011-03-07,1.048087904970135
2011-03-08,1.0473777269761926
2011-03-09,1.045693730649974
2011-03-10,1.0311343965922717
2011-03-11,1.0320686845712728
2011-03-14,1.0350206079374291
2011-03-15,1.0171747524689048
2011-03-16,1.0130552354065965
2011-03-17,1.0242800805175685
2011-03-18,1.0280123760352757
2011-03-21,1.0346126558419089
2011-03-22,1.0344107563194846
2011-03-23,1.040902004908606
2011-03-24,1.0463575834969798
2011-03-25,1.0455689004827453
2011-03-28,1.0420083322274099
2011-03-29,1.0430729519110093
