scenario,window,start,end,rows,annual_return,max_drawdown,sharpe,total_return,max_closed_underwater_days,open_underwater_days,is_currently_underwater,annual_return_delta_vs_current_rebalanced,max_drawdown_delta_vs_current_rebalanced,sharpe_delta_vs_current_rebalanced
fixed_rebalanced_10_15_15_60,full,2010-11-22,2026-05-08,4017,0.28345828895412195,-0.08517326050789242,2.98033885182925,46.35381740871387,292,0,False,0.0,0.0,0.0
fixed_rebalanced_10_15_15_60,10Y,2016-05-09,2026-05-08,2597,0.34415083625664544,-0.07524609928724413,3.3573774316314218,18.228816656163684,206,0,False,0.0,0.0,0.0
fixed_rebalanced_10_15_15_60,5Y,2021-05-10,2026-05-08,1300,0.3407855543849916,-0.07524609928724424,3.1771025804605486,3.3252583854846742,206,0,False,0.0,0.0,0.0
fixed_rebalanced_10_15_15_60,3Y,2023-05-08,2026-05-08,781,0.4399831456533605,-0.07524609928724413,3.7856553976342,1.9866244522683347,85,0,False,0.0,0.0,0.0
fixed_rebalanced_10_15_15_60,1Y,2025-05-08,2026-05-08,260,0.5343977158375735,-0.07524609928724424,4.405380728059405,0.5339481349848458,66,0,False,0.0,0.0,0.0
fixed_rebalanced_10_15_20_55,full,2010-11-22,2026-05-08,4017,0.29980206249250885,-0.08080019754149825,3.24335116319007,56.58419998504767,288,67,True,0.016343773538386897,0.00437306296639417,0.26301231136082004
fixed_rebalanced_10_15_20_55,10Y,2016-05-09,2026-05-08,2597,0.3523664144101757,-0.07625961905180767,3.5557138194631666,19.436446908636146,193,67,True,0.008215578153530245,-0.0010135197645635419,0.1983363878317448
fixed_rebalanced_10_15_20_55,5Y,2021-05-10,2026-05-08,1300,0.35223105789469256,-0.07625961905180756,3.359629635873885,3.51281195897338,193,67,True,0.011445503509700972,-0.0010135197645633198,0.18252705541333647
fixed_rebalanced_10_15_20_55,3Y,2023-05-08,2026-05-08,781,0.4504441030741335,-0.07625961905180745,3.999350427258105,2.05220381978898,73,67,True,0.01046095742077302,-0.0010135197645633198,0.21369502962390508
fixed_rebalanced_10_15_20_55,1Y,2025-05-08,2026-05-08,260,0.5097705033105084,-0.07625961905180756,4.338787062950892,0.5093448538671095,66,67,True,-0.024627212527065012,-0.0010135197645633198,-0.06659366510851328
dyn_microcap_20_if_dd_le_5,full,2010-11-22,2026-05-08,4017,0.2985580955293745,-0.0808001975414977,3.1883100873189076,55.738174416781746,292,0,False,0.015099806575252561,0.004373062966394725,0.20797123548965768
dyn_microcap_20_if_dd_le_5,10Y,2016-05-09,2026-05-08,2597,0.3520977304424522,-0.07524609928724402,3.4900989410902032,19.395897333698052,193,0,False,0.007946894185806741,1.1102230246251565e-16,0.13272150945878147
dyn_microcap_20_if_dd_le_5,5Y,2021-05-10,2026-05-08,1300,0.3485759564226747,-0.07524609928724413,3.276909558699214,3.452224019262143,193,0,False,0.0077904020376831085,1.1102230246251565e-16,0.09980697823866524
dyn_microcap_20_if_dd_le_5,3Y,2023-05-08,2026-05-08,781,0.45185139904179006,-0.07524609928724413,3.943699846941124,2.061098692933305,74,0,False,0.011868253388429562,0.0,0.15804444930692396
dyn_microcap_20_if_dd_le_5,1Y,2025-05-08,2026-05-08,260,0.5428555701989364,-0.07524609928724402,4.454468079743628,0.5423977078821067,66,0,False,0.008457854361362926,2.220446049250313e-16,0.04908735168422318
dyn_microcap_20_if_above_ma126,full,2010-11-22,2026-05-08,4017,0.2977308424647698,-0.08080019754149792,3.2017919998410984,55.18200886178034,288,0,False,0.014272553510647823,0.004373062966394503,0.22145314801184846
dyn_microcap_20_if_above_ma126,10Y,2016-05-09,2026-05-08,2597,0.349623839755123,-0.07562805664260552,3.5055555322710914,19.025928243686757,193,0,False,0.005473003498477569,-0.0003819573553613953,0.14817810063966963
dyn_microcap_20_if_above_ma126,5Y,2021-05-10,2026-05-08,1300,0.3514711742742471,-0.07562805664260552,3.3354218291338666,3.500161954666141,193,0,False,0.010685619889255538,-0.0003819573553612843,0.15831924867331804
dyn_microcap_20_if_above_ma126,3Y,2023-05-08,2026-05-08,781,0.454036898637312,-0.07562805664260563,4.009609025580259,2.0749464691294777,73,0,False,0.014053752983951506,-0.0003819573553615063,0.223953627946059
dyn_microcap_20_if_above_ma126,1Y,2025-05-08,2026-05-08,260,0.5245269287445984,-0.07562805664260575,4.401582280035256,0.5240869724966226,66,0,False,-0.009870787092975064,-0.0003819573553615063,-0.0037984480241490814
dyn_microcap_20_if_above_ma126_and_dd_le_10,full,2010-11-22,2026-05-08,4017,0.2972461695446915,-0.08080019754149792,3.190895681353105,54.858534478044476,288,0,False,0.013787880590569568,0.004373062966394503,0.2105568295238549
dyn_microcap_20_if_above_ma126_and_dd_le_10,10Y,2016-05-09,2026-05-08,2597,0.34924309929777153,-0.07562805664260497,3.493165989631642,18.96952818775297,193,0,False,0.005092263041126088,-0.0003819573553608402,0.13578855800022005
dyn_microcap_20_if_above_ma126_and_dd_le_10,5Y,2021-05-10,2026-05-08,1300,0.35064077209601563,-0.07562805664260508,3.3125351057638484,3.486370452592163,193,0,False,0.009855217711024045,-0.0003819573553608402,0.13543252530329974
dyn_microcap_20_if_above_ma126_and_dd_le_10,3Y,2023-05-08,2026-05-08,781,0.4543817433159463,-0.07562805664260497,3.9945166910620458,2.077135283948254,74,0,False,0.014398597662585777,-0.0003819573553608402,0.20886129342784576
dyn_microcap_20_if_above_ma126_and_dd_le_10,1Y,2025-05-08,2026-05-08,260,0.5365319564294233,-0.07562805664260497,4.448230359377872,0.5360802888464427,66,0,False,0.0021342405918498564,-0.00038195735536072917,0.042849631318467196
dyn_microcap_10_15_20_by_dd_5_10,full,2010-11-22,2026-05-08,4017,0.29821936974720775,-0.0808001975414977,3.164813036607045,55.509828035217815,293,0,False,0.014761080793085801,0.004373062966394725,0.1844741847777951
