cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.5,0.95,last_3y,2023-05-04,2026-04-30,726,11,66,0.6582951349820282,0.19434787835927217,0.44840115799165536,0.19829697120848158,1.974534515841292,-0.12792186195221633,3.5052738534962087,3.0270162591366145
True,0.5,0.95,last_5y,2021-05-06,2026-04-30,1210,18,89,0.7699770809892169,0.21640211544531535,0.33539504762750605,0.19206678622269394,1.6078871329252158,-0.17718418266029368,1.8929175425920615,4.225707445032071
True,0.5,0.95,last_10y,2016-05-04,2026-04-30,2428,38,134,0.7787666697007668,0.2367666770327969,0.27388544760078526,0.19722688663026966,1.3302023769338136,-0.25894986248377005,1.0576775170828727,11.220404751558926
True,0.5,0.95,full_common,2010-09-29,2026-04-30,3785,62,224,0.777346304898511,0.2371894769423353,0.30248207470598576,0.21819133552548464,1.3261405820873038,-0.32525154433746906,0.9299942766517396,61.458992178678876
True,0.5,1.0,last_1y,2025-05-06,2026-04-30,242,4,34,0.7546487603305785,0.1797520661157025,1.0368536990219654,0.2009934382199023,3.611368939747293,-0.0718245032646101,14.43593275127949,2.0122088233513917
True,0.5,1.0,last_3y,2023-05-04,2026-04-30,726,11,66,0.6582951349820282,0.19434787835927217,0.44840115799165536,0.19829697120848158,1.974534515841292,-0.12792186195221633,3.5052738534962087,3.0270162591366145
True,0.5,1.0,last_5y,2021-05-06,2026-04-30,1210,18,89,0.7699770809892169,0.21640211544531535,0.33539504762750605,0.19206678622269394,1.6078871329252158,-0.17718418266029368,1.8929175425920615,4.225707445032071
True,0.5,1.0,last_10y,2016-05-04,2026-04-30,2428,37,134,0.7787889835981245,0.2367767996813561,0.2765708083080869,0.19719408040311917,1.3411223060973094,-0.25894986248377005,1.0680477126162646,11.458890850418973
True,0.5,1.0,full_common,2010-09-29,2026-04-30,3785,61,224,0.7773606188067764,0.2371959704141191,0.3042410903219581,0.2181716395965993,1.332463370305918,-0.32525154433746906,0.9354024465639085,62.765283316039486
True,0.55,0.7,last_1y,2025-05-06,2026-04-30,242,4,29,0.7856404958677686,0.19834710743801653,0.9028052599425926,0.20314624272776236,3.2422034091251537,-0.085231043335117,10.592446421110719,1.8819733452225564
True,0.55,0.7,last_3y,2023-05-04,2026-04-30,726,12,64,0.66300104235916,0.20055535975006758,0.41760180010625936,0.1984839230186252,1.8638888532746234,-0.12792186195221633,3.2645068929832295,2.838616805128271
True,0.55,0.7,last_5y,2021-05-06,2026-04-30,1210,22,100,0.7591642617791324,0.22384561254425545,0.3038415022188836,0.19000090431424363,1.496722681402675,-0.17718418266029368,1.714834234393392,3.7510454573168226
True,0.55,0.7,last_10y,2016-05-04,2026-04-30,2428,48,154,0.7698972097729494,0.24048752714703944,0.27737610238672383,0.19425267271187543,1.3616550828501521,-0.198462812428031,1.3976225520199628,11.531292466189765
True,0.55,0.7,full_common,2010-09-29,2026-04-30,3785,73,252,0.7692725002619811,0.23917537672735242,0.3020268656861391,0.2163320618457749,1.3340050911064218,-0.3252515443374694,0.9285947167487292,61.12511037149119
True,0.55,0.75,last_1y,2025-05-06,2026-04-30,242,4,30,0.7794421487603306,0.19834710743801653,0.9187436909217277,0.20287426922017057,3.2871347551515866,-0.07781205803973978,11.807214897882684,1.8974664293043302
