strategy,segment,cagr,sharpe,max_dd,delta_cagr,delta_sharpe,delta_max_dd
mix2_60_20__55_18,last_3y,16.15833851314512,0.6820299605838357,-24.34962808149824,-4.341960923158862,-0.155081015993615,-1.1346804803517827
mix2_60_20__55_18,last_5y,20.007745664247146,0.8570389290505205,-24.349628081498253,-2.7822634272336657,-0.09054602417571433,-1.134680480351829
mix2_60_20__55_18,last_10y,18.3908156298235,0.8051075291986998,-24.34962808149822,-3.349031794810319,-0.1225618701592095,-1.1346804803517188
mix2_60_20__55_18,full_common,17.408108595871408,0.7679346341523369,-37.28615999803705,-2.339117979387506,-0.0831003016131221,0.937295752542525
mix2_60_20__55_20,last_3y,16.72045746329742,0.6958142814449019,-25.330452053125956,-3.7798419730065618,-0.14129669513254883,-2.1155044519795005
mix2_60_20__55_20,last_5y,19.388512143937376,0.8200592614967119,-25.330452053125956,-3.4014969475434356,-0.12752569172952288,-2.1155044519795325
mix2_60_20__55_20,last_10y,19.918934708441817,0.857123117152819,-25.330452053125903,-1.8209127161920016,-0.0705462822050903,-2.115504451979401
mix2_60_20__55_20,full_common,17.721891412768432,0.7699663751203383,-40.55403898906828,-2.0253351624904816,-0.08106856064512069,-2.330583238488707
mix2_60_20__60_18,last_3y,15.301337787925707,0.6561695710185477,-25.88916238180785,-5.198961648378276,-0.18094140555890303,-2.6742147806613943
mix2_60_20__60_18,last_5y,19.73987906804251,0.8534443615373741,-25.88916238180786,-3.050130023438303,-0.09414059168886069,-2.674214780661437
mix2_60_20__60_18,last_10y,17.379199052707705,0.7672868435691004,-25.889162381807818,-4.360648371926114,-0.1603825557888089,-2.674214780661316
mix2_60_20__60_18,full_common,16.614377734321238,0.7358278996678398,-34.45960671054023,-3.132848840937676,-0.11520703609761918,3.7638490400393465
mix2_60_20__60_22,last_3y,18.317758903081693,0.7613637630027983,-26.740907723830198,-2.1825405332222907,-0.07574721357465242,-3.525960122683742
mix2_60_20__60_22,last_5y,20.474972814541694,0.8679649124121063,-26.740907723830155,-2.315036276939118,-0.07962004081412855,-3.525960122683731
mix2_60_20__60_22,last_10y,19.817078935943822,0.8575962607656055,-26.740907723830183,-1.9227684886899965,-0.0700731385923038,-3.5259601226836814
mix2_60_20__60_22,full_common,17.38563043670689,0.7607850733229494,-40.24904121426513,-2.3615961385520237,-0.09024986244250954,-2.0255854636855517
mix2_60_20__65_20,last_3y,19.382325901724727,0.7950981416266628,-24.541451626568318,-1.1179735345792565,-0.04201283495078789,-1.3265040254218619
mix2_60_20__65_20,last_5y,23.662609682642643,0.9859110883702477,-24.54145162656821,0.8726005911618309,0.03832613514401284,-1.3265040254217872
mix2_60_20__65_20,last_10y,20.66658480708623,0.8880326519096104,-24.541451626568232,-1.073262617547588,-0.039636747448298815,-1.3265040254217304
mix2_60_20__65_20,full_common,17.5632214410407,0.76503073989168,-39.71562528979867,-2.1840051342182143,-0.08600419587377894,-1.4921695392190983
mix2_60_20__65_22,last_3y,15.727682728959591,0.6574625604129556,-29.211795098025956,-4.772616707344392,-0.17964841616449512,-5.9968474968795
mix2_60_20__65_22,last_5y,19.764658205581643,0.840203567569448,-29.211795098025917,-3.0253508858991687,-0.10738138565678679,-5.996847496879493
mix2_60_20__65_22,last_10y,20.112965144596462,0.8757018991320006,-29.211795098025924,-1.626882280037357,-0.05196750022590868,-5.996847496879422
mix2_60_20__65_22,full_common,17.0887566441571,0.7529438481093166,-42.10577968531768,-2.6584699311018127,-0.09809108765614238,-3.8823239347381033
mix2_60_20__70_25,last_3y,16.120860947502802,0.6828969087837822,-25.290269607768124,-4.379438488801181,-0.15421406779366853,-2.0753220066216684
mix2_60_20__70_25,last_5y,19.66393647540603,0.8488477774727052,-25.290269607768057,-3.126072616074783,-0.09873717575352958,-2.075322006621633
mix2_60_20__70_25,last_10y,19.80852535163635,0.8777096028919177,-25.290269607768096,-1.9313220729974674,-0.04995979646599158,-2.075322006621594
mix2_60_20__70_25,full_common,17.757519104627594,0.7960989000752983,-34.43034579281034,-1.9897074706313198,-0.0549360356901607,3.793109957769232
mix2_60_20__80_30,last_3y,22.968759209839117,0.9746030413928849,-25.001144295067927,2.468459773535134,0.1374920648154342,-1.7861966939214717
mix2_60_20__80_30,last_5y,20.409080335657602,0.8979768421965475,-25.001144295067885,-2.3809287558232093,-0.04960811102968732,-1.786196693921461
mix2_60_20__80_30,last_10y,19.18277190948181,0.8719145603112826,-25.00114429506785,-2.5570755151520075,-0.0557548390466267,-1.7861966939213474
mix2_60_20__80_30,full_common,16.975182164842817,0.7857200026035357,-27.681513014253355,-2.772044410416097,-0.06531493316192327,10.54194273632622
