strategy,segment,start,end,avg_turnover,avg_gross_exposure,cagr,vol,sharpe,max_dd,calmar,total_return
baseline_60_20,last_3y,2023-04-24,2026-04-24,0.539831338182917,2.3069340143416563,20.500299436303983,21.4692229026416,0.8371109765774507,-23.214947601146456,0.8830646438888188,74.99265150827455
baseline_60_20,last_5y,2021-04-23,2026-04-24,0.49696814268235084,2.2644155470711587,22.79000909148081,20.817957792229393,0.9475849532262348,-23.214947601146424,0.9816954784061357,179.25325494751664
baseline_60_20,last_10y,2016-04-25,2026-04-24,0.49919919598817974,2.271695413159831,21.73984742463382,20.124674854406795,0.9276693993579093,-23.214947601146502,0.936459034848744,614.4579580293807
baseline_60_20,full_common,2011-01-04,2026-04-24,0.4823211972675092,2.10352284792868,19.747226575258914,19.98860293314394,0.851034935765459,-38.223455750579575,0.5166258829163947,1476.181523920633
mix2_60_20__55_18,last_3y,2023-04-24,2026-04-24,0.5325999526493125,2.3094207634722275,16.15833851314512,20.757852251256857,0.6820299605838357,-24.34962808149824,0.6635969329413632,56.745722779577925
mix2_60_20__55_18,last_5y,2021-04-23,2026-04-24,0.48851156785167366,2.26373686200003,20.007745664247146,20.198984241146327,0.8570389290505205,-24.349628081498253,0.821685883549481,149.00555488781362
mix2_60_20__55_18,last_10y,2016-04-25,2026-04-24,0.48676067237138704,2.269373856722045,18.3908156298235,19.610554090682733,0.8051075291986998,-24.34962808149822,0.755281171780917,440.60371384124426
mix2_60_20__55_18,full_common,2011-01-04,2026-04-24,0.47098861452819957,2.0998501816648263,17.408108595871408,19.454009826331887,0.7679346341523369,-37.28615999803705,0.46687855753415924,1065.4928394530075
mix2_60_20__55_20,last_3y,2023-04-24,2026-04-24,0.5284982446926566,2.302502721006217,16.72045746329742,21.155069022887577,0.6958142814449019,-25.330452053125956,0.6600931332859493,59.03287224160745
mix2_60_20__55_20,last_5y,2021-04-23,2026-04-24,0.49069193155282864,2.259346970406005,19.388512143937376,20.569017546651335,0.8200592614967119,-25.330452053125956,0.7654230608784062,142.644657510697
mix2_60_20__55_20,last_10y,2016-04-25,2026-04-24,0.49541411845395444,2.2769840072842586,19.918934708441817,20.00043826463295,0.857123117152819,-25.330452053125903,0.7863631753063689,514.5449354500477
mix2_60_20__55_20,full_common,2011-01-04,2026-04-24,0.48154831274765075,2.107196743643282,17.721891412768432,19.84869462284041,0.7699663751203383,-40.55403898906828,0.436994485741495,1114.0779876821357
mix2_60_20__60_18,last_3y,2023-04-24,2026-04-24,0.5275575576927184,2.305779906747476,15.301337787925707,20.31972239345404,0.6561695710185477,-25.88916238180785,0.591032554945766,53.30113209226566
mix2_60_20__60_18,last_5y,2021-04-23,2026-04-24,0.4811808800608051,2.263559612940376,19.73987906804251,19.973305769188805,0.8534443615373741,-25.88916238180786,0.7624765443131365,146.23780469967872
mix2_60_20__60_18,last_10y,2016-04-25,2026-04-24,0.49702898633202397,2.2715129895008497,17.379199052707705,19.415243462168633,0.7672868435691004,-25.889162381807818,0.6712924426214724,396.16442504404546
mix2_60_20__60_18,full_common,2011-01-04,2026-04-24,0.479832734984349,2.103556783328664,16.614377734321238,19.36154663001739,0.7358278996678398,-34.45960671054023,0.4821406661393894,950.5832654156759
mix2_60_20__60_22,last_3y,2023-04-24,2026-04-24,0.4714591782587455,2.300464090318671,18.317758903081693,21.103238805253667,0.7613637630027983,-26.740907723830198,0.6850088670235303,65.65319047545744
mix2_60_20__60_22,last_5y,2021-04-23,2026-04-24,0.43776016053454425,2.2611666184638435,20.474972814541694,20.44824266545831,0.8679649124121063,-26.740907723830155,0.7656797976343722,153.89274874687732
mix2_60_20__60_22,last_10y,2016-04-25,2026-04-24,0.44600811161054993,2.2711123167961547,19.817078935943822,19.85772754130109,0.8575962607656055,-26.740907723830183,0.7410772715947789,509.3471956676375
mix2_60_20__60_22,full_common,2011-01-04,2026-04-24,0.4351818247741807,2.1012234986731033,17.38563043670689,19.66657919472722,0.7607850733229494,-40.24904121426513,0.43195141827490413,1062.0830963130456
mix2_60_20__65_20,last_3y,2023-04-24,2026-04-24,0.5311205100817087,2.3149022726974406,19.382325901724727,21.417666961054124,0.7950981416266628,-24.541451626568318,0.7897791131777072,70.16599218751796
mix2_60_20__65_20,last_5y,2021-04-23,2026-04-24,0.47607663219363355,2.2749903046611166,23.662609682642643,20.702198614673584,0.9859110883702477,-24.54145162656821,0.9641894881648261,189.32198606039458
mix2_60_20__65_20,last_10y,2016-04-25,2026-04-24,0.4889889044902037,2.281202411541595,20.66658480708623,20.001543484045794,0.8880326519096104,-24.541451626568232,0.8421093063913495,553.9358581452467
mix2_60_20__65_20,full_common,2011-01-04,2026-04-24,0.47471239183165587,2.109135111967406,17.5632214410407,19.784936294858174,0.76503073989168,-39.71562528979867,0.4422244724308036,1089.2782560439716
mix2_60_20__65_22,last_3y,2023-04-24,2026-04-24,0.4857338880007453,2.303096404407408,15.727682728959591,21.057471468934533,0.6574625604129556,-29.211795098025956,0.5384017885988259,55.00838512109141
mix2_60_20__65_22,last_5y,2021-04-23,2026-04-24,0.44263923629766394,2.2675154474903922,19.764658205581643,20.41051375432086,0.840203567569448,-29.211795098025917,0.6765985499780979,146.4927988770636
mix2_60_20__65_22,last_10y,2016-04-25,2026-04-24,0.4500237379561637,2.2717505560067237,20.112965144596462,19.68960286090976,0.8757018991320006,-29.211795098025924,0.6885220534069697,524.5569196582182
mix2_60_20__65_22,full_common,2011-01-04,2026-04-24,0.43731404577759975,2.102896201674867,17.0887566441571,19.49019722416869,0.7529438481093166,-42.10577968531768,0.40585299148648624,1017.915794314738
mix2_60_20__70_25,last_3y,2023-04-24,2026-04-24,0.46358579759551044,2.2737923263560784,16.120860947502802,20.63990706666176,0.6828969087837822,-25.290269607768124,0.6374333369127524,56.59401884900759
mix2_60_20__70_25,last_5y,2021-04-23,2026-04-24,0.42214706059708285,2.2483988337285044,19.66393647540603,20.006117144697992,0.8488477774727052,-25.290269607768057,0.7775297290372157,145.45761809381358
mix2_60_20__70_25,last_10y,2016-04-25,2026-04-24,0.4312270604338745,2.2570096304249354,19.80852535163635,19.260512641311134,0.8777096028919177,-25.290269607768096,0.7832469032102376,508.91250893104234
mix2_60_20__70_25,full_common,2011-01-04,2026-04-24,0.42109682525950076,2.0891866528858998,17.757519104627594,19.036314723725262,0.7960989000752983,-34.43034579281034,0.5157519826110976,1119.712561335548
mix2_60_20__80_30,last_3y,2023-04-24,2026-04-24,0.43961044923572534,2.199477174139241,22.968759209839117,20.257924830539523,0.9746030413928849,-25.001144295067927,0.9187083174577034,85.97126015415171
mix2_60_20__80_30,last_5y,2021-04-23,2026-04-24,0.4125853254198033,2.1910936704426085,20.409080335657602,19.489126053204355,0.8979768421965475,-25.001144295067885,0.816325848720605,153.19890397503931
mix2_60_20__80_30,last_10y,2016-04-25,2026-04-24,0.4180648621498006,2.206734456889604,19.18277190948181,18.660010145140348,0.8719145603112826,-25.00114429506785,0.7672757567847057,477.85892720696916
mix2_60_20__80_30,full_common,2011-01-04,2026-04-24,0.404401561036732,2.0346140022372565,16.975182164842817,18.257198426332437,0.7857200026035357,-27.681513014253355,0.6132317318096814,1001.4376366918848
