strategy,score_vs_baseline,sharpe_3y,sharpe_5y,sharpe_10y,sharpe_full,cagr_3y,cagr_5y,cagr_10y,cagr_full,dd_3y,dd_5y,dd_10y,dd_full
mix2_60_20__80_30,-0.10364232673301554,0.9746030413928849,0.8979768421965475,0.8719145603112826,0.7857200026035357,22.968759209839117,20.409080335657602,19.18277190948181,16.975182164842817,-25.001144295067927,-25.001144295067885,-25.00114429506785,-27.681513014253355
mix2_60_20__65_20,-0.18448288776108912,0.7950981416266628,0.9859110883702477,0.8880326519096104,0.76503073989168,19.382325901724727,23.662609682642643,20.66658480708623,17.5632214410407,-24.541451626568318,-24.54145162656821,-24.541451626568232,-39.71562528979867
mix2_60_20__70_20,-0.3037500884475919,0.6688274988251982,0.9326577488325704,0.9223575449992373,0.7779774798421696,16.178977811808792,22.270118926177673,21.376506085109238,17.758615658861853,-25.433591196486983,-25.433591196486866,-25.433591196486933,-40.74890224904202
mix2_60_20__50_20,-0.39128815727055083,0.7930890013792427,0.8789160545083139,0.8427905369034662,0.7593381291460103,19.10755572315321,20.715218106556033,19.471252762386882,17.36080806644744,-24.48488974731987,-24.484889747319905,-24.484889747319915,-45.24256386074297
mix2_60_20__50_22,-0.40870461539841774,0.7641479933561335,0.8781324538050265,0.8636610769405049,0.7467775029350964,18.407469811757117,20.67300357254458,19.91696305457873,17.03722881401133,-26.464573853515716,-26.464573853515695,-26.464573853515688,-45.29346077513459
mix2_60_20__60_22,-0.41177576410382666,0.7613637630027983,0.8679649124121063,0.8575962607656055,0.7607850733229494,18.317758903081693,20.474972814541694,19.817078935943822,17.38563043670689,-26.740907723830198,-26.740907723830155,-26.740907723830183,-40.24904121426513
mix2_60_20__70_25,-0.43004242693213246,0.6828969087837822,0.8488477774727052,0.8777096028919177,0.7960989000752983,16.120860947502802,19.66393647540603,19.80852535163635,17.757519104627594,-25.290269607768124,-25.290269607768057,-25.290269607768096,-34.43034579281034
mix2_60_20__55_22,-0.4753315181479074,0.7560464822284146,0.8806208227873253,0.8328379246448265,0.7365930322970884,18.12007185657616,20.742037757501606,19.204227033126898,16.809511733823168,-26.758687525154535,-26.758687525154524,-26.758687525154496,-41.72391292998882
mix2_60_20__55_20,-0.5217497894832928,0.6958142814449019,0.8200592614967119,0.857123117152819,0.7699663751203383,16.72045746329742,19.388512143937376,19.918934708441817,17.721891412768432,-25.330452053125956,-25.330452053125956,-25.330452053125903,-40.55403898906828
mix2_60_20__65_22,-0.5335939607757159,0.6574625604129556,0.840203567569448,0.8757018991320006,0.7529438481093166,15.727682728959591,19.764658205581643,20.112965144596462,17.0887566441571,-29.211795098025956,-29.211795098025917,-29.211795098025924,-42.10577968531768
mix2_60_20__55_18,-0.5722295026629696,0.6820299605838357,0.8570389290505205,0.8051075291986998,0.7679346341523369,16.15833851314512,20.007745664247146,18.3908156298235,17.408108595871408,-24.34962808149824,-24.349628081498253,-24.34962808149822,-37.28615999803705
mix2_60_20__50_18,-0.6433873641159291,0.6547196139614064,0.8695249734299334,0.7735270976995869,0.7602945535942325,15.427498465695688,20.181453299020813,17.58137734698584,17.1471324281689,-24.298239925387698,-24.29823992538772,-24.29823992538781,-39.6159952345313
mix2_60_20__60_18,-0.707294503415178,0.6561695710185477,0.8534443615373741,0.7672868435691004,0.7358278996678398,15.301337787925707,19.73987906804251,17.379199052707705,16.614377734321238,-25.88916238180785,-25.88916238180786,-25.889162381807818,-34.45960671054023
mix2_60_20__80_25,-0.7574330186077541,0.5914840013907814,0.7325494469165545,0.8609524299662382,0.7485762812574843,13.898060586545903,16.817834556583055,19.23395129526537,16.552537866141527,-27.849852727504643,-27.849852727504647,-27.849852727504626,-33.751854628918394
mix2_60_20__65_18,-0.8327260574498587,0.6057084750102915,0.836464516237358,0.7593620750179657,0.7073562391080377,14.106801814482894,19.334862220033312,17.19005274147174,15.968619843322474,-20.90952146988471,-20.909521469884684,-20.909521469884698,-38.080816053178104
mix2_60_20__70_22,-0.8805320230009853,0.532427461287935,0.7365512050910619,0.8295665955640085,0.7340657329265183,12.72308110206879,17.288006044476024,18.984051955187642,16.61272521814128,-28.898292401722507,-28.898292401722514,-28.898292401722458,-44.463571759797944
