variant,min_budget,avg_budget,days_below_100pct,budget_abs_change_sum,budget_change_days
hy_original_map,0.35,0.6520348837209302,0.997093023255814,3.3,17
hy_regime3_budget_90,0.9,0.9267441860465119,0.7325581395348837,1.4999999999999996,15
hy_regime3_budget_80,0.8,0.8534883720930232,0.7325581395348837,2.999999999999999,15
hy_regime3_budget_70,0.7,0.780232558139535,0.7325581395348837,4.500000000000001,15
hy_regime3_budget_60,0.6,0.7069767441860464,0.7325581395348837,6.0,15
hy_regime3_budget_90_staged,0.908589934592,0.9621186130396279,0.7093023255813954,0.8192277852160004,43
hy_regime3_budget_80_staged,0.8171798691840001,0.9242372260792557,0.7093023255813954,1.6384555704319996,43
hy_regime3_budget_70_staged,0.725769803776,0.8863558391188836,0.7093023255813954,2.457683355648001,43
hy_regime3_budget_60_staged,0.634359738368,0.8484744521585115,0.7093023255813954,3.2769111408640006,43
hy_regime4_budget_80,0.8,0.955232558139535,0.2238372093023256,2.7999999999999994,14
hy_regime4_budget_70,0.7,0.9328488372093022,0.2238372093023256,4.2,14
hy_regime4_budget_60,0.6,0.9104651162790698,0.2238372093023256,5.6,14
hy_regime4_budget_50,0.5,0.8880813953488372,0.2238372093023256,7.0,14
hy_regime5_budget_80,0.8,0.9959302325581396,0.020348837209302327,0.3999999999999999,2
hy_regime5_budget_70,0.7,0.9938953488372092,0.020348837209302327,0.6000000000000001,2
hy_regime5_budget_60,0.6,0.991860465116279,0.020348837209302327,0.8,2
hy_regime5_budget_50,0.5,0.9898255813953488,0.020348837209302327,1.0,2
hy_regime5_budget_35,0.35,0.9867732558139535,0.020348837209302327,1.3,2
