variant,2020_crash_total,2020_crash_max_dd,2022_bear_total,2022_bear_max_dd,2025_tariff_total,2025_tariff_max_dd,since_2021_total,since_2021_max_dd
baseline_subc,-0.17113932461638193,-0.17696361766176893,-0.25517858760027146,-0.26142541384454887,-0.10559098295018687,-0.1544552981906362,0.9894253990638637,-0.26989286148833214
growth_floor_70,-0.14210488090104767,-0.14680610471601474,-0.20744895855802548,-0.2112269164712881,-0.06103791756080845,-0.11328665611020383,0.8915224230203009,-0.21776798523684682
growth_floor_70_delay_1w,-0.13859140939085257,-0.14308447320721807,-0.20810943670858773,-0.2118842462332612,-0.06103791756080845,-0.11328665611020383,0.9137385305272914,-0.2216920498512296
growth_floor_70_delay_2w,-0.14210488090104767,-0.14680610471601474,-0.20636472986435428,-0.21014785611398756,-0.06103791756080845,-0.11328665611020383,0.9080335477207402,-0.22151866405247267
growth_floor_70_staged_20_30_50,-0.1397805792597635,-0.14434707601719676,-0.21130498108396967,-0.21514419814470087,-0.061975652165253914,-0.11414271331878834,0.9169729051214608,-0.22278289177290933
growth_only_regime_3,-0.16934411999936427,-0.17389607409977104,-0.22618272913872028,-0.23208923893136313,-0.09086743053550583,-0.13965654833616592,0.9711464265107745,-0.23328784729934882
growth_only_regime_4,-0.13994354824045352,-0.14598704983172517,-0.21830070653611755,-0.22778358315256242,-0.02492681628243798,-0.11349110307660248,0.973520553671515,-0.24888606041396277
growth_only_regime_6,-0.12696819573136653,-0.14538196886402877,-0.25817794390342796,-0.26489750246903676,-0.12412594989168402,-0.14487576886049014,1.0045463204782377,-0.2712216613233951
growth_only_regime_5_6,-0.12696819573136653,-0.14538196886402877,-0.2868783515559977,-0.2874567494013328,-0.12412594989168402,-0.14487576886049014,0.794765657551443,-0.29370945387281455
growth_regime_3_budget_90,-0.1705713766034055,-0.175972419216454,-0.24387150606549557,-0.2503463171248883,-0.10209496781603855,-0.15090044313718565,1.0106178000337547,-0.25407305950621295
growth_regime_3_budget_80,-0.16997356851077527,-0.17495051083737945,-0.23421910039745308,-0.2404270927733595,-0.09391019694823377,-0.1427657062376676,0.9807299631649116,-0.24154783350637632
growth_regime_3_budget_70,-0.16934411999936427,-0.17389607409977104,-0.22618272913872028,-0.23208923893136313,-0.09086743053550583,-0.13965654833616592,0.9711464265107745,-0.23328784729934882
growth_regime_3_budget_60,-0.16868150938427662,-0.17280754417022204,-0.21468273003088212,-0.22029472815552653,-0.08777076910467607,-0.1364916143181235,0.9725349514866093,-0.22156362183061362
growth_regime_4_budget_80,-0.16243287936574247,-0.16831835143678409,-0.2442739547032431,-0.25241644209699554,-0.0786384863259545,-0.13848596629157917,0.9729334329640593,-0.2641330539899084
growth_regime_4_budget_70,-0.15437151929473758,-0.16031363746420357,-0.24664709575652755,-0.25474868497179437,-0.060787158378927786,-0.12838774514933593,0.9395506858010576,-0.269264088959391
growth_regime_4_budget_60,-0.1464344370611831,-0.15243232804534101,-0.23314375569640133,-0.24193716721530134,-0.04264241110412148,-0.12009132738136374,0.9570041786943848,-0.25967642599287244
growth_regime_4_budget_50,-0.13994354824045352,-0.14598704983172517,-0.21830070653611755,-0.22778358315256242,-0.02492681628243798,-0.11349110307660248,0.973520553671515,-0.24888606041396277
growth_regime_3_budget_90_staged,-0.17091993413363715,-0.17659207758969642,-0.24961514606596913,-0.25617766433952327,-0.10235503498986842,-0.1511698622679195,1.0123161213534058,-0.26207946464319276
growth_regime_3_budget_80_staged,-0.1706974004988039,-0.1762172765368738,-0.2442894812090184,-0.2506917629817331,-0.09912920573897821,-0.1478922146156767,1.0294507055991802,-0.2562389300079073
growth_regime_3_budget_70_staged,-0.1704716644683858,-0.1758391538161076,-0.23776721018731395,-0.24401603536320282,-0.09591648948085751,-0.14462519409552044,1.0511859089475832,-0.24921109140693765
growth_regime_3_budget_60_staged,-0.1702426693068756,-0.17545765118708645,-0.23186047489703931,-0.23794727780571823,-0.09271990498012495,-0.14137166577094207,1.0740447129036643,-0.24277946052573496
