variant,min_budget,avg_budget,days_below_100pct,budget_abs_change_sum,budget_change_days
regime3_budget_90,0.9,0.9350957155879673,0.6490428441203282,4.399999999999999,44
regime3_budget_80,0.8,0.8701914311759343,0.6490428441203282,8.799999999999997,44
regime3_budget_70,0.7,0.8052871467639017,0.6490428441203282,13.200000000000003,44
regime3_budget_60,0.6,0.7403828623518687,0.6490428441203282,17.6,44
regime3_budget_90_staged,0.9068719476736,0.9672022249946194,0.6289881494986327,2.4014372978688003,123
regime3_budget_80_staged,0.8137438953472,0.9344044499892391,0.6289881494986327,4.802874595737599,123
regime3_budget_70_staged,0.7206158430208,0.9016066749838585,0.6289881494986327,7.204311893606403,123
regime3_budget_60_staged,0.6274877906944,0.868808899978478,0.6289881494986327,9.605749191475201,123
regime4_budget_80,0.8,0.968094804010939,0.15952597994530537,4.399999999999999,22
regime4_budget_70,0.7,0.9521422060164084,0.15952597994530537,6.600000000000001,22
regime4_budget_60,0.6,0.9361896080218779,0.15952597994530537,8.8,22
regime4_budget_50,0.5,0.9202370100273473,0.15952597994530537,11.0,22
