variant,execution,min_budget,avg_budget,days_below_70pct,days_below_100pct,budget_abs_change_sum,budget_change_days
growth_floor_70,next_trading_day_after_signal,0.7,0.7290954219525648,0.0,0.9987129987129987,13.500000000000004,90.0
growth_floor_70_delay_1w,full_budget_after_1_week,0.7,0.7291505791505792,0.0,0.9987129987129987,13.650000000000002,91.0
growth_floor_70_delay_2w,full_budget_after_2_weeks,0.7,0.7292884721456151,0.0,0.9987129987129987,13.650000000000002,91.0
growth_floor_70_staged_20_30_50,downside_only_staged_20_30_50pct_of_cut_over_0_1_2_weeks,0.7000000000000073,0.7481966823931634,0.0,0.9983452840595698,8.14902113164729,749.0
growth_only_regime_3,cut_only_when_regime_is_3,0.7,0.8631549917264203,0.0,0.456150027578599,55.20000000000001,184.0
growth_only_regime_4,cut_only_when_regime_is_4,0.5,0.8738738738738738,0.25225225225225223,0.25225225225225223,68.0,136.0
growth_only_regime_6,cut_only_when_regime_is_6,0.15,0.9759330759330759,0.028314028314028315,0.028314028314028315,17.0,20.0
growth_only_regime_5_6,cut_only_when_regime_is_5_or_6,0.15,0.9300422871851444,0.09891524177238463,0.09891524177238463,30.0,54.0
growth_regime_3_budget_90,fixed_budget_only_when_regime_is_3,0.9,0.9543849972421403,0.0,0.456150027578599,18.399999999999995,184.0
growth_regime_3_budget_80,fixed_budget_only_when_regime_is_3,0.8,0.9087699944842802,0.0,0.456150027578599,36.79999999999999,184.0
growth_regime_3_budget_70,fixed_budget_only_when_regime_is_3,0.7,0.8631549917264203,0.0,0.456150027578599,55.20000000000001,184.0
growth_regime_3_budget_60,fixed_budget_only_when_regime_is_3,0.6,0.8175399889685603,0.456150027578599,0.456150027578599,73.60000000000001,184.0
growth_regime_4_budget_80,fixed_budget_only_when_regime_is_4,0.8,0.9495495495495496,0.0,0.25225225225225223,27.199999999999992,136.0
growth_regime_4_budget_70,fixed_budget_only_when_regime_is_4,0.7,0.9243243243243242,0.0,0.25225225225225223,40.800000000000004,136.0
growth_regime_4_budget_60,fixed_budget_only_when_regime_is_4,0.6,0.8990990990990989,0.25225225225225223,0.25225225225225223,54.400000000000006,136.0
growth_regime_4_budget_50,fixed_budget_only_when_regime_is_4,0.5,0.8738738738738738,0.25225225225225223,0.25225225225225223,68.0,136.0
growth_regime_3_budget_90_staged,staged_fixed_budget_only_when_regime_is_3,0.9000604462909808,0.9757817272884233,0.0,0.43905129619415334,9.236482407689834,517.0
growth_regime_3_budget_80_staged,staged_fixed_budget_only_when_regime_is_3,0.8001208925819615,0.9515634545768463,0.0,0.43905129619415334,18.47296481537966,517.0
growth_regime_3_budget_70_staged,staged_fixed_budget_only_when_regime_is_3,0.7001813388729422,0.9273451818652695,0.0,0.43905129619415334,27.709447223069503,517.0
growth_regime_3_budget_60_staged,staged_fixed_budget_only_when_regime_is_3,0.6002417851639229,0.9031269091536925,0.1160139731568303,0.43905129619415334,36.94592963075934,517.0
