variant,start,end,years,ann_return,ann_vol,sharpe,max_dd,final_nav,calmar
baseline_subc,2025-05-09,2026-04-17,0.9390828199863107,0.3555814725380908,0.14757484472915186,2.409499215064052,-0.12068453439913218,1.3306900331100073,2.9463714991193415
hy_original_map,2025-05-09,2026-04-17,0.9390828199863107,0.2786304045806616,0.1175714032354799,2.3698824451605964,-0.0960508245445374,1.2596283346004347,2.90086426537093
hy_regime3_budget_90,2025-05-09,2026-04-17,0.9390828199863107,0.346929962299966,0.14130974506961916,2.455102881468251,-0.11551374549249516,1.3227131779409584,3.0033651910499755
hy_regime3_budget_80,2025-05-09,2026-04-17,0.9390828199863107,0.3360627135683203,0.13555872085042348,2.4790932775113337,-0.1126188259426335,1.312688944136569,2.9840722521783887
hy_regime3_budget_70,2025-05-09,2026-04-17,0.9390828199863107,0.32124190209269843,0.13007841426174743,2.469601923700319,-0.10974432967656367,1.299009824346774,2.92718451185092
hy_regime3_budget_60,2025-05-09,2026-04-17,0.9390828199863107,0.309981835842289,0.12540351837552344,2.4718751105056076,-0.10406224349538151,1.288610910066364,2.9788117710151676
hy_regime3_budget_90_staged,2025-05-09,2026-04-17,0.9390828199863107,0.3571047000500034,0.14358396637529758,2.4870792266359922,-0.1159810316012404,1.3320941559114485,3.0789922724414205
hy_regime3_budget_80_staged,2025-05-09,2026-04-17,0.9390828199863107,0.3641333521485268,0.14139007229907455,2.575381327893346,-0.11470611754840099,1.3385719795665743,3.1744893814828874
hy_regime3_budget_70_staged,2025-05-09,2026-04-17,0.9390828199863107,0.36590830448095857,0.1379172555405701,2.653100245119959,-0.11045433431711016,1.3402075087128031,3.3127564141616195
hy_regime3_budget_60_staged,2025-05-09,2026-04-17,0.9390828199863107,0.36836933198727717,0.13531670948134514,2.7222752710969584,-0.10527112783595871,1.3424750074061151,3.499243710595536
hy_regime4_budget_80,2025-05-09,2026-04-17,0.9390828199863107,0.33648297429696505,0.14429094065510414,2.3319757482297785,-0.1177232247166452,1.3130766956732685,2.8582548185106655
hy_regime4_budget_70,2025-05-09,2026-04-17,0.9390828199863107,0.33177828292733835,0.14378061820435067,2.307531342338456,-0.11699846395280356,1.3087355104306229,2.835749049330901
hy_regime4_budget_60,2025-05-09,2026-04-17,0.9390828199863107,0.3328215459539712,0.14253364401889987,2.3350384973658516,-0.11214529957952801,1.3096982466479048,2.967770804499481
hy_regime4_budget_50,2025-05-09,2026-04-17,0.9390828199863107,0.33677072181535217,0.14132997080187384,2.3828684029621767,-0.10539157848247982,1.3133421802509724,3.19542345474346
hy_regime5_budget_80,2025-05-09,2026-04-17,0.9390828199863107,0.3578492619076681,0.14739269558915225,2.4278629309090736,-0.12036221941846448,1.3327804638023093,2.97310288591082
hy_regime5_budget_70,2025-05-09,2026-04-17,0.9390828199863107,0.3580571799144616,0.147347731538168,2.4300148782522166,-0.12020105080454857,1.3329721103634338,2.978819049566181
hy_regime5_budget_60,2025-05-09,2026-04-17,0.9390828199863107,0.3580452957933724,0.14733144496839368,2.4302028387095653,-0.1200398747748751,1.3329611563293906,2.982719670983137
hy_regime5_budget_50,2025-05-09,2026-04-17,0.9390828199863107,0.358180894790747,0.14732238567099915,2.4312727027828465,-0.11988989215449031,1.3330861425947633,2.9875820918180036
hy_regime5_budget_35,2025-05-09,2026-04-17,0.9390828199863107,0.3577702362172437,0.14734475490588625,2.428116538289828,-0.11985461447827617,1.3327076221108993,2.9850351425734223
