label,lb_spec,window,median_cagr,median_sharpe,worst_cagr,best_cagr,worst_maxdd,positive_rate,windows
baseline_mix_130_260_390,130+260+390,roll_3y,0.17970014224613784,1.3494781674612941,0.02873797704845349,0.3867829815214827,-0.16967356897999253,1.0,58
baseline_mix_130_260_390,130+260+390,roll_5y,0.1458606282070959,1.1798724094344744,0.0690634151212941,0.3177370284566692,-0.16967356897999253,1.0,50
best_overall,260+100+160,roll_3y,0.22420162098702223,1.3976855458286723,-0.0006899319889316358,0.4135710583423462,-0.2149562655617675,0.9833333333333333,60
best_overall,260+100+160,roll_5y,0.17912746134432345,1.3135523377782667,0.010604208718649755,0.34350532902882724,-0.2149562655617675,1.0,52
best_2g,260+100,roll_3y,0.2052257941504506,1.3500090211036104,0.04274897099756303,0.38898131841045536,-0.15920781974708464,1.0,60
best_2g,260+100,roll_5y,0.16791320940820653,1.249759359286978,0.04048468371127689,0.31816198215140035,-0.15920781974708464,1.0,52
best_3g,260+100+160,roll_3y,0.22420162098702223,1.3976855458286723,-0.0006899319889316358,0.4135710583423462,-0.2149562655617675,0.9833333333333333,60
best_3g,260+100+160,roll_5y,0.17912746134432345,1.3135523377782667,0.010604208718649755,0.34350532902882724,-0.2149562655617675,1.0,52
