label,window,scheme,lb_spec,group_count,median_cagr,p25_cagr,p75_cagr,median_sharpe,p25_sharpe,p75_sharpe,worst_maxdd,best_maxdd,positive_rate,windows
baseline_mix_130_260_390,roll_3y,baseline_mix_130_260_390,130+260+390,1,0.17969995315906173,0.12005062874179667,0.24737295708232715,1.3494792896593184,0.8708445210312444,1.7382487208803543,-0.16967339294002326,-0.07730296076156429,1.0,58
baseline_mix_130_260_390,roll_5y,baseline_mix_130_260_390,130+260+390,1,0.14586080060650064,0.1191308305538426,0.2672633454816654,1.1798745846714618,0.9256727699691122,1.748004993441074,-0.16967339294002326,-0.09287056150779627,1.0,50
baseline_single_160,roll_3y,baseline_single_160,160,1,0.16097942051901137,0.07322251628860177,0.24893564543608182,1.0119167077647815,0.6170655837961446,1.5225091712853827,-0.19681811990631137,-0.07751132984231224,1.0,61
baseline_single_160,roll_5y,baseline_single_160,160,1,0.15781382774123975,0.08051419433458973,0.2793333086190817,1.2074677512693242,0.6358568892774956,1.5776948494840815,-0.19681811990631137,-0.12546143158814782,1.0,53
best_overall,roll_3y,risk_vs_defense,60+390,2,0.10910438173401704,0.031018282029355193,0.1531260640213934,0.7422036904105231,0.30776965933906836,0.9807170544232867,-0.2638254199657949,-0.08863381528343606,0.9137931034482759,58
best_overall,roll_5y,risk_vs_defense,60+390,2,0.1010352365062166,0.03442477776144698,0.15021527917746907,0.7470134861965417,0.33014222679932564,0.9304737532216101,-0.26382541996579534,-0.12341429331583342,0.9,50
best_2g,roll_3y,risk_vs_defense,60+390,2,0.10910438173401704,0.031018282029355193,0.1531260640213934,0.7422036904105231,0.30776965933906836,0.9807170544232867,-0.2638254199657949,-0.08863381528343606,0.9137931034482759,58
best_2g,roll_5y,risk_vs_defense,60+390,2,0.1010352365062166,0.03442477776144698,0.15021527917746907,0.7470134861965417,0.33014222679932564,0.9304737532216101,-0.26382541996579534,-0.12341429331583342,0.9,50
best_3g,roll_3y,equity_rates_commodity,160+390+130,3,0.13245580030203907,0.09969912489031313,0.15660380961748305,0.8695068254447506,0.7414767192236336,1.062752474365841,-0.22743111647887526,-0.10648290684240713,1.0,58
best_3g,roll_5y,equity_rates_commodity,160+390+130,3,0.12134329843307701,0.08786958289325708,0.1689230282028129,0.8779118642023562,0.6795278968064073,1.0709656988388663,-0.22743111647887537,-0.12898726644298275,1.0,50
