mode,ma_window,slope_window,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold,start,end,rows,cagr,max_dd,sharpe,calmar,avg_weight,avg_turnover
formal,60,20,20,0.2,1.03,0.5,,0.4,80,0.05,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,80,0.1,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,80,0.15,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,100,0.0,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,100,0.1,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,100,0.15,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,120,0.0,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,120,0.05,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,120,0.1,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,120,0.15,2016-05-04,2026-04-30,2428,0.30711895058465566,-0.19160178344553047,1.5242158155448515,1.6029023585365791,0.6957114909390445,0.24727141680395387
formal,60,20,20,0.2,1.03,0.5,,0.4,80,0.0,2016-05-04,2026-04-30,2428,0.3070855862832611,-0.19160178344553047,1.5240896797100774,1.6027282249727124,0.6956195077271234,0.2472713970996931
formal,60,20,20,0.2,1.03,0.5,,0.35,120,0.0,2016-05-04,2026-04-30,2428,0.3070852962864361,-0.19160178344553047,1.5240924892269068,1.6027267114334345,0.6956926223817328,0.24727156030596092
formal,60,20,20,0.2,1.03,0.5,,0.35,100,0.0,2016-05-04,2026-04-30,2428,0.30662025906625545,-0.19160178344553047,1.523791493457657,1.6002996086590342,0.6944330111938535,0.2471448116812797
formal,60,20,20,0.2,1.03,0.5,,0.35,120,0.05,2016-05-04,2026-04-30,2428,0.3064367779562849,-0.19115619255797356,1.5245868173190174,1.603070106469866,0.6940690768013064,0.24668766610254006
formal,60,20,20,0.2,1.03,0.5,,0.35,120,0.1,2016-05-04,2026-04-30,2428,0.3064367779562849,-0.19115619255797356,1.5245868173190174,1.603070106469866,0.6940690768013064,0.24668766610254006
formal,60,20,20,0.2,1.03,0.5,,0.35,120,0.15,2016-05-04,2026-04-30,2428,0.3064367779562849,-0.19115619255797356,1.5245868173190174,1.603070106469866,0.6940690768013064,0.24668766610254006
formal,60,20,20,0.2,1.03,0.5,,0.4,60,0.15,2016-05-04,2026-04-30,2428,0.3060084950847495,-0.19160178344553047,1.5209645636493778,1.5971067157198102,0.6931252495495206,0.2470990007113189
formal,60,20,20,0.2,1.03,0.5,,0.35,80,0.1,2016-05-04,2026-04-30,2428,0.305809206263306,-0.1913564068377296,1.5215965945860532,1.5981132344454632,0.691911280125882,0.24668817507162052
formal,60,20,20,0.2,1.03,0.5,,0.35,80,0.15,2016-05-04,2026-04-30,2428,0.305809206263306,-0.1913564068377296,1.5215965945860532,1.5981132344454632,0.691911280125882,0.24668817507162052
formal,60,20,20,0.2,1.03,0.5,,0.4,60,0.0,2016-05-04,2026-04-30,2428,0.3057877768295578,-0.19160178344553047,1.5203199587777967,1.5959547522504598,0.6923848376154467,0.24693305796610485
formal,60,20,20,0.2,1.03,0.5,,0.35,80,0.0,2016-05-04,2026-04-30,2428,0.3056228636418101,-0.1916017834455327,1.5201714918148777,1.595094044250849,0.6912983937777968,0.24671733996335243
formal,60,20,20,0.2,1.03,0.5,,0.35,100,0.05,2016-05-04,2026-04-30,2428,0.30463642534735946,-0.18953452316641672,1.527749722549877,1.6072872649162706,0.6887215884031581,0.2447886460617389
formal,60,20,20,0.2,1.03,0.5,,0.35,100,0.1,2016-05-04,2026-04-30,2428,0.3045993132462175,-0.18953452316641672,1.5270117308551592,1.607091458365981,0.6889026024888018,0.2447886460617389
formal,60,20,20,0.2,1.03,0.5,,0.4,60,0.05,2016-05-04,2026-04-30,2428,0.3044817457161131,-0.18737092484186835,1.5273123719006703,1.6250213098594692,0.686438736416566,0.24450222949015127
formal,60,20,20,0.2,1.03,0.5,,0.4,40,0.05,2016-05-04,2026-04-30,2428,0.3042579708190487,-0.19160178344553047,1.5268890948439229,1.5879704528196352,0.6905155646148208,0.24596904328853073
