version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,year,return
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.054273173874319625
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.14142882906314003
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.21084992866058183
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,-0.024686428302864827
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.06659956661053568
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2013,0.14922344581002234
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2014,0.024637046429315523
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2015,-0.025593137086487472
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2016,0.0867368856268036
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2017,0.8338089460457865
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2018,0.016485812828552104
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2019,0.1533746915458818
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2020,0.5737097354802123
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2021,0.4248646520648769
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2022,0.05864112289844314
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2023,0.18095838591474434
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2024,0.4113640559608336
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2025,0.37062565619570864
V7.5,lbs_140_240_360,lbs_140_240_360,"(140, 240, 360)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2026,0.21391746794111044
V7.5,lbs_140_240_390,lbs_140_240_390,"(140, 240, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.02475983972316209
V7.5,lbs_140_240_390,lbs_140_240_390,"(140, 240, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.1324852430670198
V7.5,lbs_140_240_390,lbs_140_240_390,"(140, 240, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.19906345657907587
V7.5,lbs_140_240_390,lbs_140_240_390,"(140, 240, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,-0.01543468228997058
V7.5,lbs_140_240_390,lbs_140_240_390,"(140, 240, 390)",0.04,1.05,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.06492345370453512
