w_suba,w_adk,w_subb,w_microcap,annual,vol,sharpe,max_dd,calmar,total_return,weight_label
0.0,0.0,0.0,1.0,37.68588589196244,10.901113325806792,2.0793594773754296,-11.292247369176177,3.337323799231632,2782.786275339792,0.0%/0.0%/100.0%/0.0%
0.0,0.025,0.0,0.975,37.572338524996105,10.726998835934118,2.1060482139034216,-11.075755626044348,3.3923047594735425,2757.896241684706,0.0%/2.5%/97.5%/0.0%
0.0,0.0,0.025,0.975,37.47082387735296,10.775247752235181,2.0923688835205185,-10.780043977474351,3.47594350780487,2735.808641096665,0.0%/0.0%/97.5%/2.5%
0.0,0.025,0.025,0.95,37.355568284371145,10.597381060695785,2.1202323230039406,-10.554989610181408,3.5391383283160915,2710.918607441579,0.0%/2.5%/95.0%/2.5%
0.0,0.05,0.025,0.925,37.239385500919184,10.42214757562396,2.1485113229270354,-10.35261640455839,3.5970989405656146,2686.0285737864933,0.0%/5.0%/92.5%/2.5%
0.0,0.075,0.025,0.9,37.1222596839166,10.250131773544593,2.1770848313977442,-10.17247145480653,3.649286198426853,2661.1385401314074,0.0%/7.5%/90.0%/2.5%
0.0,0.125,0.0,0.875,37.10901240642346,10.061492750553782,2.2153388317127867,-10.162016327603885,3.6517371366173985,2658.3361070643627,0.0%/12.5%/87.5%/0.0%
0.0,0.1,0.025,0.875,37.004174573711765,10.081988110049785,2.2058013062994095,-9.988595824671087,3.7046422963990806,2636.2485064763214,0.0%/10.0%/87.5%/2.5%
0.0,0.15,0.0,0.85,36.99081824962314,9.906088758028659,2.2425185701460335,-9.920838972031621,3.7285977883428987,2633.4460734092763,0.0%/15.0%/85.0%/0.0%
0.0,0.125,0.025,0.85,36.88511347922354,9.918447504111613,2.2344740417133693,-9.800872411785576,3.7634520611521367,2611.3584728212354,0.0%/12.5%/85.0%/2.5%
0.0,0.175,0.0,0.825,36.87164620154684,9.75662751669226,2.26920988381447,-9.67421956942921,3.811330302866209,2608.556039754191,0.0%/17.5%/82.5%/0.0%
0.0,0.15,0.025,0.825,36.76505926241098,9.760323826805651,2.2628763334152673,-9.60917916099241,3.826035361236202,2586.4684391661494,0.0%/15.0%/82.5%/2.5%
0.0,0.2,0.0,0.8,36.751479072825674,9.614031405820851,2.2951256465622834,-9.421971822316378,3.900614411282582,2583.6660060991053,0.0%/20.0%/80.0%/0.0%
0.0,0.225,0.0,0.775,36.630299209017615,9.479313634884653,2.3199324533072985,-9.222264677281434,3.971941870119434,2558.775972444019,0.0%/22.5%/77.5%/0.0%
0.0,0.25,0.0,0.75,36.50808847353366,9.353581535446857,2.3432487412373026,-9.063920803838144,4.02784724884999,2533.885938788933,0.0%/25.0%/75.0%/0.0%
0.0,0.275,0.0,0.725,36.38482822976914,9.238038197520984,2.364644732210712,-8.902101506885973,4.0872178554271335,2508.9959051338474,0.0%/27.5%/72.5%/0.0%
0.0,0.3,0.0,0.7,36.26049932239541,9.133981910016239,2.3836449029666027,-8.736691095875715,4.15036985106555,2484.105871478761,0.0%/30.0%/70.0%/0.0%
0.0,0.325,0.0,0.675,36.13508205776357,9.042802836843348,2.399733733763925,-8.61919000459135,4.192398826167517,2459.2158378236754,0.0%/32.5%/67.5%/0.0%
0.025,0.275,0.0,0.7,36.13337524766123,9.130273506077128,2.3775170968990538,-8.61392178186816,4.194764726529097,2458.8786094897414,2.5%/27.5%/70.0%/0.0%
0.0,0.35,0.0,0.65,36.00855618336936,8.965976381649272,2.412365442754437,-8.516362055057524,4.228161737438738,2434.3258041685895,0.0%/35.0%/65.0%/0.0%
0.025,0.3,0.0,0.675,36.006834211306995,9.029908193979058,2.395824658460401,-8.445825839628874,4.263269796821811,2433.988575834656,2.5%/30.0%/67.5%/0.0%
0.025,0.325,0.0,0.65,35.87916344595499,8.943543681117333,2.410843695922152,-8.340034885162439,4.302039972253206,2409.09854217957,2.5%/32.5%/65.0%/0.0%
0.05,0.275,0.0,0.675,35.877425814276535,9.025333327562036,2.389710576691781,-8.313228843603282,4.315702898264718,2408.761313845636,5.0%/27.5%/67.5%/0.0%
0.025,0.35,0.0,0.625,35.75034150742209,8.872770929002755,2.4219830052531535,-8.304083233799043,4.305152116239885,2384.208508524484,2.5%/35.0%/62.5%/0.0%
0.05,0.3,0.0,0.65,35.74858812870894,8.92938712309296,2.4070900232334704,-8.169275996656511,4.375979969747623,2383.87128019055,5.0%/30.0%/65.0%/0.0%
0.05,0.325,0.0,0.625,35.6185768953329,8.848680330370858,2.4207584697877325,-8.156532453208865,4.366877358689376,2358.9812465354635,5.0%/32.5%/62.5%/0.0%
0.05,0.3,0.025,0.625,35.50220286748589,8.774676460004695,2.43367786179226,-8.05052898652191,4.409921748859388,2336.8936459474226,5.0%/30.0%/62.5%/2.5%
0.075,0.3,0.0,0.625,35.48558336604242,8.833157045151852,2.417188412128271,-8.005689820393847,4.432545372373254,2333.753984546444,7.5%/30.0%/62.5%/0.0%
0.075,0.325,0.0,0.6,35.353139473244525,8.759062823224143,2.429183248637634,-7.990833238565031,4.4242118960291466,2308.8639508913584,7.5%/32.5%/60.0%/0.0%
0.05,0.3,0.05,0.6,35.25148167406713,8.62118985161852,2.4606272259025417,-7.927427436922563,4.446774436544297,2289.9160117042957,5.0%/30.0%/60.0%/5.0%
0.075,0.3,0.025,0.6,35.2345666513465,8.677300582293622,2.4442788403806333,-7.881246102758855,4.470684735883648,2286.776350303317,7.5%/30.0%/60.0%/2.5%
0.1,0.3,0.0,0.6,35.21763148290575,8.74206824697181,2.4258247775188617,-7.834675550422176,4.49509762800682,2283.6366889023384,10.0%/30.0%/60.0%/0.0%
0.1,0.325,0.0,0.575,35.082657084442694,8.675665412596988,2.435777869260054,-7.817524021615119,4.487694183918163,2258.746655247253,10.0%/32.5%/57.5%/0.0%
0.05,0.3,0.075,0.575,34.996260724419706,8.469604558566061,2.4877417892137474,-7.801092318605274,4.486071859572166,2242.938377461168,5.0%/30.0%/57.5%/7.5%
0.075,0.3,0.05,0.575,34.979038896435966,8.523082958287631,2.47163086483945,-7.752133834721708,4.512182018809492,2239.7987160601897,7.5%/30.0%/57.5%/5.0%
0.1,0.3,0.025,0.575,34.96179614526296,8.585595408871205,2.4532290295239134,-7.724225323155087,4.526252754493992,2236.659054659211,10.0%/30.0%/57.5%/2.5%
0.075,0.275,0.075,0.575,34.85728846299523,8.452213752633728,2.484272748818264,-7.711495340463792,4.520172408079133,2217.7111154721483,7.5%/27.5%/57.5%/7.5%
0.05,0.3,0.1,0.55,34.73636656393859,8.320720840255037,2.5147646967695465,-7.673308434683013,4.526908680867272,2195.9607432180414,5.0%/30.0%/55.0%/10.0%
0.05,0.275,0.125,0.55,34.61250437526275,8.254944055890547,2.526451040869477,-7.665283439146108,4.5154891727159,2173.87314263,5.0%/27.5%/55.0%/12.5%
0.075,0.275,0.1,0.55,34.59480957957415,8.298750531884474,2.5124569992980335,-7.608927811487054,4.5466076741255215,2170.733481229022,7.5%/27.5%/55.0%/10.0%
0.05,0.275,0.15,0.525,34.345402762058356,8.108389515292481,2.553725511740049,-7.5566775958650245,4.5450401087446135,2126.895508386873,5.0%/27.5%/52.5%/15.0%
0.075,0.25,0.15,0.525,34.199856360154214,8.0895030732953,2.550247088039608,-7.488453865078437,4.567011692445806,2101.668246397853,7.5%/25.0%/52.5%/15.0%
0.05,0.25,0.2,0.5,33.943309159768354,7.9142675295903535,2.588251211664408,-7.46698053571313,4.545787818439333,2057.830273555705,5.0%/25.0%/50.0%/20.0%
0.075,0.25,0.175,0.5,33.92475485312527,7.942798372188542,2.5780340006220004,-7.433825406714256,4.563566265961038,2054.6906121547263,7.5%/25.0%/50.0%/17.5%
0.075,0.225,0.2,0.5,33.79352904232289,7.899459675678471,2.58317562004114,-7.372007580715989,4.584033409124733,2032.6030115666847,7.5%/22.5%/50.0%/20.0%
0.1,0.225,0.175,0.5,33.77477609799622,7.930730390964366,2.572081342207544,-7.368991457960961,4.583364805167229,2029.463350165706,10.0%/22.5%/50.0%/17.5%
0.075,0.225,0.225,0.475,33.510288042673864,7.758476384142932,2.6098353253813893,-7.2991700401978,4.590972378794695,1985.625377323558,7.5%/22.5%/47.5%/22.5%
0.05,0.225,0.275,0.45,33.24072091844252,7.615180066900884,2.639175907267621,-7.25988688399789,4.578683035917696,1941.787404481409,5.0%/22.5%/45.0%/27.5%
0.075,0.225,0.25,0.45,33.221214222747975,7.624902716991834,2.634581517446611,-7.23593867699599,4.591140929422554,1938.6477430804305,7.5%/22.5%/45.0%/25.0%
0.075,0.2,0.275,0.45,33.083210701220686,7.601028497217949,2.633203637780547,-7.154054122783505,4.624400393597895,1916.5601424923896,7.5%/20.0%/45.0%/27.5%
0.075,0.2,0.3,0.425,32.785086729501025,7.47801425458894,2.6545750689764165,-7.084273406422126,4.627868639256676,1869.5825082492622,7.5%/20.0%/42.5%/30.0%
0.125,0.175,0.275,0.425,32.60193704061183,7.482464340196188,2.640304427715274,-7.081177919940096,4.604027382055616,1841.215584859264,12.5%/17.5%/42.5%/27.5%
0.15,0.175,0.25,0.425,32.58151735608852,7.503696311382531,2.631628135150244,-7.076889772171513,4.6039317277780665,1838.0759234582854,15.0%/17.5%/42.5%/25.0%
0.175,0.175,0.225,0.425,32.56106771719966,7.537351190531058,2.6188000353025296,-7.072573901296009,4.60384976836128,1834.9362620573067,17.5%/17.5%/42.5%/22.5%
0.2,0.175,0.2,0.425,32.540588031292536,7.58349457776468,2.601918248938504,-7.068230037594613,4.603781690496085,1831.796600656328,20.0%/17.5%/42.5%/20.0%
0.225,0.175,0.175,0.425,32.52007820527667,7.642137402943932,2.5811376455238992,-7.0638579078381785,4.603727683875383,1828.65693925535,22.5%/17.5%/42.5%/17.5%
0.05,0.2,0.35,0.4,32.501025910127204,7.37968064996252,2.6689225453896865,-7.030795382087551,4.622667016157303,1825.7445354071137,5.0%/20.0%/40.0%/35.0%
0.075,0.2,0.325,0.4,32.48045772122035,7.366608365086148,2.6720723416278522,-7.01051111972204,4.633108366356627,1822.604874006135,7.5%/20.0%/40.0%/32.5%
0.075,0.175,0.35,0.4,32.33489491249975,7.368069554204161,2.661256073541533,-6.919995912637966,4.6726754351757105,1800.5172734180937,7.5%/17.5%/40.0%/35.0%
0.075,0.175,0.375,0.375,32.02014004512917,7.273842605161033,2.6721798003887307,-6.838188043801874,4.682547458482396,1753.5396391749669,7.5%/17.5%/37.5%/37.5%
0.075,0.15,0.4,0.375,31.869648576417852,7.302843568638262,2.6510748710447865,-6.8180901496116775,4.674277968916703,1731.4520385869255,7.5%/15.0%/37.5%/40.0%
0.1,0.15,0.375,0.375,31.848123668605833,7.274169516111607,2.6596880442288597,-6.812627570437102,4.674866391758803,1728.3123771859473,10.0%/15.0%/37.5%/37.5%
0.125,0.15,0.35,0.375,31.826565288002207,7.258432816328455,2.6637410115713904,-6.807127420934689,4.675476646745668,1725.1727157849687,12.5%/15.0%/37.5%/35.0%
0.15,0.15,0.325,0.375,31.80497332483998,7.255961762908658,2.663064366050384,-6.801589312167167,4.6761090482109795,1722.03305438399,15.0%/15.0%/37.5%/32.5%
0.175,0.15,0.3,0.375,31.783347668802286,7.267022146669644,2.6575623055040896,-6.79601284981024,4.676763916020222,1718.8933929830114,17.5%/15.0%/37.5%/30.0%
0.2,0.15,0.275,0.375,31.76168820901861,7.29181262061514,2.647217898690901,-6.7903976340588645,4.677441575690687,1715.7537315820327,20.0%/15.0%/37.5%/27.5%
0.225,0.15,0.25,0.375,31.739994834061203,7.33046188079024,2.6320948674545552,-6.784743259531767,4.678142358514486,1712.614070181054,22.5%/15.0%/37.5%/25.0%
0.25,0.15,0.225,0.375,31.71826743194113,7.383027817458715,2.6123356905611033,-6.779049315173902,4.678866601684763,1709.4744087800755,25.0%/15.0%/37.5%/22.5%
0.075,0.175,0.4,0.35,31.69808220048442,7.1969039219914555,2.676542597925886,-6.751363240327358,4.695063955549732,1706.5620049318393,7.5%/17.5%/35.0%/40.0%
0.075,0.15,0.425,0.35,31.54403222196105,7.230684023331439,2.65320051809453,-6.65044847236339,4.743143617012516,1684.4744043437984,7.5%/15.0%/35.0%/42.5%
0.1,0.15,0.4,0.35,31.521994753256056,7.193077300717994,2.6650862413511054,-6.650336125312428,4.7399100074472065,1681.3347429428197,10.0%/15.0%/35.0%/40.0%
0.125,0.15,0.375,0.35,31.499922110197875,7.168820019468766,2.672244204745553,-6.650222968617692,4.736671576102871,1678.1950815418413,12.5%/15.0%/35.0%/37.5%
0.15,0.15,0.35,0.35,31.477814174389817,7.158306609281002,2.674441507019747,-6.650108993495341,4.733428309999002,1675.0554201408627,15.0%/15.0%/35.0%/35.0%
0.175,0.15,0.325,0.35,31.455670826826363,7.161865317819928,2.671523875957086,-6.64999419103397,4.7301801961326975,1671.915758739884,17.5%/15.0%/35.0%/32.5%
0.2,0.15,0.3,0.35,31.43349194788898,7.179751756519229,2.6634240098566586,-6.649878552192345,4.726927221479244,1668.7760973389054,20.0%/15.0%/35.0%/30.0%
0.225,0.15,0.275,0.35,31.411277417341886,7.212144451460273,2.6501659858273188,-6.649762067797072,4.723669372992738,1665.6364359379272,22.5%/15.0%/35.0%/27.5%
0.25,0.15,0.25,0.35,31.38902711432767,7.259142666393374,2.6318652806538982,-6.649644728540027,4.720406637606839,1662.4967745369486,25.0%/15.0%/35.0%/25.0%
0.275,0.15,0.225,0.35,31.366740917363046,7.320766615628521,2.6087243549286305,-6.6495265249759905,4.717139002235396,1659.35711313597,27.5%/15.0%/35.0%/22.5%
0.3,0.15,0.2,0.35,31.344418704334487,7.396960022862571,2.5810241676307912,-6.649407447520083,4.713866453773183,1656.2174517349918,30.0%/15.0%/35.0%/20.0%
0.325,0.15,0.175,0.35,31.322060352493764,7.4875948273867925,2.5491123528187205,-6.649287486445221,4.710588979096596,1653.0777903340131,32.5%/15.0%/35.0%/17.5%
0.35,0.15,0.15,0.35,31.299665738453577,7.5924777094161815,2.513389050056886,-6.649166631879366,4.7073065650645045,1649.9381289330345,35.0%/15.0%/35.0%/15.0%
0.375,0.15,0.125,0.35,31.277234738183026,7.711358014744721,2.4742915051246257,-6.6490448738028345,4.704019198519022,1646.7984675320558,37.5%/15.0%/35.0%/12.5%
0.4,0.15,0.1,0.35,31.254767227003065,7.843936612204633,2.4322785435626706,-6.648922202045671,4.700726866286227,1643.6588061310772,40.0%/15.0%/35.0%/10.0%
0.075,0.15,0.45,0.325,31.210564881988144,7.179479301144717,2.6472008284194266,-6.56207709055554,4.756202106632959,1637.496770100671,7.5%/15.0%/32.5%/45.0%
0.1,0.15,0.425,0.325,31.187988463780812,7.132411317653714,2.662531574888203,-6.553117976503797,4.759259420569771,1634.3571086996928,10.0%/15.0%/32.5%/42.5%
0.125,0.15,0.4,0.325,31.165375034143295,7.0990662925427275,2.6730262898870043,-6.5526395342854755,4.756155877501918,1631.2174472987142,12.5%/15.0%/32.5%/40.0%
0.15,0.15,0.375,0.325,31.142724465111925,7.079911964234421,2.6783813839621713,-6.552157519392853,4.753048804601652,1628.0777858977356,15.0%/15.0%/32.5%/37.5%
0.175,0.15,0.35,0.325,31.12003662804721,7.075347387970403,2.678374653141262,-6.5516718916586285,4.749938205493503,1624.9381244967574,17.5%/15.0%/32.5%/35.0%
0.2,0.15,0.325,0.325,31.097311393628857,7.085694329097297,2.6728773252889564,-6.551182610310979,4.74682408404926,1621.7984630957787,20.0%/15.0%/32.5%/32.5%
0.225,0.15,0.3,0.325,31.074548631851062,7.111190784772643,2.6618618869777153,-6.550689633962426,4.7437064443937755,1618.6588016948,22.5%/15.0%/32.5%/30.0%
0.25,0.15,0.275,0.325,31.05174821201753,7.151987048941537,2.645404880448692,-6.550192920597874,4.740585290911287,1615.5191402938215,25.0%/15.0%/32.5%/27.5%
0.075,0.125,0.475,0.325,31.050948913018072,7.2462124466582845,2.611889048878296,-6.531860497064834,4.753767923698183,1615.4091695126301,7.5%/12.5%/32.5%/47.5%
