weight_label,w_suba,w_adk,w_microcap,w_subb,last_1y_annual,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_3y_annual,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_5y_annual,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_10y_annual,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,weighted_annual,weighted_sharpe,weighted_max_dd,weighted_calmar
5.0%/5.0%/60.0%/30.0%,0.05,0.05,0.6,0.3,35.07934522138398,2.2762336539808876,-6.231673732213549,5.629201195185722,32.70819493853534,1.9841249435807775,-8.894309439431725,3.677429390249001,32.149258555086746,1.8921101590687817,-8.894309439431725,3.6145873689257235,31.982407241092027,2.2364647234989468,-8.894309439431725,3.595828035766591,32.75937159213913,2.0335870425493208,-8.494914083348998,3.9359602503540003
5.0%/5.0%/57.5%/32.5%,0.05,0.05,0.575,0.325,35.39856670630952,2.3280542723811366,-6.127502785331041,5.77699724446508,32.77267220922218,2.0165043755712957,-8.763597975702941,3.739636653813234,31.931961656583297,1.9133072702675156,-8.763597975702952,3.643704531530835,31.837943751926122,2.262368271906837,-8.76359797570293,3.6329763003958875,32.73209842176726,2.0639974576867797,-8.368183697147158,3.995665446599569
5.0%/5.0%/55.0%/35.0%,0.05,0.05,0.55,0.35,35.733858070617266,2.3819791723644195,-6.017711066590648,5.9381146211897455,32.840203040156915,2.0503605291787528,-8.62625516536044,3.8070057528590064,31.707098131062097,1.9350967934523329,-8.62625516536044,3.6756503863211707,31.6887775929072,2.2877877641740003,-8.62625516536043,3.6735265750260417,32.70495075945532,2.095375103401643,-8.23497355054497,4.06067582814543
5.0%/5.0%/52.5%/37.5%,0.05,0.05,0.525,0.375,36.086464101619974,2.4378327094712806,-5.901831040947503,6.11445225240242,32.911009686550564,2.085648019531548,-8.4817632351195,3.8802084866363145,31.474257474606592,1.9573610317439782,-8.48176323511951,3.7108153814391533,31.534665396840957,2.3123349442749412,-8.4817632351195,3.717937476286635,32.67801293117414,2.127578316008367,-8.094773405993704,4.1317168131297715
5.0%/5.0%/50.0%/40.0%,0.05,0.05,0.5,0.4,36.45776155711833,2.4953281016616224,-5.779341841988783,6.3082895170244,32.98533651699578,2.1222667245720643,-8.329549067870811,3.96003868255349,31.232998301912463,1.9799279449826046,-8.329549067870811,3.7496625624532403,31.375346017256824,2.335531068302084,-8.329549067870822,3.766752048832928,32.65138332277416,2.16039700983869,-7.947017983988509,4.209651670630954
5.0%/5.0%/47.5%/42.5%,0.05,0.05,0.475,0.425,36.84927713068511,2.55403439575267,-5.649661444376863,6.522386782549844,33.063452834873154,2.1600412858179756,-8.168976605161049,4.047441244229309,30.982845323713025,2.002554384739526,-8.168976605161049,3.792745018285214,31.21053881354372,2.356794809562134,-8.16897660516107,3.8206179699211336,32.625176747139484,2.193532865492346,-7.791079331043424,4.295515904750729
5.0%/5.0%/45.0%/45.0%,0.05,0.05,0.45,0.45,37.26270843384398,2.613337942755579,-5.51213741595954,6.760119645412972,33.14565614321046,2.1986947103544807,-7.999337962768882,4.143549915940476,30.72328595454159,2.024905251499351,-7.999337962768871,3.8407285824822317,31.039941727106267,2.375432156834161,-7.99933796276886,3.8803138299162723,32.59952725835576,2.226575501587302,-7.626257880747473,4.390562495747334
5.0%/5.0%/42.5%/47.5%,0.05,0.05,0.425,0.475,37.69994860322434,2.672399905411158,-5.366035939491831,7.0256608469145965,33.232275936530975,2.237815151238957,-7.819842997675974,4.249736976357131,30.453766495908052,2.046528231139512,-7.846225582061184,3.881326910296138,30.863229117364188,2.390630542667674,-7.846225582061184,3.9335128457084836,32.57459150944194,2.258974751044289,-7.464963231140957,4.489748414222106
5.0%/5.0%/40.0%/50.0%,0.05,0.05,0.4,0.5,38.16311528499732,2.730113337109786,-5.2105287140734475,7.324230875442667,33.323678121716526,2.276815424172472,-7.629607002091765,4.367679503358478,30.173687830257556,2.0668242827381245,-7.702153438753845,3.917565142033765,30.680049320856064,2.401460208371347,-7.7021534387538555,3.9833079884500253,32.55055277406893,2.2900099292408784,-7.303018477220059,4.5959664554711885
5.0%/5.0%/37.5%/52.5%,0.05,0.05,0.375,0.525,38.654584932784395,2.7850663072480497,-5.044677242660467,7.662449562858198,33.4202701931366,2.3148859321812734,-7.439954394904536,4.49199933483805,29.882400549362664,2.0850150573836466,-7.551097762348801,3.95735845168923,30.49002188998402,2.4068864846373894,-7.551097762348813,4.037826399495578,32.527625783290006,2.318758265130538,-7.13623450579006,4.7123166196376145
