pick,weight_label,w_suba,w_adk,w_microcap,w_subb,annual,vol,sharpe,max_dd,calmar,total_return
full_max_annual,0.0%/0.0%/100.0%/0.0%,0.0,0.0,1.0,0.0,37.68588589196244,10.901113325806792,2.0793594773754296,-11.292247369176177,3.337323799231632,2782.786275339792
full_max_sharpe,12.5%/20.0%/32.5%/35.0%,0.125,0.2,0.325,0.35,31.480190464177383,7.093829204769716,2.6982763003904844,-6.762185938363208,4.655327545133606,1675.3926484747965
full_max_calmar,40.0%/10.0%/22.5%/27.5%,0.4,0.1,0.225,0.275,29.0947762717386,7.284354427216967,2.4560369017654256,-5.7743731794342885,5.038603389084908,1364.5954337393594
practical_max_annual,5.0%/5.0%/60.0%/30.0%,0.05,0.05,0.6,0.3,34.00935607242521,8.645052081336823,2.3803871540513617,-8.894309439431725,3.8237208075591913,2069.0400058238833
practical_max_sharpe,12.5%/20.0%/32.5%/35.0%,0.125,0.2,0.325,0.35,31.480190464177383,7.093829204769716,2.6982763003904844,-6.762185938363208,4.655327545133606,1675.3926484747965
practical_max_calmar,37.5%/10.0%/22.5%/30.0%,0.375,0.1,0.225,0.3,29.121080470476723,7.192648112761832,2.4883853272592242,-5.781901738989681,5.0365920738676,1367.7350951403378
practical_max_annual_dd_ge_6p0,22.5%/10.0%/25.0%/42.5%,0.225,0.1,0.25,0.425,29.661084454333732,7.009575235945668,2.592636686998401,-5.993445730448399,4.948920168517925,1433.550697789336
practical_max_annual_dd_ge_6p5,10.0%/12.5%/32.5%/45.0%,0.1,0.125,0.325,0.45,31.028109377721623,7.188195180290055,2.630712915607185,-6.498450038493209,4.774693841443473,1612.2695081116515
practical_max_annual_dd_ge_7p0,7.5%/17.5%/40.0%/35.0%,0.075,0.175,0.4,0.35,32.33489491249975,7.368069554204161,2.661256073541533,-6.919995912637966,4.6726754351757105,1800.5172734180937
practical_max_annual_dd_ge_7p2,5.0%/22.5%/42.5%/30.0%,0.05,0.225,0.425,0.3,32.945971054873866,7.497078496434935,2.6591663861626866,-7.167708859897393,4.596443814731824,1894.8097702382818
practical_max_annual_dd_ge_7p5,5.0%/20.0%/45.0%/30.0%,0.05,0.2,0.45,0.3,33.10291047743399,7.600118802484217,2.6348547790350207,-7.296261121248515,4.536968993753545,1919.6998038933677
practical_max_annual_dd_ge_8p0,5.0%/15.0%/50.0%/30.0%,0.05,0.15,0.5,0.3,33.41160827581871,7.879989257906132,2.5643168945704535,-7.768369075629533,4.300981061859641,1969.4798712035397
practical_max_annual_dd_ge_10p0,5.0%/5.0%/60.0%/30.0%,0.05,0.05,0.6,0.3,34.00935607242521,8.645052081336823,2.3803871540513617,-8.894309439431725,3.8237208075591913,2069.0400058238833
