date,lookback,return,asset_component,cash_component,trade_cost,turnover,holding,previous_holding,target,top_score,nav
2010-06-07,5,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,0.399606,cash,0.399606,431.3279133717473,0.9991210288202323
2010-06-08,5,-0.0021313590218183798,-0.0021313590218183798,0.0,0.0,0.0,0.399606,0.399606,0.399606,156.03140661529878,0.9969915432015679
2010-06-09,5,0.009995690705038252,0.009995690705038252,0.0,0.0,0.0,0.399606,0.399606,0.399606,39.90361144125721,1.0069571623029496
2010-06-10,5,0.036878669548199294,0.036878669548199294,0.0,0.0,0.0,0.399606,0.399606,0.399606,73.2846419367501,1.0440924027407126
2010-06-11,5,0.004320639776722146,0.004320639776722146,0.0,0.0,0.0,0.399606,0.399606,0.399606,47.25265631770421,1.0486035499065676
2010-06-17,5,-0.053005807325067766,-0.05110802337181142,0.0,0.002,2.0,1.H00016,0.399606,1.H00016,0.008002441403133349,0.9930214721798379
2010-06-18,5,-0.006928869342483712,-0.00593480414663039,0.0,0.001,1.0,cash,1.H00016,cash,,0.986140956144823
2010-06-21,5,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,2.98419942960452,0.9852741666651832
2010-06-22,5,-0.001665216266434566,-0.001665216266434566,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,6.033819562667421,0.9836334720959545
2010-06-23,5,-0.008339969184520513,-0.008339969184520513,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.6764184071924827,0.9754299992498113
2010-06-24,5,-0.0004066976779547593,0.0015964953126705872,0.0,0.002,2.0,0.399606,1.H00016,0.399606,4.467017715255924,0.975033294134109
2010-06-25,5,-0.03361265100351929,-0.03264529629981916,0.0,0.001,1.0,cash,0.399606,cash,,0.9422598403015674
2010-06-28,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.942373995053143
2010-06-29,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9424881636345633
2010-06-30,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9426023460475039
2010-07-01,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9427165422936404
2010-07-02,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9428307523746488
2010-07-05,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.942944976292205
2010-07-06,5,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,0.31259872813072054,0.9421161548339374
2010-07-07,5,-0.0002734163159485714,0.0017300437715945804,0.0,0.002,2.0,0.399606,1.H00016,0.399606,14.122629382266718,0.9418585649056871
2010-07-08,5,-0.0033437090973085226,-0.0033437090973085226,0.0,0.0,0.0,0.399606,0.399606,0.399606,16.180641107128526,0.938709263853834
2010-07-09,5,0.029543222274949432,0.029543222274949432,0.0,0.0,0.0,0.399606,0.399606,0.399606,41.439724253513816,0.966441760287422
2010-07-12,5,-0.004107471325972778,-0.0021116947154036225,0.0,0.002,2.0,1.H00852,0.399606,1.H00852,27.693273918040212,0.9624721284688188
2010-07-13,5,-0.016013358074202566,-0.014041440956114815,0.0,0.002,2.0,0.399606,1.H00852,0.399606,2.582439147530495,0.9470597176392077
2010-07-14,5,-0.011339214234356132,-0.00935793009454522,0.0,0.002,2.0,1.H00852,0.399606,1.H00852,0.62654619793231,0.9363208046081679
2010-07-15,5,-0.026323165370307655,-0.025348513884191792,0.0,0.001,1.0,cash,1.H00852,cash,,0.9116738772288075
2010-07-16,5,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,0.9117843264918682
2010-07-19,5,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00905,cash,1.H00905,0.1999581882798355,0.9109828943467181
2010-07-20,5,0.02636071645765381,0.02841755156077541,0.0,0.002,2.0,1.H00852,1.H00905,1.H00852,32.56284902820399,0.9349970561223647
