window,rank_by_sharpe,lookback,annual_return,annual_vol,sharpe,max_drawdown,turnover,trade_count,cash_ratio
FULL_COMMON,1,25,0.1987664049830571,0.23232085714387193,0.9009655205640336,-0.4266812704141558,512.0,317,0.22236807561039643
FULL_COMMON,2,30,0.18633473760291142,0.23276735191415687,0.8545572601514527,-0.3613935786368513,468.0,291,0.2215804673142557
FULL_COMMON,3,20,0.14818828729700018,0.2278548772465317,0.7235989472201986,-0.46077292779313817,722.0,444,0.22630611709110002
FULL_COMMON,4,15,0.13163831066105258,0.2221602956610779,0.6706349547091405,-0.3782539779666496,914.0,562,0.22131793121554214
FULL_COMMON,5,35,0.13519937438549956,0.23289519912981962,0.6639134458642387,-0.5443219208892487,432.0,269,0.2215804673142557
FULL_COMMON,6,40,0.11605055438940282,0.23287648856692109,0.5903991270292173,-0.6287188987098342,378.0,238,0.2168548175374114
FULL_COMMON,7,45,0.1013838506288125,0.23186295337358104,0.5347236867646519,-0.6495765139779546,346.0,216,0.2097663428721449
FULL_COMMON,8,10,0.09381970694448949,0.22090718327812622,0.5184224893300823,-0.49477273744577777,1298.0,814,0.2273562614859543
FULL_COMMON,9,50,0.08107373000291918,0.23102731691717318,0.4547857803879268,-0.5212956127662343,322.0,201,0.20267786820687844
FULL_COMMON,10,55,0.05140672626156939,0.22843884252127966,0.3351168024358087,-0.555610714258594,288.0,178,0.1963770018377527
FULL_COMMON,11,5,0.04731462589108015,0.2206926662232458,0.3207160262917813,-0.5250830046384584,2475.0,1567,0.22866894197952217
FULL_COMMON,12,60,0.02649213834873554,0.2293908892538259,0.2296845938839078,-0.6450246448176502,263.0,163,0.1906012076660541
10Y,1,25,0.18600428620328247,0.2104279742330255,0.9187876814038027,-0.27864639286003545,321.0,198,0.20593080724876442
10Y,2,30,0.15500484318771512,0.21066026489957976,0.7916256997419459,-0.3118267215371374,295.0,183,0.20757825370675453
10Y,3,35,0.12616977786409955,0.21037860184936832,0.6716304679558457,-0.35481753872571187,285.0,177,0.207166392092257
10Y,4,20,0.1169028229010678,0.20659469002923142,0.6398801598366246,-0.3177813486597615,461.0,281,0.19975288303130148
10Y,5,40,0.10928948252717374,0.2108270460454943,0.5986699083253204,-0.3983173793642252,252.0,160,0.20593080724876442
10Y,6,45,0.09570442523088096,0.20866228099954603,0.5434811698081715,-0.38631785064865676,222.0,139,0.1956342668863262
10Y,7,50,0.07497832710550267,0.2102408275145719,0.4497286705096729,-0.3281747019236638,206.0,129,0.18369028006589785
10Y,8,15,0.07111318548856738,0.2018030573953735,0.4419892912932734,-0.3181160138930992,606.0,371,0.2014003294892916
10Y,9,55,0.04575940641647702,0.20552851607211467,0.32110906931447647,-0.39700214812120493,180.0,112,0.17668863261943987
10Y,10,60,0.028719447882135984,0.2086462173770383,0.24052892796463152,-0.4381814065231604,158.0,99,0.17504118616144976
10Y,11,10,0.016550362699899512,0.1984615659046155,0.18135494404958233,-0.3311809272209043,850.0,530,0.21128500823723229
10Y,12,5,-0.00850289100261814,0.20236343920009256,0.05765686005501805,-0.3490708952392869,1623.0,1020,0.20510708401976935
5Y,1,25,0.22632179811821174,0.22310646284215485,1.0296672018634396,-0.20533602682421193,160.0,98,0.19900908340214699
5Y,2,35,0.19631033315283064,0.22230574039514847,0.9203247602959735,-0.20535084207205667,132.0,83,0.20726672171758878
5Y,3,40,0.1862249415909667,0.22122420977635485,0.8852505565605864,-0.2025172076140328,112.0,71,0.2138728323699422
5Y,4,30,0.18253826505637472,0.22410161375438872,0.8627365249125409,-0.24779743661113363,148.0,93,0.2056151940545004
5Y,5,45,0.1593297824273261,0.21815262067319674,0.7889979434956006,-0.20251720761403313,94.0,58,0.20726672171758878
5Y,6,20,0.14942162920617474,0.22430046187571634,0.7346737064339991,-0.28295456393217167,222.0,133,0.18662262592898432
5Y,7,15,0.10619081832226929,0.21710506971574342,0.5743076806894887,-0.2568112651297505,298.0,184,0.19322873658133774
5Y,8,50,0.1045228113374892,0.21996332057156792,0.5627213022098059,-0.3188683642629555,96.0,59,0.20066061106523533
5Y,9,55,0.07550573415859207,0.21053313179114522,0.4520248792640896,-0.3970021481212057,74.0,48,0.20809248554913296
5Y,10,10,0.05094172621970694,0.21418402730528396,0.3385923224857034,-0.2932456532029646,420.0,257,0.19570602807597026
