candidate,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,candidate_type,dynamic_sleeves,bands,executions,cost_bps,allocation_turnover_total,allocation_cost_total,rebalance_count,latest_suba_weight,latest_microcap_weight,latest_subb_weight
fixed_10_15_15_20_40_cost0bps,full,2011-12-09,2026-05-08,3743,0.3038349758618464,0.092796125308073,3.274220500620553,-0.07874424793461599,44.77136485027649,fixed,,,,0,0.0,0.0,0,0.1,0.15,0.4
fixed_10_15_15_20_40_cost0bps,last_10y,2016-05-09,2026-05-08,2597,0.3382186311124451,0.09619474551939386,3.5159782302688947,-0.06775777661596194,17.397173383752556,fixed,,,,0,0.0,0.0,0,0.1,0.15,0.4
fixed_10_15_15_20_40_cost0bps,last_5y,2021-05-10,2026-05-08,1300,0.3824083819078685,0.09906044687670819,3.860353894666138,-0.06775777661596194,4.038664582148356,fixed,,,,0,0.0,0.0,0,0.1,0.15,0.4
fixed_10_15_15_20_40_cost0bps,last_3y,2023-05-08,2026-05-08,781,0.5142080719608388,0.10711149607964911,4.800680513121289,-0.06775777661596194,2.4728018268099055,fixed,,,,0,0.0,0.0,0,0.1,0.15,0.4
fixed_10_15_15_20_40_cost0bps,last_1y,2025-05-08,2026-05-08,260,0.5900741116497621,0.11330152788233476,5.207997832673205,-0.05706591740128897,0.5895694377742629,fixed,,,,0,0.0,0.0,0,0.1,0.15,0.4
suba_dd_3_10_daily_cost0bps,full,2011-12-09,2026-05-08,3743,0.3121466774206949,0.094284978282899,3.3106724221127672,-0.07180173286871494,49.16116619926829,suba_only,Sub-A,dd_3_10,daily,0,20.500000000000007,0.0,204,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost0bps,last_10y,2016-05-09,2026-05-08,2597,0.34423871193616007,0.09744932082272877,3.5324895959241096,-0.0677577766159615,18.241386288318516,suba_only,Sub-A,dd_3_10,daily,0,12.600000000000005,0.0,125,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost0bps,last_5y,2021-05-10,2026-05-08,1300,0.38887975657466534,0.10000160107075852,3.8887353043428194,-0.0677577766159615,4.157561343392428,suba_only,Sub-A,dd_3_10,daily,0,7.200000000000003,0.0,72,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost0bps,last_3y,2023-05-08,2026-05-08,781,0.5245767905800174,0.10810788651856691,4.852345258733037,-0.0677577766159615,2.5446492785505535,suba_only,Sub-A,dd_3_10,daily,0,3.3000000000000016,0.0,33,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost0bps,last_1y,2025-05-08,2026-05-08,260,0.6005356052550805,0.1115357829038544,5.384241627395503,-0.05236600723077167,0.6000204292947111,suba_only,Sub-A,dd_3_10,daily,0,1.3000000000000007,0.0,13,0.15000000000000002,0.15,0.35
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost0bps,full,2011-12-09,2026-05-08,3743,0.32095417122773284,0.09448050086957777,3.3970413818062055,-0.07679200279117882,54.23824706134153,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",0,26.700000000000003,0.0,262,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost0bps,last_10y,2016-05-09,2026-05-08,2597,0.3461231561901994,0.09750352743945408,3.5498526594858686,-0.07679200279117893,18.512720722823772,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",0,16.500000000000004,0.0,160,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost0bps,last_5y,2021-05-10,2026-05-08,1300,0.39291409278585365,0.10142040833434358,3.874112708071229,-0.07679200279117893,4.232811184145784,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",0,9.3,0.0,89,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost0bps,last_3y,2023-05-08,2026-05-08,781,0.5357529240645249,0.10959588429094866,4.888440177573091,-0.07679200279117893,2.623193951519873,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",0,4.4,0.0,41,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost0bps,last_1y,2025-05-08,2026-05-08,260,0.6213244378558778,0.11211764236538777,5.541718722830449,-0.05328058358142718,0.6207882539246443,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",0,1.7000000000000004,0.0,16,0.15000000000000002,0.09999999999999999,0.4
suba_dd_3_10_daily_cost5bps,full,2011-12-09,2026-05-08,3743,0.3112157097339743,0.09427734509636324,3.301065695219492,-0.07189491025499817,48.650684338385744,suba_only,Sub-A,dd_3_10,daily,5,20.500000000000007,0.010250000000000006,204,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost5bps,last_10y,2016-05-09,2026-05-08,2597,0.34339373244707594,0.09744160873583596,3.5240975277616338,-0.06775777661596227,18.12082714808706,suba_only,Sub-A,dd_3_10,daily,5,12.600000000000005,0.0063000000000000035,125,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost5bps,last_5y,2021-05-10,2026-05-08,1300,0.3878807883077704,0.0999969398710965,3.878926583231223,-0.06775777661596227,4.139062597989317,suba_only,Sub-A,dd_3_10,daily,5,7.200000000000003,0.0036000000000000025,72,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost5bps,last_3y,2023-05-08,2026-05-08,781,0.5237424379579307,0.1080935257190896,4.845271115672716,-0.06775777661596227,2.5388315138412945,suba_only,Sub-A,dd_3_10,daily,5,3.3000000000000016,0.001650000000000001,33,0.15000000000000002,0.15,0.35
suba_dd_3_10_daily_cost5bps,last_1y,2025-05-08,2026-05-08,260,0.599497674359335,0.11153080931394281,5.375175505737049,-0.05236600723077178,0.5989835424514234,suba_only,Sub-A,dd_3_10,daily,5,1.3000000000000007,0.0006500000000000005,13,0.15000000000000002,0.15,0.35
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost5bps,full,2011-12-09,2026-05-08,3743,0.31973349336719004,0.09447193217093236,3.3844284330787446,-0.07688417859957974,53.507125636526325,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",5,26.700000000000003,0.013350000000000002,262,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost5bps,last_10y,2016-05-09,2026-05-08,2597,0.3450151573452316,0.09749374274673626,3.5388441106573625,-0.07688417859957974,18.352769846742074,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",5,16.500000000000004,0.008250000000000002,160,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost5bps,last_5y,2021-05-10,2026-05-08,1300,0.3916199293372462,0.10141606298263262,3.8615177696684073,-0.07688417859957974,4.20857698327399,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",5,9.3,0.004650000000000001,89,0.15000000000000002,0.09999999999999999,0.4
combo_suba_dd_3_10_daily_microcap_dd_3_10_month_end_cost5bps,last_3y,2023-05-08,2026-05-08,781,0.5346314572980391,0.10958270458109988,4.878794143124743,-0.07688417859957974,2.6152605454589843,suba_plus_microcap,"Sub-A,Microcap","dd_3_10,dd_3_10","daily,month_end",5,4.4,0.0022000000000000006,41,0.15000000000000002,0.09999999999999999,0.4
