version,window,requested_years,start,end,rows,elapsed_years,annual_return,max_drawdown,total_return
V7.5,10Y,10,2016-05-05,2026-05-05,2596,9.998631074606434,0.29087395229364765,-0.10421479685911894,11.843594448194722
V7.5,8Y,8,2018-05-07,2026-05-05,2078,7.994524298425736,0.29314085698490167,-0.10421479685911883,6.808279109697483
V7.5,6Y,6,2020-05-05,2026-05-05,1559,5.9986310746064335,0.3221512649625169,-0.10421479685911883,4.339749014309172
V7.5,4Y,4,2022-05-05,2026-05-05,1039,4.0,0.2822662531271507,-0.10421479685911894,1.7034158167149882
V7.5,2Y,2,2024-05-06,2026-05-05,519,1.995893223819302,0.38009704300978564,-0.10421479685911883,0.9021496128070827
V7.6,10Y,10,2016-05-05,2026-05-05,2596,9.998631074606434,0.30765738420726385,-0.08901057364265919,13.614374565171191
V7.6,8Y,8,2018-05-07,2026-05-05,2078,7.994524298425736,0.3145774953486633,-0.08901057364265919,7.905106295383787
V7.6,6Y,6,2020-05-05,2026-05-05,1559,5.9986310746064335,0.3443423176562914,-0.08901057364265919,4.900425046511928
V7.6,4Y,4,2022-05-05,2026-05-05,1039,4.0,0.3235950368274654,-0.0890105736426593,2.0691669998364053
V7.6,2Y,2,2024-05-06,2026-05-05,519,1.995893223819302,0.44450815257247633,-0.08901057364265907,1.0834546909998561
