classification,version,sleeve,window,start,end,rows,years,cagr,annual_vol,sharpe_0rf,max_drawdown,na_reason
formal,V7.8,Sub-B,Full,2008-12-15,2026-08-25,4450,17.691991786447637,0.12073746585721512,0.11376817424676186,1.061079297983698,-0.11691790367527566,
formal,V7.8,Sub-B,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.17049559259021252,0.12233440223115846,1.3520215366869872,-0.1169179036752751,
formal,V7.8,Sub-B,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.21834643746121274,0.14491956515302987,1.4412232954084405,-0.11691790367527555,
formal,V7.8,Sub-B,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.3112660017484905,0.15746025229207056,1.8104204920920381,-0.10988534788498805,
formal,V7.8,Sub-B,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.3214162456195284,0.17824432615217972,1.6527013870868625,-0.1098853478849886,
formal,V7.8,Sub-C,Full,2020-12-03,2026-08-25,1437,5.724845995893224,0.15332214998782856,0.1261853454328311,1.198333243052559,-0.18154485249467522,
formal,V7.8,Sub-C,10Y,,,0,,,,,,insufficient history
formal,V7.8,Sub-C,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.14317818298996876,0.12706314422592516,1.120981467698234,-0.18154485249467467,
formal,V7.8,Sub-C,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.25800829943538695,0.13307010168392824,1.8017273415912531,-0.09749900739539374,
formal,V7.8,Sub-C,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.2497094828825337,0.14357389063975323,1.623796336133084,-0.08116633899586057,
formal,V7.8,B50_C50,Full,2020-12-03,2026-08-25,1437,5.724845995893224,0.19139437339635834,0.12345137064289546,1.4864732037968569,-0.09384390235675066,
formal,V7.8,B50_C50,10Y,,,0,,,,,,insufficient history
formal,V7.8,B50_C50,5Y,2021-08-25,2026-08-25,1255,4.999315537303217,0.18211230383326926,0.12357495390448403,1.4213919247555176,-0.09384390235675066,
formal,V7.8,B50_C50,3Y,2023-08-25,2026-08-25,752,3.0006844626967832,0.285582910896933,0.1390713302890447,1.886892528104161,-0.093843902356751,
formal,V7.8,B50_C50,1Y,2025-08-25,2026-08-25,252,0.999315537303217,0.2866695367109877,0.1539790498005637,1.7136078035966098,-0.09110158778148736,
formal,V7.9,Sub-B,Full,2008-12-15,2026-08-25,4450,17.691991786447637,0.16706906231342544,0.14810065225021463,1.1197492775135096,-0.1599511201743533,
formal,V7.9,Sub-B,10Y,2016-08-25,2026-08-25,2513,9.998631074606434,0.240624376011777,0.1575325944734243,1.451948421662511,-0.15495164487977586,
