date,return,nav,filtered_assets,w_QQQ,w_EMXC,w_EFA,w_GLD,w_TLT,w_DBC,w_BTC-USD,w_BIL
2003-08-22,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-08-25,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-08-26,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-08-27,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-08-28,0.0,1.0,QQQ|EFA|TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-08-29,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-02,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-03,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-04,0.0,1.0,QQQ|EFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-05,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-08,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-09,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-10,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-11,0.0,1.0,QQQ|EFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-12,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-15,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-16,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-17,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-18,0.0,1.0,QQQ|EFA|TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-19,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-22,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-23,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-24,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-25,0.0,1.0,QQQ|EFA|TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-26,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-29,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-09-30,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-01,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-02,0.0,1.0,QQQ|EFA|TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-03,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-06,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-07,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-08,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-09,0.0,1.0,QQQ|EFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-10,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-13,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-14,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-15,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-16,0.0,1.0,QQQ|EFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-17,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-10-20,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
