date,return,nav,holding,primary_pick,rsrs_pass
2010-09-29,0.0001211499702025165,1.0001211499702025,cash,1.H11077,True
2010-09-30,0.0001211499702025165,1.0002423146177204,cash,1.H11077,True
2010-10-08,0.0001211499702025165,1.0003634939443315,cash,1.H11077,True
2010-10-11,0.0001211499702025165,1.0004846879518146,cash,1.H00016,True
2010-10-12,0.0001211499702025165,1.000605896641948,cash,1.H00016,True
2010-10-13,0.0001211499702025165,1.0007271200165107,cash,1.H00016,True
2010-10-14,0.0001211499702025165,1.0008483580772816,cash,1.H00016,False
2010-10-15,0.0001211499702025165,1.00096961082604,cash,1.H00016,False
2010-10-18,0.0001211499702025165,1.001090878264565,cash,1.H00016,False
2010-10-19,0.0001211499702025165,1.001212160394637,cash,1.H00016,False
2010-10-20,0.0001211499702025165,1.001333457218035,cash,1.H00016,False
2010-10-21,0.0001211499702025165,1.0014547687365398,cash,1.H00016,False
2010-10-22,0.0001211499702025165,1.0015760949519315,cash,1.H00016,False
2010-10-25,0.0001211499702025165,1.0016974358659905,cash,1.H00016,False
2010-10-26,0.0001211499702025165,1.0018187914804977,cash,1.H00016,False
2010-10-27,0.0001211499702025165,1.0019401617972339,cash,1.H00016,False
2010-10-28,0.0001211499702025165,1.0020615468179803,cash,1.H00016,False
2010-10-29,0.0001211499702025165,1.0021829465445184,cash,1.H00016,False
2010-11-01,0.0001211499702025165,1.0023043609786297,cash,1.H00016,False
2010-11-02,0.0001211499702025165,1.002425790122096,cash,0.399606,False
2010-11-03,0.0001211499702025165,1.0025472339766996,cash,0.399606,False
2010-11-04,0.0001211499702025165,1.0026686925442225,cash,0.399606,False
2010-11-05,0.0001211499702025165,1.0027901658264473,cash,0.399606,False
2010-11-08,0.0001211499702025165,1.0029116538251566,cash,0.399606,False
2010-11-09,0.0001211499702025165,1.0030331565421333,cash,0.399606,False
2010-11-10,0.0001211499702025165,1.0031546739791606,cash,0.399606,False
2010-11-11,0.0001211499702025165,1.0032762061380216,cash,0.399606,False
2010-11-12,0.0001211499702025165,1.0033977530205,cash,0.399606,False
2010-11-15,0.0001211499702025165,1.0035193146283798,cash,0.399606,False
2010-11-16,0.0001211499702025165,1.0036408909634447,cash,0.399606,False
2010-11-17,0.0001211499702025165,1.0037624820274789,cash,0.399606,False
2010-11-18,0.0001211499702025165,1.0038840878222668,cash,0.399606,False
2010-11-19,0.0001211499702025165,1.0040057083495932,cash,0.399606,False
2010-11-22,0.0001211499702025165,1.004127343611243,cash,0.399606,False
2010-11-23,0.0001211499702025165,1.004248993609001,cash,0.399606,False
2010-11-24,0.0001211499702025165,1.0043706583446528,cash,0.399606,False
2010-11-25,0.0001211499702025165,1.0044923378199835,cash,0.399606,False
2010-11-26,0.0001211499702025165,1.0046140320367791,cash,0.399606,False
2010-11-29,0.0001211499702025165,1.0047357409968254,cash,0.399606,False
2010-11-30,0.0001211499702025165,1.0048574647019086,cash,0.399606,False
2010-12-01,0.0001211499702025165,1.004979203153815,cash,0.399606,False
2010-12-02,0.0001211499702025165,1.0051009563543312,cash,0.399606,False
2010-12-03,0.0001211499702025165,1.005222724305244,cash,0.399606,False
2010-12-06,0.0001211499702025165,1.0053445070083404,cash,0.399606,False
2010-12-07,0.0001211499702025165,1.0054663044654077,cash,1.H11077,True
2010-12-08,-0.0008789711797676514,1.004582528561555,1.H11077,1.H11077,True
2010-12-09,-0.004016607951685902,1.00054751438921,cash,1.H11077,True
2010-12-10,-0.0008789711797676514,0.9996680619600737,1.H11077,1.H11077,True
2010-12-13,0.0012097993749369262,1.0008774597565775,1.H11077,1.H11077,True
2010-12-14,-0.0004027791763165922,1.000474327157743,1.H11077,1.H11077,True
2010-12-15,0.001208824418253318,1.0016837249542467,1.H11077,1.H11077,True
2010-12-16,0.0012073649260488928,1.0028931227507505,1.H11077,1.H11077,True
2010-12-17,0.0018088634308108809,1.004707219445506,1.H11077,1.H11077,True
2010-12-20,0.0006018657839301778,1.005311918343758,1.H11077,1.H11077,True
2010-12-21,0.00070175438596487,1.0060174003917184,1.H11077,1.H11077,True
2010-12-22,-0.0007012622720896644,1.005311918343758,1.H11077,1.H11077,True
2010-12-23,-0.0009022556390977376,1.0044048699963801,1.H11077,1.H11077,True
2010-12-24,0.0003010234798315192,1.0047072194455062,1.H11077,1.H11077,True
2010-12-27,-0.005818035911325126,0.9988617967624046,1.H11077,1.H11077,True
2010-12-28,0.0,0.9988617967624046,1.H11077,1.H11077,True
2010-12-29,-0.0013023912824134953,0.9975608878659654,cash,1.H11077,True
2010-12-30,0.0001211499702025165,0.9976817423378056,cash,1.H11077,True
2010-12-31,0.0001211499702025165,0.9978026114511614,cash,1.H11077,True
2011-01-04,0.0001211499702025165,0.9979234952078068,cash,1.H11077,True
2011-01-05,0.0001211499702025165,0.9980443936095156,cash,1.H11077,True
2011-01-06,0.0001211499702025165,0.9981653066580621,cash,1.H11077,True
2011-01-07,0.0001211499702025165,0.9982862343552209,cash,1.H11077,True
2011-01-10,0.0001211499702025165,0.9984071767027666,cash,1.H11077,True
2011-01-11,0.0001211499702025165,0.9985281337024741,cash,1.H11077,True
2011-01-12,0.0001211499702025165,0.9986491053561185,cash,1.H11077,True
2011-01-13,0.0001211499702025165,0.9987700916654751,cash,1.H11077,True
2011-01-14,0.0001211499702025165,0.9988910926323196,cash,1.H11077,True
2011-01-17,0.0001211499702025165,0.9990121082584276,cash,1.H11077,True
2011-01-18,0.0001211499702025165,0.9991331385455751,cash,1.H11077,True
2011-01-19,0.0001211499702025165,0.9992541834955382,cash,1.H11077,True
2011-01-20,0.0001211499702025165,0.9993752431100934,cash,1.H11077,True
2011-01-21,0.0001211499702025165,0.9994963173910173,cash,1.H11077,True
2011-01-24,0.0001211499702025165,0.9996174063400868,cash,1.H11077,True
2011-01-25,0.0001211499702025165,0.9997385099590788,cash,1.H11077,True
2011-01-26,0.0001211499702025165,0.9998596282497706,cash,1.H11077,True
2011-01-27,0.0001211499702025165,0.9999807612139398,cash,1.H20955,True
2011-01-28,0.0001211499702025165,1.0001019088533638,cash,1.H20955,True
2011-01-31,0.0001211499702025165,1.0002230711698208,cash,1.H20955,True
2011-02-01,0.0001211499702025165,1.0003442481650888,cash,1.H20955,True
2011-02-09,0.0001211499702025165,1.0004654398409463,cash,1.H20955,True
2011-02-10,0.0001211499702025165,1.0005866461991717,cash,1.H20955,True
2011-02-11,0.0001211499702025165,1.0007078672415437,cash,1.H20955,True
2011-02-14,0.0001211499702025165,1.0008291029698415,cash,1.H20955,True
2011-02-15,0.0001211499702025165,1.0009503533858441,cash,1.H20955,False
2011-02-16,0.0001211499702025165,1.001071618491331,cash,1.H00905,True
2011-02-17,0.0001211499702025165,1.001192898288082,cash,1.H00905,False
2011-02-18,0.0001211499702025165,1.0013141927778766,cash,1.H00905,False
2011-02-21,0.0001211499702025165,1.001435501962495,cash,1.H00905,False
2011-02-22,0.0001211499702025165,1.0015568258437175,cash,1.H00905,False
2011-02-23,0.0001211499702025165,1.0016781644233246,cash,1.H00905,False
