scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,53,1,2010-02-02,2026-04-30,3940,23.437851763748817,9.902145285567169,2.258925454106503,-10.53121647201114,2.2255597751731435,2954.6118944372784,-7.617725915426,-0.19539554755109156,1.6703959691385606,1153,29.263959390862944,1153,29.263959390862944,424
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,53,1,2016-05-03,2026-04-30,2426,22.384762663195225,11.194983494334098,1.9291736958530243,-10.531216472011051,2.125562865665851,652.3723979540821,-9.452055838778083,-0.2482021484494037,1.6703959691386494,967,39.8598516075845,968,39.901071723000825,351
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,53,1,2021-04-30,2026-04-30,1208,24.924687370902387,13.435689702732981,1.7953051139995173,-9.565441148263865,2.6057018160031475,204.2112035161561,-7.472155012943208,-0.08240722313729076,2.6361712928858463,470,38.907284768211916,470,38.907284768211916,138
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,53,1,2023-05-04,2026-04-30,723,18.715964115128525,12.007748784961533,1.54960113027501,-9.56544114826382,1.9566232048299805,67.01765849924234,-8.842709227788557,-0.16526392318456407,2.6361712928859244,341,47.16459197786998,341,47.16459197786998,86
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,53,2,2010-02-02,2026-04-30,3940,25.434476416567286,10.218622243877682,2.3553207532979297,-10.74542033787198,2.367006186526187,3863.811241473941,-5.621101262607532,-0.09900024835966503,1.4561921032777203,942,23.908629441624367,942,23.908629441624367,274
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,53,2,2016-05-03,2026-04-30,2426,24.91667459724729,11.614258328494756,2.0467883170328305,-10.745420337872035,2.3188180465522534,823.162768180538,-6.920143904726018,-0.13058752726959755,1.4561921032776652,793,32.68755152514427,794,32.728771640560595,227
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,53,2,2021-04-30,2026-04-30,1208,26.293912190237666,13.836501041677055,1.829538389590815,-10.745420337872014,2.4469877737183823,221.24967000827317,-6.1029301936079285,-0.04817394754599302,1.4561921032776972,401,33.1953642384106,401,33.1953642384106,100
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,53,2,2023-05-04,2026-04-30,723,21.450621549631066,12.297156993834957,1.709113819993523,-9.1603262241155,2.3416875147044545,78.78566660357689,-6.108051793286016,-0.005751233466050998,3.0412862170342443,298,41.21715076071922,298,41.21715076071922,66
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,53,3,2010-02-02,2026-04-30,3940,26.18574966741185,10.451573652939846,2.364513651324763,-10.763030011176989,2.4329347442327083,4267.41987668534,-4.869828011762966,-0.0898073503328316,1.438582429972712,806,20.456852791878173,806,20.456852791878173,216
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,53,3,2016-05-03,2026-04-30,2426,25.876390181657683,11.904633364719633,2.0665014526838066,-10.763030011176989,2.404191956613152,896.5178575042545,-5.960428320315625,-0.11087439161862145,1.438582429972712,681,28.070898598516074,682,28.1121187139324,187
