,Sub-A,Sub-A-DK,Sub-B,Microcap
Sub-A,1.0,0.5811297190712814,0.19709033708123344,-0.08883236486602217
Sub-A-DK,0.5811297190712814,1.0,-0.010657500183728139,-0.07119007439465273
Sub-B,0.19709033708123344,-0.010657500183728139,1.0,-0.14832274688268243
Microcap,-0.08883236486602217,-0.07119007439465273,-0.14832274688268243,1.0
