window,start,end,rows,annual,vol,sharpe,max_dd,calmar,total_return,var_95,cvar_95,var_99,cvar_99
last_1y,2025-04-17,2026-04-17,366,0.4513061398858784,0.08282505695558864,3.1455035616941527,-0.05259452749784399,8.580857388715563,0.45093619443742017,0.006110900875975521,0.011457657300240837,0.013964474939541243,0.020810633238632553
last_3y,2023-04-17,2026-04-17,1097,0.409998709006719,0.08736679933825146,2.7582275337798388,-0.07727685588027466,5.305582173813225,1.803872619728904,0.006915621087213441,0.012486730955435659,0.016454721583091234,0.0224305445456516
last_5y,2021-04-17,2026-04-17,1827,0.36632101798027605,0.08288993832608328,2.640459087375344,-0.07727685588027478,4.740371665066422,3.7607016422675654,0.006756186739098385,0.011581550305550916,0.014395742259319276,0.020401201595589252
last_10y,2016-04-17,2026-04-17,3653,0.35967149641092644,0.07825273483749592,2.749125337209074,-0.07821603360178542,4.59843691693817,20.585259371669103,0.006432084262579171,0.010901954653863202,0.014186944690736817,0.018543479978608335
full_common,2015-10-13,2026-04-17,3840,0.3532537897295398,0.07883721972436704,2.6878916877602594,-0.08385264781913226,4.212792307900616,23.036762421113792,0.006466890905091398,0.011019870869488255,0.014101095766351894,0.018722897570307945
