peak_date,start_date,trough_date,recovery_date,max_drawdown,drawdown_days,recovered
2015-12-29,2015-12-30,2016-01-15,2016-06-06,-0.08385264781913226,159,True
2018-01-28,2018-01-29,2018-03-25,2018-07-17,-0.0782160336017853,169,True
2024-04-02,2024-04-03,2024-05-13,2024-08-14,-0.07727685588027466,133,True
2024-01-09,2024-01-10,2024-01-23,2024-03-12,-0.05860181478335491,62,True
2022-03-08,2022-03-09,2022-05-18,2022-07-29,-0.056915558441910985,142,True
2025-08-11,2025-08-12,2025-08-25,2025-10-06,-0.05259452749784388,55,True
2018-10-03,2018-10-04,2018-10-11,2018-10-23,-0.048244702253357974,19,True
2020-02-23,2020-02-24,2020-02-28,2020-03-20,-0.048198132288443274,25,True
2025-11-15,2025-11-16,2025-11-22,2026-01-08,-0.04172803337258224,53,True
2021-01-25,2021-01-26,2021-02-04,2021-02-24,-0.036165598311754144,29,True
