window,sleeve,nominal_weight,effective_weight_latest,sleeve_vol,corr_to_portfolio,variance_contribution_pct,annual_vol_contribution
60d,Sub-A,0.1,0.036531311255306606,0.0942624265554423,0.1152584891767877,0.004586520299410892,0.0004146319666319263
60d,Sub-A-DK,0.15,0.1177686638537472,0.1587325768574842,-0.2533109847066962,-0.05287099128901948,-0.0047796590148660905
60d,Sub-B,0.6,0.2505364627807971,0.17524642434749704,0.49048838917761944,0.24243588620652484,0.021916760794207457
60d,Microcap,0.15,0.5951635621101492,0.13495760231118908,0.9111253824658442,0.8058485847830836,0.07285056245343151
252d,Sub-A,0.1,0.036531311255306606,0.1805190794729751,0.2377103474445094,0.017556526268651604,0.001508097309176399
252d,Sub-A-DK,0.15,0.1177686638537472,0.16903737774423266,0.23013620582175343,0.04773225615912905,0.004100178245569862
252d,Sub-B,0.6,0.2505364627807971,0.1712554275503323,0.37911285206169365,0.1880866894992396,0.01615655773728897
252d,Microcap,0.15,0.5951635621101492,0.13193825014137983,0.8068765726472439,0.7466245280729797,0.06413469410304015
full_common,Sub-A,0.1,0.036531311255306606,0.16199818833343027,0.24012707132672412,0.015367589214967042,0.0012432695864453126
full_common,Sub-A-DK,0.15,0.1177686638537472,0.16671284602231176,0.22583213443107505,0.044713242723278146,0.0036173933342164835
full_common,Sub-B,0.6,0.2505364627807971,0.1298935055824384,0.5956748884706328,0.15131228652051376,0.012241475305914287
full_common,Microcap,0.15,0.5951635621101492,0.1226230062966602,0.676003170390208,0.7886068815412411,0.06379991928251247
