n,m,full_annual,full_max_dd,full_sharpe,full_total_return,same_start,same_annual,same_max_dd,same_sharpe,same_total_return,annual_delta_vs_baseline,max_dd_delta_vs_baseline,sharpe_delta_vs_baseline
12,200,0.20707529447875683,-0.254674635951989,0.9423752934144856,17.455565325154602,2011-04-18,0.21517466974313093,-0.25467463595198875,0.9634674050812756,17.388255697174124,-0.05260388688276846,0.05730817485387196,-0.11493617860265049
24,600,0.18461011060555532,-0.24991465533581975,0.8689852245063193,12.795561686710768,2012-12-20,0.21672515818942628,-0.2499146553358198,0.9571504541791735,12.491763896801755,-0.05105339843647311,0.06206815547004091,-0.12125312950475253
24,400,0.19233712917363466,-0.2515301521879881,0.8933987855481657,14.25736753580537,2012-02-29,0.21198207371129318,-0.2515301521879887,0.9458412838371889,13.962516806917792,-0.055796482914606205,0.060452658617872024,-0.13256229984673717
20,40,0.2111573144134753,-0.26441663873371457,0.9275737944872985,18.446427514923492,2010-08-25,0.2111573144134753,-0.26441663873371457,0.9275737944872985,18.446427514923492,-0.056621242212424094,0.04756617207214614,-0.1508297891966276
20,200,0.19812897667468388,-0.2716847150367355,0.8990789280657725,15.44674536941153,2011-04-28,0.20617391089033643,-0.2716847150367352,0.920386924045115,15.370888754261426,-0.06160464573556296,0.04029809576912552,-0.15801665963881106
18,600,0.17548795006921236,-0.26117890438656377,0.8268428431358504,11.238634933813158,2012-12-12,0.20548459675842756,-0.26117890438656444,0.9106899740885547,10.977825862971747,-0.062293959867471826,0.050803906419296274,-0.1677136095953714
12,250,0.19381235914932504,-0.25632549460860016,0.8792739161720237,14.55242756877688,2011-06-29,0.20379120740309142,-0.2563254946085994,0.9054998585938943,14.40253315404689,-0.06398734922280797,0.05565731619726133,-0.17290372509003182
20,80,0.20501088624494868,-0.26976702945594755,0.8984536407000238,16.972631289814704,2010-11-01,0.20615917570206688,-0.2697670294559472,0.9006173839440927,16.933483454077383,-0.06161938092383251,0.042215781349913495,-0.17778619973983334
12,160,0.19452733444777937,-0.2586319494921034,0.8843026370158312,14.697341913568495,2011-02-17,0.19988113768342997,-0.2586319494921016,0.8985871979009583,14.680538358709356,-0.06789741894246942,0.0533508613137591,-0.17981638578296777
24,120,0.19728444493480346,-0.2743971831230224,0.8850665621570268,15.268076669044316,2010-12-31,0.20107547465369024,-0.27439718312302247,0.8958838889486528,15.305877895414259,-0.06670308197220914,0.03758562768283824,-0.1825196947352733
30,40,0.2018666936606366,-0.2609294028802191,0.8936283624480724,16.259760283825667,2010-09-08,0.2018666936606366,-0.2609294028802191,0.8936283624480724,16.259760283825667,-0.0659118629652628,0.051053407925641614,-0.18477522123585366
30,600,0.16814184362341988,-0.2680532774708047,0.7985265563216939,10.106004078051953,2012-12-28,0.19728556051191148,-0.26805327747080215,0.8819115389167681,9.85354232470063,-0.0704929961139879,0.04392953333505856,-0.19649204476715798
12,400,0.1771228924713708,-0.2701296888033818,0.8315717419341847,11.50499665703063,2012-02-13,0.19443230021077373,-0.27012968880338156,0.8794928220129614,11.281176192070077,-0.07334625641512565,0.04185312200247915,-0.19891076167096466
20,60,0.19948827302282623,-0.2662919112452242,0.8713228907822951,15.738177010296418,2010-09-27,0.19948827302282623,-0.2662919112452242,0.8713228907822951,15.738177010296418,-0.06829028360307315,0.04569089956063649,-0.207080692901631
