ridge_label,target_candidate,window,target_lb,target_hl,target_threshold,target_ann_return,target_max_dd,target_sharpe,lb_center_sharpe,lb_axis_cutoff_95pct_center_sharpe,lb_axis_span_95pct_center_sharpe,lb_axis_count_95pct_center_sharpe,lb_axis_left_width,lb_axis_right_width,lb_axis_low_width,lb_axis_high_width,hl_center_sharpe,hl_axis_cutoff_95pct_center_sharpe,hl_axis_span_95pct_center_sharpe,hl_axis_count_95pct_center_sharpe,hl_axis_left_width,hl_axis_right_width,hl_axis_low_width,hl_axis_high_width,surface_peak_candidate,surface_peak_lb,surface_peak_hl,surface_peak_threshold,surface_peak_ann_return,surface_peak_max_dd,surface_peak_sharpe,surface_95pct_peak_count,surface_95pct_peak_lb_span,surface_95pct_peak_hl_span,surface_95pct_peak_ann_min,surface_95pct_peak_ann_max,surface_95pct_peak_maxdd_min,surface_95pct_peak_maxdd_max
formal_defensive_ridge,v25_lb22_hl8_th0p4_cost_only,full,22.0,8.0,0.4,0.2074286924240618,-0.3435955337631114,0.9376620532258374,0.9376620532258374,0.8907789505645455,22..23,2,0.0,1.0,,,0.9376620532258374,0.8907789505645455,8..10,2,,,0.0,2.0,v25_lb22_hl8_th0p4_cost_only,22.0,8.0,0.4,0.2074286924240618,-0.3435955337631114,0.9376620532258374,10,21..27,6..12,0.1988824631118038,0.2074286924240618,-0.3921297248377735,-0.3312541242788999
formal_defensive_ridge,v25_lb22_hl8_th0p4_cost_only,last_10y,22.0,8.0,0.4,0.1546851259555279,-0.2441515377444604,0.8006752073523992,0.8006752073523992,0.7606414469847792,22,1,0.0,0.0,,,0.8006752073523992,0.7606414469847792,8..10,2,,,0.0,2.0,v25_lb22_hl8_th0p4_cost_only,22.0,8.0,0.4,0.1546851259555279,-0.2441515377444604,0.8006752073523992,4,21..22,8..12,0.1490923378908868,0.1546851259555279,-0.2441515377444604,-0.2159693570164224
formal_defensive_ridge,v25_lb22_hl8_th0p4_cost_only,last_5y,22.0,8.0,0.4,0.1563916091718253,-0.2118824283434212,0.7442036199845545,0.7442036199845545,0.7069934389853267,19..22,4,3.0,0.0,,,0.7442036199845545,0.7069934389853267,6..8,2,,,2.0,0.0,v25_lb28_hl12_th0p4_cost_only,28.0,12.0,0.4,0.1840336426112137,-0.2025172802526821,0.8935224936445035,4,20..29,8..12,0.1770491960507443,0.1840336426112137,-0.2025172802526821,-0.202517280252682
formal_defensive_ridge,v25_lb22_hl8_th0p4_cost_only,last_3y,22.0,8.0,0.4,0.2247975909941502,-0.2118824283434208,0.9533996812946708,0.9533996812946708,0.9057296972299372,19..22,4,3.0,0.0,,,0.9533996812946708,0.9057296972299372,6..8,2,,,2.0,0.0,v25_lb20_hl8_th0p4_cost_only,20.0,8.0,0.4,0.2659142761452007,-0.2025172802526823,1.1199022708535478,7,20..30,8..12,0.2462579244953866,0.2659142761452007,-0.2025172802526823,-0.2025172802526821
formal_defensive_ridge,v25_lb22_hl8_th0p4_cost_only,last_1y,22.0,8.0,0.4,0.4651056557488862,-0.1931403088698398,2.1273126755697733,2.1273126755697733,2.0209470417912847,22,1,0.0,0.0,,,2.1273126755697733,2.0209470417912847,8,1,,,0.0,0.0,v25_lb07_hl12_th0p4_cost_only,7.0,12.0,0.4,0.745386739677834,-0.103991558198609,3.590064901022064,2,7..7,10..12,0.741289372656595,0.745386739677834,-0.103991558198609,-0.1039915581986089
recent_fast_ridge,v25_lb38_hl10_th0p0_cost_only,full,38.0,10.0,0.0,0.1808364663699206,-0.5075533810396251,0.7639387436533951,0.7639387436533951,0.7257418064707253,37..38,2,1.0,0.0,,,0.7639387436533951,0.7257418064707253,5..10,4,,,5.0,0.0,v25_lb27_hl10_th0p0_cost_only,27.0,10.0,0.0,0.2134691067510536,-0.331740556486876,0.8932109566271001,5,22..27,10..12,0.2037608159528996,0.2134691067510536,-0.3565087965717992,-0.3102811951229861
recent_fast_ridge,v25_lb38_hl10_th0p0_cost_only,last_10y,38.0,10.0,0.0,0.1409691949745182,-0.3217518735150044,0.6642383314777673,0.6642383314777673,0.6310264149038789,37..39,3,1.0,1.0,,,0.6642383314777673,0.6310264149038789,8..10,2,,,2.0,0.0,v25_lb26_hl12_th0p0_cost_only,26.0,12.0,0.0,0.1616586168500948,-0.2533062334997098,0.7574436797391687,4,25..27,10..12,0.1550999698083168,0.1616586168500948,-0.2590776613847103,-0.2530099622464925
recent_fast_ridge,v25_lb38_hl10_th0p0_cost_only,last_5y,38.0,10.0,0.0,0.2122325368299806,-0.2025172802526824,0.934317841720824,0.934317841720824,0.8876019496347828,38..39,2,0.0,1.0,,,0.934317841720824,0.8876019496347828,10,1,,,0.0,0.0,v25_lb40_hl8_th0p0_cost_only,40.0,8.0,0.0,0.2161219961441924,-0.2025172802526823,0.9563222831528326,3,38..40,8..10,0.211249026303204,0.2161219961441924,-0.2025172802526824,-0.202517280252682
recent_fast_ridge,v25_lb38_hl10_th0p0_cost_only,last_3y,38.0,10.0,0.0,0.2967517819424508,-0.2025172802526823,1.165580406979509,1.165580406979509,1.1073013866305335,38..40,3,0.0,2.0,,,1.165580406979509,1.1073013866305335,10,1,,,0.0,0.0,v25_lb38_hl10_th0p0_cost_only,38.0,10.0,0.0,0.2967517819424508,-0.2025172802526823,1.165580406979509,4,38..40,8..10,0.2860210522731505,0.2967517819424508,-0.2025172802526823,-0.2025172802526821
recent_fast_ridge,v25_lb38_hl10_th0p0_cost_only,last_1y,38.0,10.0,0.0,0.9368659253270356,-0.0999876268010683,3.7418392654505577,3.7418392654505577,3.5547473021780296,37..39,3,1.0,1.0,,,3.7418392654505577,3.5547473021780296,10,1,,,0.0,0.0,v25_lb37_hl12_th0p0_cost_only,37.0,12.0,0.0,0.9676006754614122,-0.0999876268010683,3.9312754230025977,4,35..39,10..12,0.9364304553142028,0.9676006754614122,-0.0999876268010683,-0.0999876268010683
