date,main_nav,copy_nav,main_holding,copy_holding,nav_gap
2005-05-11,1.0001211499702025,1.0001211499702025,cash,cash,0.0
2005-05-12,1.0002423146177204,1.0002423146177204,cash,cash,0.0
2005-05-13,1.0003634939443315,1.0003634939443315,cash,cash,0.0
2005-05-16,1.0004846879518146,1.0004846879518146,cash,cash,0.0
2005-05-17,1.000605896641948,1.000605896641948,cash,cash,0.0
2005-05-18,1.0007271200165107,1.0007271200165107,cash,cash,0.0
2005-05-19,1.0008483580772816,1.0008483580772816,cash,cash,0.0
2005-05-20,1.00096961082604,1.00096961082604,cash,cash,0.0
2005-05-23,1.001090878264565,1.001090878264565,cash,cash,0.0
2005-05-24,1.0002109482342423,1.001212160394637,1.H00852,cash,0.0010012121603946156
2005-05-25,1.0056428294911828,1.001333457218035,1.H00852,cash,-0.00430937227314776
2005-05-26,0.9931300351487174,1.0014547687365398,cash,cash,0.008324733587822375
2005-05-27,0.993250352822883,1.0015760949519315,cash,cash,0.008325742129048463
2005-05-30,0.9933706850735311,1.0016974358659905,cash,cash,0.00832675079245937
2005-05-31,0.9934910319024278,1.0018187914804977,cash,cash,0.00832775957806986
2005-06-01,0.9936113933113393,1.0019401617972339,cash,cash,0.008328768485894589
2005-06-02,0.9937317693020319,1.0020615468179803,cash,cash,0.008329777515948433
2005-06-03,0.9938521598762721,1.0021829465445184,cash,cash,0.008330786668246382
2005-06-06,0.9939725650358268,1.0023043609786297,cash,cash,0.008331795942802978
2005-06-07,0.994092984782463,1.002425790122096,cash,cash,0.008332805339633098
2005-06-08,0.9942134191179479,1.0025472339766996,cash,cash,0.008333814858751731
2005-06-09,0.994333868044049,1.0026686925442225,cash,cash,0.008334824500173532
2005-06-10,0.9944543315625339,1.0027901658264473,cash,cash,0.008335834263913378
2005-06-13,0.9945748096751705,1.0029116538251566,cash,cash,0.008336844149986034
2005-06-14,0.9946953023837268,1.0030331565421333,cash,cash,0.008337854158406488
2005-06-15,0.9948158096899712,1.0031546739791606,cash,cash,0.008338864289189396
2005-06-16,0.9939413952640764,1.0032762061380216,1.H00852,cash,0.009334810873945165
2005-06-17,0.9854678013931989,1.0023943552674797,1.H00852,1.H00852,0.01692655387428077
2005-06-20,1.0136055918751177,1.031015444976245,1.H00852,1.H00852,0.017409853101127304
2005-06-21,1.0048094307412196,1.0220681995602332,1.H00852,1.H00852,0.01725876881901356
2005-06-22,1.0102682613461773,1.0276207919199583,1.H00852,1.H00852,0.017352530573780944
2005-06-23,0.9929612870418226,1.0100165502340115,1.H00852,1.H00852,0.017055263192188863
2005-06-24,0.9955080350093526,1.012607041555323,1.H00016,1.H00016,0.017099006545970408
2005-06-27,1.0084729889080173,1.025794683592893,1.H00016,1.H00016,0.017321694684875766
2005-06-28,0.9999424250384611,1.0171175973826658,1.H00016,1.H00016,0.017175172344204737
2005-06-29,0.9952825575502453,1.0123776912590174,1.H00016,1.H00016,0.017095133708772137
2005-06-30,0.9781963767601211,0.9949980354723069,1.H00016,1.H00016,0.016801658712185863
2005-07-01,0.9644422517545811,0.9810076673976674,1.H00016,1.H00016,0.016565415643086334
2005-07-04,0.962351549594586,0.9788810550002235,cash,cash,0.016529505405637468
2005-07-05,0.9624681384561438,0.9789996464108686,cash,cash,0.0165315079547248
2005-07-06,0.9625847414424386,0.9791182521888595,cash,cash,0.016533510746420954
2005-07-07,0.9627013585551817,0.9792368723359369,cash,cash,0.01653551378075524
2005-07-08,0.9628179897960846,0.9793555068538417,cash,cash,0.01653751705775708
2005-07-11,0.9629346351668588,0.9794741557443146,cash,cash,0.01653952057745578
2005-07-12,0.9630512946692162,0.9795928190090972,cash,cash,0.016541524339880986
2005-07-13,0.963167968304869,0.9797114966499307,cash,cash,0.016543528345061786
2005-07-14,0.9632846560755292,0.979830188668557,cash,cash,0.016545532593027823
2005-07-15,0.9634013579829093,0.9799488950667177,cash,cash,0.016547537083808406
2005-07-18,0.9635180740287219,0.980067615846155,cash,cash,0.016549541817433067
2005-07-19,0.9636348042146801,0.9801863510086112,cash,cash,0.016551546793931116
2005-07-20,0.9637515485424968,0.9803051005558288,cash,cash,0.016553552013331974
2005-07-21,0.9638683070138854,0.9804238644895504,cash,cash,0.01655555747566506
2005-07-22,0.9639850796305592,0.9805426428115191,cash,cash,0.01655756318095991
2005-07-25,0.9641018663942321,0.9806614355234781,cash,cash,0.016559569129245943
2005-07-26,0.964218667306618,0.9807802426271705,cash,cash,0.01656157532055247
2005-07-27,0.9633711468870615,0.9808990641243399,1.H00016,cash,0.017527917237278423
2005-07-28,0.9601687007593571,0.9800368821167136,1.H00016,1.H00016,0.019868181357356463
2005-07-29,0.9586852146854942,0.9785226991764214,1.H00016,1.H00016,0.01983748449092726
2005-08-01,0.960345306244341,0.980217141990558,1.H00016,1.H00016,0.01987183574621698
2005-08-02,0.969281543784516,0.9893382916070798,1.H00016,1.H00016,0.020056747822563725
2005-08-03,0.9688180250286278,0.988865181542188,cash,cash,0.02004715651356026
2005-08-04,0.9675406803449684,0.9889849825294662,1.H00905,cash,0.021444302184497777
2005-08-05,1.0073179427695702,0.9891047980306303,1.H00852,cash,-0.018213144738939868
2005-08-08,1.0299769705246518,0.9892246280474389,1.H00852,cash,-0.04075234247721282
2005-08-09,1.0608942593532373,0.9893444725816505,1.H00852,cash,-0.07154978677158685
