date,holding,target,pending_entry_target,pending_entry_since,await_fresh_entry_signal
2005-06-17,1.H00852,1.H00852,,,False
2005-07-28,1.H00016,1.H00016,,,False
2005-12-08,1.H00016,1.H00016,,,False
2006-03-30,1.H00905,1.H00905,,,False
2006-07-04,1.H00016,1.H00016,,,False
2006-08-30,1.H00016,1.H00016,,,False
2007-02-27,1.H00852,1.H00852,,,False
2007-08-01,1.H00852,1.H00852,,,False
2007-10-17,1.H00016,1.H00016,,,False
2007-12-18,1.H00852,1.H00852,,,False
2008-03-07,1.H00852,1.H00852,,,False
2008-04-17,1.H00016,1.H00016,,,False
2008-05-09,1.H00016,1.H00016,,,False
2008-06-03,1.H00852,1.H00852,,,False
2008-07-15,1.H00905,1.H00905,,,False
2008-09-01,1.H00016,1.H00016,,,False
2008-11-11,1.H00852,1.H00852,,,False
2008-11-21,1.H00852,1.H00852,,,False
2009-01-23,1.H00016,1.H00016,,,False
2009-03-25,1.H00016,1.H00016,,,False
2009-05-06,1.H11077,1.H11077,,,False
2009-08-20,1.H11077,1.H11077,,,False
2009-09-18,1.H00852,1.H00852,,,False
2009-10-27,1.H00016,1.H00016,,,False
2010-01-08,1.H11077,1.H11077,,,False
2010-03-04,1.H00852,1.H00852,,,False
2010-04-06,1.H00016,1.H00016,,,False
2010-06-17,1.H00852,1.H00852,,,False
2010-07-27,1.H00852,1.H00852,,,False
2010-10-18,1.H00016,1.H00016,,,False
2011-04-11,1.H00016,1.H00016,,,False
2011-05-10,1.H11077,1.H11077,,,False
2011-06-15,0.399606,0.399606,,,False
2011-07-08,0.399606,0.399606,,,False
2011-08-16,1.H11077,1.H11077,,,False
2011-09-27,1.H11077,1.H11077,,,False
2011-10-31,1.H00016,1.H00016,,,False
2011-12-08,1.H11077,1.H11077,,,False
2012-01-16,1.H00016,1.H00016,,,False
2012-04-05,1.H11077,1.H11077,,,False
2012-05-07,1.H00016,1.H00016,,,False
2012-05-23,0.399606,0.399606,,,False
2012-05-29,1.H11077,1.H11077,,,False
2012-06-14,0.399606,0.399606,,,False
2012-07-13,1.H11077,1.H11077,,,False
2012-08-13,0.399606,0.399606,,,False
2012-08-22,1.H00852,1.H00852,,,False
2012-10-19,1.H00016,1.H00016,,,False
2012-11-22,1.H11077,1.H11077,,,False
2012-12-13,1.H00016,1.H00016,,,False
2013-04-10,1.H11077,1.H11077,,,False
2013-08-15,1.H00016,1.H00016,,,False
2013-10-10,0.399606,0.399606,,,False
2013-12-31,0.399606,0.399606,,,False
2014-03-06,1.H11077,1.H11077,,,False
2014-04-03,1.H00016,1.H00016,,,False
2014-05-13,1.H11077,1.H11077,,,False
2014-06-06,0.399606,0.399606,,,False
2015-01-23,0.399606,0.399606,,,False
2015-06-26,1.H11077,1.H11077,,,False
2015-07-30,1.H00905,1.H00905,,,False
2015-09-08,1.H11077,1.H11077,,,False
2015-09-30,0.399606,0.399606,,,False
2015-12-09,1.H11077,1.H11077,,,False
2016-02-25,0.399606,0.399606,,,False
2016-03-09,1.H00016,1.H00016,,,False
2016-03-24,0.399606,0.399606,,,False
2016-05-16,1.H11077,1.H11077,,,False
2016-06-06,0.399606,0.399606,,,False
2016-09-29,1.H11077,1.H11077,,,False
2016-10-19,1.H00852,1.H00852,,,False
2017-01-10,1.H00852,1.H00852,,,False
2017-01-19,1.H20955,1.H20955,,,False
2017-02-17,1.H00852,1.H00852,,,False
2017-03-31,1.H11077,1.H11077,,,False
2017-05-24,1.H00016,1.H00016,,,False
2017-06-22,1.H00852,1.H00852,,,False
2017-07-21,1.H00016,1.H00016,,,False
2017-10-20,1.H00016,1.H00016,,,False
2017-12-11,1.H11077,1.H11077,,,False
2018-01-09,1.H00905,1.H00905,,,False
